Year,State,Total Girls and Co-educational Schools - All management,Total Girls and Co-educational Schools - Government,Total Girls and Co-educational Schools - Government aided,Total Girls and Co-educational Schools - Pvt. unaided,Total Girls and Co-educational Schools - Others,Schools with girl's toilet facility - All management,Schools with girl's toilet facility - Government,Schools with girl's toilet facility - Government aided,Schools with girl's toilet facility - Pvt. unaided,Schools with girl's toilet facility - Others,Schools with functional girl's toilet facility - All management,Schools with functional girl's toilet facility - Government,Schools with functional girl's toilet facility - Government aided,Schools with functional girl's toilet facility - Pvt. unaided,Schools with functional girl's toilet facility - Others
2020-21,Chhattisgarh,55456,47649,389,7117,301,55085,47290,387,7111,297,54660,46898,384,7082,296
2020-21,Daman and Diu and Dadra and Nagar Haveli,475,404,8,63,0,474,404,8,62,0,474,404,8,62,0
2020-21,Delhi,4716,1902,178,2636,0,4716,1902,178,2636,0,4716,1902,178,2636,0
2020-21,Goa,1469,821,512,136,0,1469,821,512,136,0,1469,821,512,136,0
2020-21,Gujarat,53158,34001,5514,13640,3,52912,33781,5499,13629,3,52164,33039,5495,13627,3
2020-21,Haryana,23107,13940,17,8205,945,22801,13640,17,8201,943,22659,13514,17,8188,940
2020-21,Himachal Pradesh,18109,15358,0,2750,1,17951,15207,0,2743,1,17853,15125,0,2727,1
2020-21,Jammu and Kashmir,28717,22981,1,5632,103,25761,20144,1,5525,91,24219,18615,1,5513,90
2020-21,Jharkhand,45045,35744,1100,1530,6671,44604,35497,964,1527,6616,43814,34867,934,1522,6491
2020-21,Karnataka,76352,49368,7114,19857,13,75585,48641,7108,19823,13,75152,48219,7102,19818,13
2020-21,Kerala,16413,5000,7147,3237,1029,16336,4946,7130,3236,1024,16281,4898,7129,3231,1023
2020-21,Ladakh,1026,909,5,112,0,949,833,5,111,0,933,818,5,110,0
2020-21,Lakshadweep,45,45,0,0,0,45,45,0,0,0,45,45,0,0,0
2020-21,Madhya Pradesh,131150,97145,741,31446,1818,129191,95443,735,31224,1789,126584,93284,727,30821,1752
2020-21,Maharashtra,109103,64995,23756,19559,793,106977,63001,23716,19509,751,103413,59711,23620,19333,749
2020-21,Manipur,4647,2875,584,1027,161,4009,2428,414,1019,148,3446,1988,303,1012,143
2020-21,Meghalaya,14677,7792,4168,2173,544,11687,6551,3323,1469,344,10091,5581,2888,1316,306
2020-21,Mizoram,3924,2557,231,1050,86,3666,2378,221,988,79,3552,2286,212,978,76
2020-21,Nagaland,2718,1974,0,743,1,2549,1816,0,732,1,2431,1708,0,722,1
2020-21,Odisha,64109,50201,5835,6386,1687,62596,49924,5124,6080,1468,57488,45098,4971,6000,1419
2020-21,Puducherry,716,402,30,284,0,716,402,30,284,0,716,402,30,284,0
2020-21,Punjab,28485,19138,446,8886,15,28485,19138,446,8886,15,28485,19138,446,8886,15
2020-21,Rajasthan,107358,68800,0,36019,2539,105128,67005,0,35836,2287,98785,63242,0,33483,2060
2020-21,Sikkim,1185,780,15,390,0,1178,778,12,388,0,1175,777,11,387,0
2020-21,Tamil Nadu,58219,37211,8064,12358,586,58007,37066,8014,12343,584,57903,36968,8010,12341,584
2020-21,Telangana,42233,29402,688,12001,142,38697,26093,609,11866,129,33634,21094,586,11825,129
2020-21,Tripura,4923,4260,41,358,264,4467,3897,41,348,181,3719,3197,40,332,150
2020-21,Uttar Pradesh,255906,136833,7883,96514,14676,252575,134413,7741,95985,14436,247519,130951,7663,94721,14184
2020-21,Uttarakhand,23038,16578,579,5379,502,22026,15628,561,5336,501,20999,14682,551,5274,492
2020-21,West Bengal,94148,82527,70,9942,1609,94004,82497,69,9870,1568,94004,82497,69,9870,1568
2021-22,India,1477159,1013114,81299,334932,47814,1439898,986556,77627,332529,43186,1398305,952135,76121,328032,42017
2021-22,Andaman and Nicobar Islands,416,342,2,72,0,415,342,2,71,0,414,341,2,71,0
2021-22,Andhra Pradesh,61380,44658,1523,15030,169,59870,43254,1468,14988,160,59277,42707,1450,14962,158
2021-22,Arunachal Pradesh,3598,2984,65,502,47,3287,2681,65,495,46,2475,1878,65,487,45
2021-22,Assam,60762,45439,3839,5834,5650,53761,43636,2484,5560,2081,50160,41147,2054,5303,1656
2021-22,Bihar,92986,75414,732,8085,8755,91543,74064,720,8060,8699,90796,73367,718,8039,8672
2021-22,Chandigarh,232,123,7,75,27,232,123,7,75,27,232,123,7,75,27
2021-22,Chhattisgarh,55500,47797,376,7050,277,55252,47549,376,7050,277,54324,46646,373,7030,275
2021-22,Daman and Diu and Dadra and Nagar Haveli,457,386,8,63,0,455,385,8,62,0,455,385,8,62,0
2021-22,Delhi,4693,1913,177,2603,0,4693,1913,177,2603,0,4693,1913,177,2603,0
2021-22,Goa,1498,814,547,137,0,1498,814,547,137,0,1498,814,547,137,0
2021-22,Gujarat,52585,33746,5469,13367,3,52334,33516,5457,13358,3,51555,32742,5453,13357,3
2021-22,Haryana,23170,14040,16,8231,883,22779,13655,16,8227,881,22618,13509,16,8215,878
2021-22,Himachal Pradesh,17991,15347,0,2642,2,17842,15200,0,2640,2,17741,15112,0,2627,2
2021-22,Jammu and Kashmir,28600,22995,1,5509,95,25507,20012,1,5416,78,23728,18246,1,5404,77
2021-22,Jharkhand,44581,35695,1100,1548,6238,44124,35406,986,1547,6185,43287,34709,942,1541,6095
2021-22,Karnataka,75919,49262,7046,19603,8,74918,48319,7036,19555,8,74349,47767,7030,19544,8
2021-22,Kerala,16173,4990,7140,3160,883,16111,4941,7129,3159,882,16084,4921,7127,3155,881
2021-22,Ladakh,949,832,5,112,0,891,775,5,111,0,879,764,5,110,0
2021-22,Lakshadweep,38,38,0,0,0,38,38,0,0,0,38,38,0,0,0
2021-22,Madhya Pradesh,124108,91332,708,30282,1786,122338,89738,705,30139,1756,119032,86833,695,29783,1721
2021-22,Maharashtra,108610,64907,23873,19197,633,106175,62615,23814,19149,597,102703,59421,23697,18988,597
2021-22,Manipur,4611,2886,582,1010,133,4012,2469,413,1007,123,3475,2042,312,1003,118
2021-22,Meghalaya,14586,7780,4166,2115,525,11928,6687,3401,1499,341,10163,5598,2930,1330,305
2021-22,Mizoram,3910,2562,230,1034,84,3636,2356,217,984,79,3396,2136,210,974,76
2021-22,Nagaland,2718,1960,0,757,1,2463,1727,0,735,1,2095,1371,0,723,1
2021-22,Odisha,62216,49017,5798,6096,1305,59780,47436,5051,6031,1262,56141,44025,4901,5975,1240
2021-22,Puducherry,710,401,30,279,0,710,401,30,279,0,710,401,30,279,0
2021-22,Punjab,27488,19063,441,7972,12,27386,18964,441,7970,11,27322,18901,441,7969,11
2021-22,Rajasthan,106344,68926,0,34822,2596,104198,67160,0,34676,2362,98485,63719,0,32632,2134
2021-22,Sikkim,1170,781,15,374,0,1164,780,12,372,0,1160,777,11,372,0
2021-22,Tamil Nadu,58323,37335,8157,12386,445,58130,37284,8045,12356,445,58080,37283,8010,12343,444
2021-22,Telangana,42408,29416,688,12173,131,38802,26066,603,12013,120,33428,20753,582,11973,120
2021-22,Tripura,4919,4258,41,361,259,4410,3845,41,351,173,3671,3151,41,336,143
2021-22,Uttar Pradesh,257065,136799,7872,97588,14806,253889,134493,7744,97084,14568,249626,131695,7673,95928,14330
2021-22,Uttarakhand,22689,16415,574,5208,492,21703,15480,556,5178,489,20598,14468,543,5115,472
2021-22,West Bengal,93756,82461,71,9655,1569,93624,82432,70,9592,1530,93617,82432,70,9587,1528
