Year,State,Total Schools - All management,Total Schools - Government,Total Schools - Government aided,Total Schools - Pvt. unaided,Total Schools - Others,Schools with ramps for CWSN - All management,Schools with ramps for CWSN - Government,Schools with ramps for CWSN - Government aided,Schools with ramps for CWSN - Pvt. unaided,Schools with ramps for CWSN - Others
2020-21,Jammu and Kashmir,28930,23167,1,5649,113,10976,9947,0,1014,15
2020-21,Jharkhand,45319,35888,1175,1542,6714,28832,26498,313,544,1477
2020-21,Karnataka,76905,49791,7182,19915,17,48763,38958,2993,6811,1
2020-21,Kerala,16481,5020,7191,3241,1029,12161,4483,6226,1133,319
2020-21,Ladakh,1056,915,29,112,0,874,826,6,42,0
2020-21,Lakshadweep,45,45,0,0,0,45,45,0,0,0
2020-21,Madhya Pradesh,133271,99152,773,31512,1834,106987,86018,580,19554,835
2020-21,Maharashtra,110114,65734,23924,19632,824,100924,63373,21439,15631,481
2020-21,Manipur,4653,2878,585,1027,163,2370,2025,153,172,20
2020-21,Meghalaya,14694,7795,4176,2179,544,3975,3130,600,193,52
2020-21,Mizoram,3925,2558,231,1050,86,1734,1563,53,113,5
2020-21,Nagaland,2719,1975,0,743,1,1048,940,0,108,0
2020-21,Odisha,64185,50256,5844,6393,1692,52341,44467,2394,4568,912
2020-21,Puducherry,741,422,33,286,0,485,393,6,86,0
2020-21,Punjab,28695,19330,455,8893,17,28695,19330,455,8893,17
2020-21,Rajasthan,107376,68813,0,36023,2540,66234,48910,0,17032,292
2020-21,Sikkim,1263,851,19,393,0,250,204,3,43,0
2020-21,Tamil Nadu,58904,37589,8326,12402,587,47128,37340,5309,4325,154
2020-21,Telangana,42917,30015,700,12023,179,34867,25495,225,9070,77
2020-21,Tripura,4934,4265,43,360,266,2627,2488,27,74,38
2020-21,Uttar Pradesh,256911,137068,8125,96741,14977,162603,112296,4486,41185,4636
2020-21,Uttarakhand,23169,16651,614,5396,508,13528,11976,176,1255,121
2020-21,West Bengal,95153,83379,87,10042,1645,72844,69989,51,2478,326
2021-22,India,1489115,1022386,82480,335844,48405,1069795,840062,52621,163635,13477
2021-22,Andaman and Nicobar Islands,416,342,2,72,0,261,238,0,23,0
2021-22,Andhra Pradesh,61948,45137,1542,15058,211,33306,27232,573,5441,60
2021-22,Arunachal Pradesh,3603,2985,68,503,47,884,776,14,85,9
2021-22,Assam,60859,45490,3841,5852,5676,42188,40760,362,839,227
2021-22,Bihar,93165,75558,742,8097,8768,66179,59611,356,3120,3092
2021-22,Chandigarh,233,123,7,76,27,204,119,6,69,10
2021-22,Chhattisgarh,56512,48743,417,7063,289,47177,43137,251,3682,107
2021-22,Daman and Diu and Dadra and Nagar Haveli,460,388,8,63,1,427,386,8,32,1
2021-22,Delhi,5619,2762,247,2610,0,5619,2762,247,2610,0
2021-22,Goa,1510,814,557,139,0,917,722,160,35,0
2021-22,Gujarat,53851,34699,5590,13559,3,44126,33490,3727,6906,3
2021-22,Haryana,23726,14562,16,8261,887,17236,12354,9,4555,318
2021-22,Himachal Pradesh,18028,15380,0,2646,2,13987,13402,0,585,0
