Year,State,All ages - Pre-Primary to Higher Secondary - Boys,All ages - Pre-Primary to Higher Secondary - Girls,All ages - Pre-Primary to Higher Secondary - Total,All ages - Pre-Primary - Boys,All ages - Pre-Primary - Girls,All ages - Pre-Primary - Total,All ages - Primary (1-5) - Boys,All ages - Primary (1-5) - Girls,All ages - Primary (1-5) - Total,All ages - Upper Primary (6-8) - Boys,All ages - Upper Primary (6-8) - Girls,All ages - Upper Primary (6-8) - Total,All ages - Secondary (9-10) - Boys,All ages - Secondary (9-10) - Girls,All ages - Secondary (9-10) - Total,All ages - Higher Secondary (11-12) - Boys,All ages - Higher Secondary (11-12) - Girls,All ages - Higher Secondary (11-12) - Total,< 6 years - All - Boys,< 6 years - All - Girls,< 6 years - All - Total,< 6 years - Pre-Primary - Boys,< 6 years - Pre-Primary - Girls,< 6 years - Pre-Primary - Total,< 6 years - Primary (1-5) - Boys,< 6 years - Primary (1-5) - Girls,< 6 years - Primary (1-5) - Total,6-10 years - All - Boys,6-10 years - All - Girls,6-10 years - All - Total,6-10 years - Primary (1-5) - Boys,6-10 years - Primary (1-5) - Girls,6-10 years - Primary (1-5) - Total,6-10 years - Upper Primary (6-8) - Boys,6-10 years - Upper Primary (6-8) - Girls,6-10 years - Upper Primary (6-8) - Total,11-13 years - All - Boys,11-13 years - All - Girls,11-13 years - All - Total,11-13 years - Primary (1-5) - Boys,11-13 years - Primary (1-5) - Girls,11-13 years - Primary (1-5) - Total,11-13 years - Upper Primary (6-8) - Boys,11-13 years - Upper Primary (6-8) - Girls,11-13 years - Upper Primary (6-8) - Total,11-13 years - Secondary (9-10) - Boys,11-13 years - Secondary (9-10) - Girls,11-13 years - Secondary (9-10) - Total,14-15 years - All - Boys,14-15 years - All - Girls,14-15 years - All - Total,14-15 years - Primary (1-5) - Boys,14-15 years - Primary (1-5) - Girls,14-15 years - Primary (1-5) - Total,14-15 years - Upper Primary (6-8) - Boys,14-15 years - Upper Primary (6-8) - Girls,14-15 years - Upper Primary (6-8) - Total,14-15 years - Secondary (9-10) - Boys,14-15 years - Secondary (9-10) - Girls,14-15 years - Secondary (9-10) - Total,14-15 years - Higher Secondary (11-12) - Boys,14-15 years - Higher Secondary (11-12) - Girls,14-15 years - Higher Secondary (11-12) - Total,16-17 years - All - Boys,16-17 years - All - Girls,16-17 years - All - Total,16-17 years - Primary (1-5) - Boys,16-17 years - Primary (1-5) - Girls,16-17 years - Primary (1-5) - Total,16-17 years - Upper Primary (6-8) - Boys,16-17 years - Upper Primary (6-8) - Girls,16-17 years - Upper Primary (6-8) - Total,16-17 years - Secondary (9-10) - Boys,16-17 years - Secondary (9-10) - Girls,16-17 years - Secondary (9-10) - Total,16-17 years - Higher Secondary (11-12) - Boys,16-17 years - Higher Secondary (11-12) - Girls,16-17 years - Higher Secondary (11-12) - Total,>17 years - All - Boys,>17 years - All - Girls,>17 years - All - Total,>17 years - Primary (1-5) - Boys,>17 years - Primary (1-5) - Girls,>17 years - Primary (1-5) - Total,>17 years - Upper Primary (6-8) - Boys,>17 years - Upper Primary (6-8) - Girls,>17 years - Upper Primary (6-8) - Total,>17 years - Secondary (9-10) - Boys,>17 years - Secondary (9-10) - Girls,>17 years - Secondary (9-10) - Total,>17 years - Higher Secondary (11-12) - Boys,>17 years - Higher Secondary (11-12) - Girls,>17 years - Higher Secondary (11-12) - Total,6-10 years - Pre-Primary - Boys,6-10 years - Pre-Primary - Girls,6-10 years - Pre-Primary - Total
2019-20,Maharashtra,12257528,10796829,23054357,469886,409846,879732,5217559,4627949,9845508,3104825,2743209,5848034,1988545,1716461,3705006,1476713,1299364,2776077,514163,449913,964076,469886,409846,879732,44277,40067,84344,4943012,4432117,9375129,4782204,4276569,9058773,160808,155548,316356,3037226,2677287,5714513,383511,307729,691240,2477019,2202406,4679425,176696,167152,343848,1888388,1657967,3546355,6601,3159,9760,447847,372355,820202,1329312,1173642,2502954,104628,108811,213439,1399602,1231480,2631082,966,425,1391,15785,11145,26930,450553,358694,809247,932298,861216,1793514,475137,348065,823202,0,0,0,3366,1755,5121,31984,16973,48957,439787,329337,769124,NA,NA,NA
2019-20,Manipur,366220,352294,718514,38400,35851,74251,170929,162926,333855,78799,77045,155844,44625,44058,88683,33467,32414,65881,55739,52386,108125,38400,35851,74251,17339,16535,33874,153440,146746,300186,144002,137564,281566,9438,9182,18620,80160,78189,158349,9155,8468,17623,62579,61317,123896,8426,8404,16830,43586,43609,87195,391,334,725,6046,5882,11928,31916,31558,63474,5233,5835,11068,27070,25867,52937,42,25,67,638,596,1234,3872,3724,7596,22518,21522,44040,6225,5497,11722,0,0,0,98,68,166,411,372,783,5716,5057,10773,NA,NA,NA
2019-20,Meghalaya,576334,596537,1172871,115141,111027,226168,268514,263753,532267,112391,125756,238147,52823,63228,116051,27465,32773,60238,129835,125390,255225,115141,111027,226168,14694,14363,29057,207986,205312,413298,201584,197947,399531,6402,7365,13767,118495,126688,245183,47543,46816,94359,68482,76654,145136,2470,3218,5688,62816,73253,136069,4414,4355,8769,30268,34525,64793,27290,33338,60628,844,1035,1879,40612,46910,87522,279,272,551,6523,6536,13059,18378,21651,40029,15432,18451,33883,16590,18984,35574,0,0,0,716,676,1392,4685,5021,9706,11189,13287,24476,NA,NA,NA
2019-20,Mizoram,156497,151797,308294,19429,18767,38196,69715,65797,135512,34773,33256,68029,20474,21125,41599,12106,12852,24958,22987,22077,45064,19429,18767,38196,3558,3310,6868,55626,52913,108539,54559,51935,106494,1067,978,2045,35170,33993,69163,10913,10082,20995,23021,22718,45739,1236,1193,2429,21371,21563,42934,631,439,1070,9014,8276,17290,11035,11923,22958,691,925,1616,15179,15426,30605,54,31,85,1475,1134,2609,6844,7010,13854,6806,7251,14057,6164,5825,11989,0,0,0,196,150,346,1359,999,2358,4609,4676,9285,NA,NA,NA
2019-20,Nagaland,232992,228073,461065,45043,42355,87398,95273,91051,186324,49405,49747,99152,27241,28196,55437,16030,16724,32754,47954,45221,93175,45043,42355,87398,2911,2866,5777,81041,77586,158627,79112,75637,154749,1929,1949,3878,49845,49213,99058,12220,11461,23681,35978,36125,72103,1647,1627,3274,28988,29758,58746,943,996,1939,9652,9721,19373,17168,18036,35204,1225,1005,2230,18014,19298,37312,87,91,178,1614,1695,3309,7162,7371,14533,9151,10141,19292,7150,6997,14147,0,0,0,232,257,489,1264,1162,2426,5654,5578,11232,NA,NA,NA
2019-20,Odisha,4130052,3903763,8033815,175485,171436,346921,1848635,1730184,3578819,1081649,1004415,2086064,639097,613417,1252514,385186,384311,769497,430135,421038,851173,175485,171436,346921,254650,249602,504252,1709069,1605663,3314732,1467453,1370861,2838314,241616,234802,476418,1139752,1054435,2194187,112715,97651,210366,756937,696717,1453654,270100,260067,530167,437400,412683,850083,13693,11961,25654,79665,70292,149957,343616,330112,673728,426,318,744,319947,327820,647767,124,109,233,2886,2240,5126,22804,21156,43960,294133,304315,598448,93749,82124,175873,0,0,0,545,364,909,2577,2082,4659,90627,79678,170305,NA,NA,NA
2019-20,Puducherry,138937,133301,272238,16622,15348,31970,52467,49090,101557,32299,30361,62660,20986,20233,41219,16563,18269,34832,23751,22141,45892,16622,15348,31970,7129,6793,13922,52330,48689,101019,44784,41848,86632,7546,6841,14387,31302,29773,61075,549,445,994,23957,22704,46661,6796,6624,13420,18617,19186,37803,5,4,9,754,798,1552,13165,12352,25517,4693,6032,10725,11696,12270,23966,0,0,0,41,17,58,991,1208,2199,10664,11045,21709,1241,1242,2483,0,0,0,1,1,2,34,49,83,1206,1192,2398,NA,NA,NA
2019-20,Punjab,3422844,2904862,6327706,459971,391870,851841,1278715,1085375,2364090,774341,653197,1427538,528834,448723,977557,380983,325697,706680,460778,392598,853376,459971,391870,851841,807,728,1535,1230138,1057452,2287590,1226041,1052826,2278867,4097,4626,8723,769233,646118,1415351,51729,31732,83461,712956,609064,1322020,4548,5322,9870,510407,434615,945022,137,89,226,52083,36192,88275,407452,366079,773531,50735,32255,82990,394715,335141,729856,1,0,1,4796,3076,7872,102463,69815,172278,287455,262250,549705,57573,38938,96511,0,0,0,409,239,648,14371,7507,21878,42793,31192,73985,NA,NA,NA
2019-20,Rajasthan,9680382,8256985,17937367,651998,509701,1161699,4347312,3891312,8238624,2201120,1876304,4077424,1446472,1168976,2615448,1033480,810692,1844172,1049733,871445,1921178,651998,509701,1161699,397735,361744,759479,3786164,3376690,7162854,3556579,3185124,6741703,229585,191566,421151,2238571,1909210,4147781,381422,335332,716754,1610840,1379433,2990273,246309,194445,440754,1368639,1117337,2485976,10951,8649,19600,330924,280663,611587,833312,676706,1510018,193452,151319,344771,948268,756907,1705175,625,463,1088,27714,22892,50606,327361,266434,593795,592568,467118,1059686,289007,225396,514403,0,0,0,2057,1750,3807,39490,31391,70881,247460,192255,439715,NA,NA,NA
2019-20,Sikkim,71805,70727,142532,10270,9612,19882,25740,22909,48649,16540,16260,32800,12436,13661,26097,6819,8285,15104,11222,10526,21748,10270,9612,19882,952,914,1866,21193,19672,40865,20340,18860,39200,853,812,1665,14926,14585,29511,3727,2933,6660,10401,10746,21147,798,906,1704,10553,10821,21374,505,173,678,4157,3805,7962,5513,6301,11814,378,542,920,8948,9645,18593,216,29,245,960,773,1733,4673,5022,9695,3099,3821,6920,4963,5478,10441,0,0,0,169,124,293,1452,1432,2884,3342,3922,7264,NA,NA,NA
2019-20,Tamil Nadu,6801045,6516838,13317883,669077,590983,1260060,2697221,2515659,5212880,1614679,1523484,3138163,1036698,989587,2026285,783370,897125,1680495,1039756,952014,1991770,669077,590983,1260060,370679,361031,731710,2706621,2540774,5247395,2313438,2146516,4459954,393183,394258,787441,1593244,1518583,3111827,13104,8112,21216,1203296,1118630,2321926,376844,391841,768685,955248,964928,1920176,0,0,0,17650,10251,27901,640593,587113,1227706,297005,367564,664569,493626,531725,1025351,0,0,0,550,345,895,18956,10476,29432,474120,520904,995024,12550,8814,21364,0,0,0,0,0,0,305,157,462,12245,8657,20902,NA,NA,NA
2019-20,Telangana,3563960,3373680,6937640,147548,124617,272165,1619171,1490983,3110154,886305,837755,1724060,557355,534684,1092039,353581,385641,739222,302148,295391,597539,147548,124617,272165,154600,170774,325374,1505892,1418756,2924648,1372302,1262528,2634830,133590,156228,289818,873090,829081,1702171,90339,56523,146862,662828,626501,1289329,119923,146057,265980,449188,397516,846704,1930,1158,3088,82883,50687,133570,363682,344158,707840,693,1513,2206,250943,272690,523633,0,0,0,7004,4339,11343,70113,42326,112439,173826,226025,399851,182699,160246,342945,0,0,0,0,0,0,3637,2143,5780,179062,158103,337165,NA,NA,NA
2019-20,Tripura,372997,363941,736938,18326,15480,33806,166776,161814,328590,96571,95246,191817,61040,61915,122955,30284,29486,59770,19561,16712,36273,18326,15480,33806,1235,1232,2467,161935,157616,319551,160526,156246,316772,1409,1370,2779,94649,93114,187763,4920,4284,9204,88217,87248,175465,1512,1582,3094,58103,58332,116435,93,50,143,6727,6446,13173,50471,50945,101416,812,891,1703,32456,32383,64839,2,2,4,200,167,367,8546,8842,17388,23708,23372,47080,6293,5784,12077,0,0,0,18,15,33,511,546,1057,5764,5223,10987,NA,NA,NA
2019-20,Uttar Pradesh,23996544,21838011,45834555,267753,204743,472496,12273346,11437593,23710939,5650853,5327142,10977995,3339581,2793611,6133192,2465011,2074922,4539933,1120441,961312,2081753,267753,204743,472496,852688,756569,1609257,11734329,10930937,22665266,10910596,10186841,21097437,823733,744096,1567829,5639533,5217920,10857453,492704,474768,967472,4254383,4008259,8262642,892446,734893,1627339,3102485,2675764,5778249,16341,18391,34732,527871,527317,1055188,1892041,1577327,3469368,666232,552729,1218961,1916732,1636653,3553385,1017,1024,2041,40285,42891,83176,492042,426520,918562,1383388,1166218,2549606,483024,415425,898449,0,0,0,4581,4579,9160,63052,54871,117923,415391,355975,771366,NA,NA,NA
2019-20,Uttarakhand,1301599,1165671,2467270,70098,57302,127400,564902,497529,1062431,311342,280447,591789,203068,180869,383937,152189,149524,301713,119888,102350,222238,70098,57302,127400,49790,45048,94838,518116,456453,974569,475070,419238,894308,43046,37215,80261,310367,275340,585707,38358,31990,70348,230245,208819,439064,41764,34531,76295,191313,173161,364474,1562,1178,2740,34880,31706,66586,121200,110975,232175,33671,29302,62973,127593,123385,250978,122,75,197,2973,2560,5533,36329,32135,68464,88169,88615,176784,34322,34982,69304,0,0,0,198,147,345,3775,3228,7003,30349,31607,61956,NA,NA,NA
2019-20,West Bengal,9257890,9489902,18747792,907452,848371,1755823,4167235,4014987,8182222,2045941,2102069,4148010,1275174,1529466,2804640,862088,995009,1857097,956975,895662,1852637,907452,848371,1755823,49523,47291,96814,3990512,3833943,7824455,3898324,3744464,7642788,92188,89479,181667,2046854,2096673,4143527,215133,219034,434167,1697302,1729106,3426408,134419,148533,282952,1274463,1471789,2746252,3028,2999,6027,239262,262425,501687,931802,1094351,2026153,100371,112014,212385,830810,989007,1819817,1227,1199,2426,15667,18997,34664,196744,261972,458716,617172,706839,1324011,158276,202828,361104,0,0,0,1522,2062,3584,12209,24610,36819,144545,176156,320701,NA,NA,NA
2020-21,India,137435039,127014948,264449987,5703209,4942317,10645526,63529651,58491640,122021291,33965154,31889045,65854199,20383068,18623307,39006375,13853957,13068639,26922596,9490299,8420182,17910481,5703209,4942317,10645526,3787090,3477865,7264955,60545851,55957487,116503338,56943508,52542804,109486312,3602343,3414683,7017026,33859134,31599358,65458492,2722810,2400301,5123111,27280090,25634765,52914855,3856234,3564292,7420526,18667624,17205305,35872929,70484,65648,136132,2860518,2633211,5493729,13392206,12280374,25672580,2344416,2226072,4570488,11936793,11255124,23191917,5759,5022,10781,198098,182080,380178,2871571,2550035,5421606,8861365,8517987,17379352,2935338,2577492,5512830,0,0,0,24105,24306,48411,263057,228606,491663,2648176,2324580,4972756,NA,NA,NA
2020-21,Andaman and Nicobar Islands,37434,36470,73904,3525,3353,6878,14028,13392,27420,9031,8928,17959,6899,6245,13144,3951,4552,8503,3920,3761,7681,3525,3353,6878,395,408,803,13515,13129,26644,12619,12225,24844,896,904,1800,8728,8474,17202,996,746,1742,6920,6881,13801,812,847,1659,5793,5671,11464,17,13,30,1087,1036,2123,4273,4040,8313,416,582,998,4338,4469,8807,1,0,1,121,104,225,1559,1223,2782,2657,3142,5799,1140,966,2106,0,0,0,7,3,10,255,135,390,878,828,1706,NA,NA,NA
2020-21,Andhra Pradesh,4371872,4039052,8410924,107157,95181,202338,1995805,1806538,3802343,1121378,1035910,2157288,699938,653283,1353221,447594,448140,895734,480319,438333,918652,107157,95181,202338,373162,343152,716314,1622643,1463386,3086029,1622643,1463386,3086029,0,0,0,1121378,1035910,2157288,0,0,0,1121378,1035910,2157288,0,0,0,699938,653283,1353221,0,0,0,0,0,0,699938,653283,1353221,0,0,0,447594,448140,895734,0,0,0,0,0,0,0,0,0,447594,448140,895734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
2020-21,Arunachal Pradesh,171934,175680,347614,10444,9584,20028,85160,83936,169096,41267,44320,85587,22642,24189,46831,12421,13651,26072,18242,17226,35468,10444,9584,20028,7798,7642,15440,72679,71819,144498,68363,67334,135697,4316,4485,8801,40471,42612,83083,8388,8379,16767,28313,30231,58544,3770,4002,7772,23540,25495,49035,552,538,1090,7313,7949,15262,13448,14356,27804,2227,2652,4879,13206,14450,27656,59,43,102,1161,1464,2625,4771,5068,9839,7215,7875,15090,3796,4078,7874,0,0,0,164,191,355,653,763,1416,2979,3124,6103,NA,NA,NA
2020-21,Assam,3749480,3832539,7582019,238439,221831,460270,1873589,1832649,3706238,941722,1011924,1953646,476228,545790,1022018,219502,220345,439847,302640,283073,585713,238439,221831,460270,64201,61242,125443,1833894,1800779,3634673,1757422,1720743,3478165,76472,80036,156508,893069,951751,1844820,50840,49765,100605,786237,841752,1627989,55992,60234,116226,445905,508309,954214,1061,847,1908,75874,86648,162522,349785,400778,750563,19185,20036,39221,216429,231763,448192,65,52,117,2968,3294,6262,64981,78742,143723,148415,149675,298090,57543,56864,114407,0,0,0,171,194,365,5470,6036,11506,51902,50634,102536,NA,NA,NA
2020-21,Bihar,13567954,13067462,26635416,289413,198059,487472,7087578,6640705,13728283,3475667,3552349,7028016,1756057,1763914,3519971,959239,912435,1871674,502215,379658,881873,289413,198059,487472,212802,181599,394401,6943492,6524877,13468369,6736916,6326984,13063900,206576,197893,404469,3819742,3876284,7696026,134785,127846,262631,3145529,3221776,6367305,539428,526662,1066090,1510714,1515054,3025768,2935,4153,7088,113347,120594,233941,1064140,1076241,2140381,330292,314066,644358,652715,632960,1285675,140,123,263,7523,8707,16230,140299,148490,288789,504753,475640,980393,139076,138629,277705,0,0,0,2692,3379,6071,12190,12521,24711,124194,122729,246923,NA,NA,NA
2020-21,Chandigarh,139130,121408,260538,11779,10676,22455,48303,42909,91212,34199,29625,63824,23250,19310,42560,21599,18888,40487,13810,12524,26334,11779,10676,22455,2031,1848,3879,44676,40345,85021,42253,38016,80269,2423,2329,4752,33845,29292,63137,3963,3033,6996,27129,23742,50871,2753,2517,5270,22747,19178,41925,54,11,65,4382,3386,7768,16001,13525,29526,2310,2256,4566,19677,16974,36651,2,1,3,260,164,424,4221,3116,7337,15194,13693,28887,4375,3095,7470,0,0,0,5,4,9,275,152,427,4095,2939,7034,NA,NA,NA
2020-21,Chhattisgarh,2994633,2964398,5959031,139981,124338,264319,1360383,1296333,2656716,745791,727096,1472887,456242,475030,931272,292236,341601,633837,171044,153081,324125,139981,124338,264319,31063,28743,59806,1307296,1250545,2557841,1275302,1218984,2494286,31994,31561,63555,691071,673261,1364332,53111,48033,101144,606753,593491,1200244,31207,31737,62944,429712,444224,873936,865,542,1407,103270,99164,202434,304721,320393,625114,20856,24125,44981,310062,348952,659014,42,31,73,3400,2716,6116,114496,117603,232099,192124,228602,420726,85448,94335,179783,0,0,0,374,164,538,5818,5297,11115,79256,88874,168130,NA,NA,NA
2020-21,Daman and Diu and Dadra and Nagar Haveli,67236,61377,128613,2906,2466,5372,30620,27759,58379,18086,16353,34439,9976,8725,18701,5648,6074,11722,3261,2822,6083,2906,2466,5372,355,356,711,27047,24877,51924,26491,24352,50843,556,525,1081,18500,16626,35126,3676,2985,6661,14194,12993,27187,630,648,1278,10266,9503,19769,93,62,155,3098,2651,5749,6560,6047,12607,515,743,1258,6404,6091,12495,5,4,9,224,177,401,2573,1912,4485,3602,3998,7600,1758,1458,3216,0,0,0,14,7,21,213,118,331,1531,1333,2864,NA,NA,NA
2020-21,Delhi,2358431,2118202,4476633,128048,120292,248340,925377,823755,1749132,612766,540492,1153258,404481,357955,762436,287759,275708,563467,211744,194288,406032,128048,120292,248340,83696,73996,157692,883550,770716,1654266,802999,714214,1517213,80551,56502,137053,580781,505337,1086118,38200,35044,73244,470731,420245,890976,71850,50048,121898,371864,330501,702365,468,485,953,58297,60011,118308,258822,231344,490166,54277,38661,92938,255170,247673,502843,14,16,30,3187,3734,6921,69234,70842,140076,182735,173081,355816,55322,69687,125009,0,0,0,0,0,0,4575,5721,10296,50747,63966,114713,NA,NA,NA
2020-21,Goa,156113,146010,302123,10715,9801,20516,62280,58499,120779,37097,34680,71777,26831,23386,50217,19190,19644,38834,12040,11043,23083,10715,9801,20516,1325,1242,2567,59903,56301,116204,58119,54743,112862,1784,1558,3342,36516,34151,70667,2816,2505,5321,31687,29973,61660,2013,1673,3686,24830,22656,47486,18,8,26,3514,3061,6575,19621,17783,37404,1677,1804,3481,17157,16955,34112,2,1,3,99,79,178,4842,3754,8596,12214,13121,25335,5667,4904,10571,0,0,0,13,9,22,355,176,531,5299,4719,10018,NA,NA,NA
2020-21,Gujarat,6156492,5339349,11495841,103948,83899,187847,2847754,2534675,5382429,1636748,1445579,3082327,1032325,809118,1841443,535717,466078,1001795,329452,289412,618864,103948,83899,187847,225504,205513,431017,2742082,2442142,5184224,2527148,2248276,4775424,214934,193866,408800,1552335,1362255,2914590,93613,79640,173253,1308538,1158584,2467122,150184,124031,274215,916293,734957,1651250,1378,1169,2547,108244,89551,197795,735458,579248,1314706,71213,64989,136202,527701,440459,968160,111,77,188,4554,3253,7807,140103,101643,241746,382933,335486,718419,88629,70124,158753,0,0,0,478,325,803,6580,4196,10776,81571,65603,147174,NA,NA,NA
2020-21,Haryana,3187935,2620705,5808640,115650,90837,206487,1367212,1131360,2498572,794337,648976,1443313,537284,426995,964279,373452,322537,695989,272220,238548,510768,115650,90837,206487,156570,147711,304281,1242436,1034093,2276529,1112081,912484,2024565,130355,121609,251964,791744,650718,1442462,94520,68526,163046,571050,462664,1033714,126174,119528,245702,489101,392194,881295,3783,2486,6269,84170,58954,143124,312499,242667,555166,88649,88087,176736,314497,248875,563372,258,153,411,8105,5288,13393,87697,58457,146154,218437,184977,403414,77937,56277,134214,0,0,0,657,461,1118,10914,6343,17257,66366,49473,115839,NA,NA,NA
2020-21,Himachal Pradesh,747625,679464,1427089,49681,44093,93774,290534,264666,555200,177686,162206,339892,124667,109083,233750,105057,99416,204473,84464,76413,160877,49681,44093,93774,34783,32320,67103,280294,256424,536718,249314,227274,476588,30980,29150,60130,171431,156156,327587,6259,4924,11183,137385,125592,262977,27787,25640,53427,113724,101749,215473,163,139,302,8915,7155,16070,83165,72724,155889,21481,21731,43212,83056,75988,159044,15,9,24,376,295,671,13054,10178,23232,69611,65506,135117,14656,12734,27390,0,0,0,30,14,44,661,541,1202,13965,12179,26144,NA,NA,NA
2020-21,Jammu and Kashmir,1354407,1221951,2576358,155079,139510,294589,568559,522456,1091015,301755,275000,576755,179809,157978,337787,149205,127007,276212,244602,221518,466120,155079,139510,294589,89523,82008,171531,527168,484087,1011255,460541,423445,883986,66627,60642,127269,284574,257969,542543,17899,16545,34444,214853,195629,410482,51822,45795,97617,152340,133301,285641,551,441,992,18598,17134,35732,104622,91479,196101,28569,24247,52816,109104,94640,203744,45,17,62,1442,1390,2832,21720,19222,40942,85897,74011,159908,36619,30436,67055,0,0,0,235,205,440,1645,1482,3127,34739,28749,63488,NA,NA,NA
2020-21,Jharkhand,4036707,3878483,7915190,197076,154908,351984,1969395,1834184,3803579,1023517,1031686,2055203,493591,508374,1001965,353128,349331,702459,270338,216498,486836,197076,154908,351984,73262,61590,134852,1862927,1741811,3604738,1799647,1684746,3484393,63280,57065,120345,1036242,1031667,2067909,93477,85285,178762,867175,872801,1739976,75590,73581,149171,470451,480868,951319,2770,2410,5180,84888,92848,177736,330073,336899,666972,52720,48711,101431,297105,304282,601387,239,153,392,7166,7917,15083,79923,88877,168800,209777,207335,417112,99644,103357,203001,0,0,0,1008,1055,2063,8005,9017,17022,90631,93285,183916,NA,NA,NA
2020-21,Karnataka,6100839,5755897,11856736,148714,129597,278311,2758532,2557571,5316103,1622911,1535279,3158190,989476,916740,1906216,581206,616710,1197916,272060,256482,528542,148714,129597,278311,123346,126885,250231,2708517,2538030,5246547,2560050,2378584,4938634,148467,159446,307913,1591517,1510268,3101785,73596,51255,124851,1392292,1316844,2709136,125629,142169,267798,921192,855013,1776205,1363,775,2138,77887,56214,134101,782148,721848,1503996,59794,76176,135970,510289,514735,1025024,177,72,249,3686,2368,6054,78285,50836,129121,428141,461459,889600,97264,81369,178633,0,0,0,579,407,986,3414,1887,5301,93271,79075,172346,NA,NA,NA
2020-21,Kerala,3240299,3138772,6379071,282674,273318,555992,1257560,1202998,2460558,761333,729084,1490417,512557,488061,1000618,426175,445311,871486,359266,348255,707521,282674,273318,555992,76592,74937,151529,1211039,1160528,2371567,1138983,1089925,2228908,72056,70603,142659,751887,724493,1476380,41119,37584,78703,644931,619687,1264618,65837,67222,133059,490938,469925,960863,712,468,1180,42448,37307,79755,402675,383030,785705,45103,49120,94223,367253,378309,745562,154,84,238,1144,927,2071,43111,36925,80036,322844,340373,663217,59916,57262,117178,0,0,0,754,560,1314,934,884,1818,58228,55818,114046,NA,NA,NA
2020-21,Ladakh,29441,29812,59253,5551,5093,10644,11693,11289,22982,5923,6155,12078,3520,3870,7390,2754,3405,6159,6516,6063,12579,5551,5093,10644,965,970,1935,10272,9998,20270,9570,9215,18785,702,783,1485,5802,6090,11892,1108,1074,2182,4142,4358,8500,552,658,1210,3234,3463,6697,45,28,73,934,908,1842,2087,2260,4347,168,267,435,2219,2964,5183,5,2,7,142,101,243,767,838,1605,1305,2023,3328,1398,1234,2632,0,0,0,3,5,8,114,114,228,1281,1115,2396,NA,NA,NA
2020-21,Lakshadweep,6750,6364,13114,547,536,1083,2707,2587,5294,1302,1155,2457,1164,1080,2244,1030,1006,2036,547,536,1083,547,536,1083,0,0,0,2680,2566,5246,2632,2533,5165,48,33,81,1436,1233,2669,75,54,129,1221,1095,2316,140,84,224,1059,993,2052,0,0,0,33,27,60,985,926,1911,41,40,81,984,932,1916,0,0,0,0,0,0,39,70,109,945,862,1807,44,104,148,0,0,0,0,0,0,0,0,0,44,104,148,NA,NA,NA
2020-21,Madhya Pradesh,8506740,7735628,16242368,430147,355976,786123,3883132,3574207,7457339,2228271,2046802,4275073,1202941,1053461,2256402,762249,705182,1467431,641260,547538,1188798,430147,355976,786123,211113,191562,402675,3653946,3366401,7020347,3435261,3169879,6605140,218685,196522,415207,2107071,1931758,4038829,229919,206536,436455,1708022,1577157,3285179,169130,148065,317195,1125312,1006707,2132019,6497,5832,12329,275090,250639,525729,730129,645264,1375393,113596,104972,218568,742769,669875,1412644,342,398,740,24092,20209,44301,274101,236202,510303,444234,413066,857300,236382,213349,449731,0,0,0,2382,2275,4657,29581,23930,53511,204419,187144,391563,NA,NA,NA
2020-21,Maharashtra,11934392,10577447,22511839,317166,279766,596932,5030291,4514119,9544410,3107096,2739490,5846586,1996134,1729080,3725214,1483705,1314992,2798697,357055,315580,672635,317166,279766,596932,39889,35814,75703,4737210,4293120,9030330,4595834,4157669,8753503,141376,135451,276827,3013574,2658086,5671660,387554,316791,704345,2459380,2184138,4643518,166640,157157,323797,1898165,1665339,3563504,6139,3413,9552,486054,405712,891766,1300140,1150875,2451015,105832,105339,211171,1444719,1272391,2717110,875,432,1307,17565,12605,30170,497353,402424,899777,928926,856930,1785856,483669,372931,856600,0,0,0,2721,1584,4305,32001,18624,50625,448947,352723,801670,NA,NA,NA
2020-21,Manipur,363216,350910,714126,34214,32076,66290,169006,161823,330829,78642,77141,155783,45737,45334,91071,35617,34536,70153,52553,49327,101880,34214,32076,66290,18339,17251,35590,152487,146512,298999,142556,136877,279433,9931,9635,19566,80250,78612,158862,7865,7470,15335,63224,62094,125318,9161,9048,18209,43396,42946,86342,229,210,439,5046,5091,10137,32874,32527,65401,5247,5118,10365,29497,29214,58711,17,15,32,413,291,704,3443,3507,6950,25624,25401,51025,5033,4299,9332,0,0,0,28,30,58,259,252,511,4746,4017,8763,NA,NA,NA
2020-21,Meghalaya,578436,600290,1178726,112085,108145,220230,273092,268417,541509,114362,128055,242417,53179,64608,117787,25718,31065,56783,126943,122437,249380,112085,108145,220230,14858,14292,29150,219693,215457,435150,212559,207987,420546,7134,7470,14604,117573,127272,244845,42263,42673,84936,72727,81254,153981,2583,3345,5928,61556,71528,133084,3216,3214,6430,28911,33275,62186,28575,33955,62530,854,1084,1938,37320,44814,82134,196,251,447,5075,5583,10658,18035,22514,40549,14014,16466,30480,15351,18782,34133,0,0,0,515,473,988,3986,4794,8780,10850,13515,24365,NA,NA,NA
