Year,State,Total Schools,Number of schools having drinking water facility within school premises - all management - Any source of drinking water,Number of schools having drinking water facility within school premises - all management - Tap Water,Number of schools having drinking water facility within school premises - all management - Packed Water,Number of schools having drinking water facility within school premises - all management - Hand Pump,Number of schools having drinking water facility within school premises - all management - Well,Number of schools having drinking water facility within school premises - all management - Unprotected Well,Number of schools having drinking water facility within school premises - all management - Other sources,No. of schools not having drinking water facility within school premises
2020-21,Himachal Pradesh,2753,2752,2624,6,60,25,0,37,1
2020-21,Jammu and Kashmir,5649,5612,5123,17,288,99,10,75,37
2020-21,Jharkhand,1542,1537,875,17,584,22,0,39,5
2020-21,Karnataka,19915,19895,18238,641,328,284,13,391,20
2020-21,Kerala,3241,3241,1435,74,86,1553,12,81,0
2020-21,Ladakh,112,108,65,6,17,3,0,17,4
2020-21,Lakshadweep,0,0,0,0,0,0,0,0,0
2020-21,Madhya Pradesh,31512,30549,17947,410,7166,1155,73,3798,963
2020-21,Maharashtra,19632,19604,14889,822,1092,1007,17,1777,28
2020-21,Manipur,1027,1011,480,109,44,74,16,288,16
2020-21,Meghalaya,2179,947,635,18,57,97,63,77,1232
2020-21,Mizoram,1050,1012,802,18,1,9,0,182,38
2020-21,Nagaland,743,590,373,27,10,57,3,120,153
2020-21,Odisha,6393,6169,4159,65,1829,77,0,39,224
2020-21,Puducherry,286,286,268,3,1,4,0,10,0
2020-21,Punjab,8893,8893,7447,23,176,47,1,1199,0
2020-21,Rajasthan,36023,35860,29319,612,2269,1603,87,1970,163
2020-21,Sikkim,393,393,385,0,1,1,1,5,0
2020-21,Tamil Nadu,12402,12402,11753,237,75,126,0,211,0
2020-21,Telangana,12023,12023,9277,2158,355,130,0,103,0
2020-21,Tripura,360,345,222,12,75,18,3,15,15
2020-21,Uttar Pradesh,96741,95589,38574,618,54656,209,20,1512,1152
2020-21,Uttarakhand,5396,5300,4501,33,595,53,4,114,96
2020-21,West Bengal,10042,9854,5330,832,2987,145,77,483,188
2021-22,India,335844,332437,223600,8528,82147,6753,395,11014,3407
2021-22,Andaman and Nicobar Islands,72,72,71,1,0,0,0,0,0
2021-22,Andhra Pradesh,15058,15056,11836,1867,981,77,0,295,2
2021-22,Arunachal Pradesh,503,486,426,4,29,20,2,5,17
2021-22,Assam,5852,5661,2551,98,2600,237,31,144,191
2021-22,Bihar,8097,8077,4928,117,2988,6,3,35,20
2021-22,Chandigarh,76,76,75,0,0,0,0,1,0
2021-22,Chhattisgarh,7063,7063,4103,80,2736,58,2,84,0
2021-22,Daman and Diu and Dadra and Nagar Haveli,63,63,46,6,1,1,0,9,0
2021-22,Delhi,2610,2610,2610,0,0,0,0,0,0
2021-22,Goa,139,139,137,1,0,0,0,1,0
2021-22,Gujarat,13559,13556,11956,368,617,302,15,298,3
2021-22,Haryana,8261,8259,7018,168,475,159,4,435,2
2021-22,Himachal Pradesh,2646,2646,2533,4,60,20,0,29,0
2021-22,Jammu and Kashmir,5526,5500,5069,19,272,82,7,51,26
2021-22,Jharkhand,1559,1554,965,20,526,16,0,27,5
2021-22,Karnataka,19650,19633,17907,707,439,247,9,324,17
2021-22,Kerala,3164,3164,1483,71,141,1409,5,55,0
2021-22,Ladakh,112,111,70,5,20,3,0,13,1
2021-22,Lakshadweep,0,0,0,0,0,0,0,0,0
2021-22,Madhya Pradesh,30345,29891,18323,464,8048,971,53,2032,454
2021-22,Maharashtra,19268,19250,14882,838,1452,864,13,1201,18
2021-22,Manipur,1010,1001,529,127,45,72,9,219,9
2021-22,Meghalaya,2120,1088,802,17,70,74,57,68,1032
2021-22,Mizoram,1034,982,823,12,1,7,0,139,52
2021-22,Nagaland,757,617,397,42,21,54,4,99,140
2021-22,Odisha,6104,6045,4465,90,1400,61,2,27,59
2021-22,Puducherry,281,281,260,4,5,3,0,9,0
2021-22,Punjab,7978,7978,6835,21,227,29,0,866,0
2021-22,Rajasthan,34826,34712,28694,580,2313,1352,73,1700,114
2021-22,Sikkim,376,376,373,0,0,0,1,2,0
2021-22,Tamil Nadu,12396,12396,11807,181,73,125,0,210,0
2021-22,Telangana,12193,12123,9171,1126,836,145,10,835,70
2021-22,Tripura,363,353,241,12,71,14,2,13,10
2021-22,Uttar Pradesh,97808,96844,42316,682,52401,185,20,1240,964
2021-22,Uttarakhand,5225,5170,4483,36,512,45,2,92,55
2021-22,West Bengal,9750,9604,5415,760,2787,115,71,456,146
