Year,State,Total Schools - All management,Total Schools - Government,Total Schools - Government aided,Total Schools - Pvt. unaided,Total Schools - Others,Schools with library facility - All management,Schools with library facility - Government,Schools with library facility - Government aided,Schools with library facility - Pvt. unaided,Schools with library facility - Others
2020-21,Karnataka,76905,49791,7182,19915,17,73085,47901,6862,18306,16
2020-21,Kerala,16481,5020,7191,3241,1029,16098,4966,7153,3096,883
2020-21,Ladakh,1056,915,29,112,0,980,866,22,92,0
2020-21,Lakshadweep,45,45,0,0,0,45,45,0,0,0
2020-21,Madhya Pradesh,133271,99152,773,31512,1834,124880,94043,697,28653,1487
2020-21,Maharashtra,110114,65734,23924,19632,824,107242,65099,23209,18243,691
2020-21,Manipur,4653,2878,585,1027,163,1185,315,56,767,47
2020-21,Meghalaya,14694,7795,4176,2179,544,2078,1230,491,295,62
2020-21,Mizoram,3925,2558,231,1050,86,3210,2514,158,507,31
2020-21,Nagaland,2719,1975,0,743,1,1513,1110,0,402,1
2020-21,Odisha,64185,50256,5844,6393,1692,58868,46415,5223,5893,1337
2020-21,Puducherry,741,422,33,286,0,741,422,33,286,0
2020-21,Punjab,28695,19330,455,8893,17,28695,19330,455,8893,17
2020-21,Rajasthan,107376,68813,0,36023,2540,81082,51979,0,28357,746
2020-21,Sikkim,1263,851,19,393,0,1139,802,15,322,0
2020-21,Tamil Nadu,58904,37589,8326,12402,587,58896,37581,8326,12402,587
2020-21,Telangana,42917,30015,700,12023,179,39444,27852,597,10899,96
2020-21,Tripura,4934,4265,43,360,266,3253,2933,29,211,80
2020-21,Uttar Pradesh,256911,137068,8125,96741,14977,198365,129048,5696,57645,5976
2020-21,Uttarakhand,23169,16651,614,5396,508,20782,15555,505,4443,279
2020-21,West Bengal,95153,83379,87,10042,1645,82459,76346,60,5166,887
2021-22,India,1489115,1022386,82480,335844,48405,1299929,933163,72562,268179,26025
2021-22,Andaman and Nicobar Islands,416,342,2,72,0,414,341,2,71,0
2021-22,Andhra Pradesh,61948,45137,1542,15058,211,60444,44161,1472,14631,180
2021-22,Arunachal Pradesh,3603,2985,68,503,47,1621,1203,61,336,21
2021-22,Assam,60859,45490,3841,5852,5676,53168,44561,2352,4461,1794
2021-22,Bihar,93165,75558,742,8097,8768,59021,46535,495,6486,5505
2021-22,Chandigarh,233,123,7,76,27,229,123,7,76,23
2021-22,Chhattisgarh,56512,48743,417,7063,289,55489,48365,401,6484,239
