Year,State,Total Schools,Number of schools having drinking water facility within school premises - all management - Any source of drinking water,Number of schools having drinking water facility within school premises - all management - Tap Water,Number of schools having drinking water facility within school premises - all management - Packed Water,Number of schools having drinking water facility within school premises - all management - Hand Pump,Number of schools having drinking water facility within school premises - all management - Well,Number of schools having drinking water facility within school premises - all management - Unprotected Well,Number of schools having drinking water facility within school premises - all management - Other sources,No. of schools not having drinking water facility within school premises
2019-20,Telangana,30001,28136,16116,1625,6677,346,0,3372,1865
2019-20,Tripura,4275,3383,1640,11,1236,149,67,280,892
2019-20,Uttar Pradesh,137638,135609,12238,226,122141,49,7,948,2029
2019-20,Uttarakhand,16741,15675,13322,74,1772,25,32,450,1066
2019-20,West Bengal,83456,83096,34692,3725,41180,406,285,2808,360
2020-21,India,1032049,1005078,449899,9837,466026,15603,2693,61020,26971
2020-21,Andaman and Nicobar Islands,342,342,314,1,0,7,7,13,0
2020-21,Andhra Pradesh,45145,38051,38049,0,2,0,0,0,7094
2020-21,Arunachal Pradesh,3061,2220,1817,7,259,55,20,62,841
2020-21,Assam,46749,45307,9198,68,30473,2855,597,2116,1442
2020-21,Bihar,75555,75348,12319,189,62758,10,10,62,207
2020-21,Chandigarh,121,121,121,0,0,0,0,0,0
2020-21,Chhattisgarh,48619,48548,13043,579,33748,181,30,967,71
2020-21,Daman and Diu and Dadra and Nagar Haveli,407,407,363,3,24,3,0,14,0
2020-21,Delhi,2751,2751,2751,0,0,0,0,0,0
2020-21,Goa,821,821,811,2,0,2,0,6,0
2020-21,Gujarat,34967,34952,27315,521,3739,634,67,2676,15
2020-21,Haryana,14563,14478,11768,18,1015,173,5,1499,85
2020-21,Himachal Pradesh,15391,15381,15007,39,167,21,13,134,10
2020-21,Jammu and Kashmir,23167,22375,18105,142,945,190,289,2704,792
2020-21,Jharkhand,35888,35187,4619,54,29580,411,64,459,701
2020-21,Karnataka,49791,49568,44439,826,1554,1249,83,1417,223
2020-21,Kerala,5020,4987,2092,18,90,2496,31,260,33
2020-21,Ladakh,915,875,522,24,167,4,3,155,40
2020-21,Lakshadweep,45,45,42,0,0,3,0,0,0
2020-21,Madhya Pradesh,99152,97815,9933,520,75370,1281,114,10597,1337
2020-21,Maharashtra,65734,65163,43217,627,12235,1488,250,7346,571
2020-21,Manipur,2878,2796,363,284,71,63,29,1986,82
2020-21,Meghalaya,7795,3119,1704,58,132,403,372,450,4676
2020-21,Mizoram,2558,2269,1630,60,1,23,15,540,289
2020-21,Nagaland,1975,1236,691,30,30,92,34,359,739
2020-21,Odisha,50256,50195,15644,542,33531,151,19,308,61
2020-21,Puducherry,422,422,416,0,0,0,0,6,0
2020-21,Punjab,19330,19330,11868,16,1366,15,2,6063,0
2020-21,Rajasthan,68813,66706,27006,596,24152,2748,261,11943,2107
2020-21,Sikkim,851,847,828,2,1,0,3,13,4
2020-21,Tamil Nadu,37589,37589,36171,266,301,124,5,722,0
2020-21,Telangana,30015,28190,17459,1268,5801,344,12,3306,1825
2020-21,Tripura,4265,3466,1766,15,1157,153,75,300,799
2020-21,Uttar Pradesh,137068,135451,28878,257,104816,53,8,1439,1617
2020-21,Uttarakhand,16651,15647,13623,57,1552,20,21,374,1004
2020-21,West Bengal,83379,83073,36007,2748,40989,351,254,2724,306
2021-22,India,1022386,1004397,480953,13571,443933,13754,2671,49515,17989
2021-22,Andaman and Nicobar Islands,342,342,308,2,1,10,15,6,0
2021-22,Andhra Pradesh,45137,45107,28978,4324,9645,184,38,1938,30
2021-22,Arunachal Pradesh,2985,2353,2005,6,261,43,16,22,632
2021-22,Assam,45490,44266,18884,84,20922,2373,462,1541,1224
2021-22,Bihar,75558,75355,14165,203,60903,9,8,67,203
2021-22,Chandigarh,123,123,123,0,0,0,0,0,0
2021-22,Chhattisgarh,48743,48731,15067,567,32226,126,37,708,12
2021-22,Daman and Diu and Dadra and Nagar Haveli,388,388,365,1,16,3,0,3,0
2021-22,Delhi,2762,2762,2762,0,0,0,0,0,0
2021-22,Goa,814,814,806,1,0,2,0,5,0
2021-22,Gujarat,34699,34687,27692,476,4822,403,43,1251,12
2021-22,Haryana,14562,14508,11911,20,1246,148,4,1179,54
2021-22,Himachal Pradesh,15380,15376,15123,22,128,15,3,85,4
2021-22,Jammu and Kashmir,23173,22439,18742,145,908,161,269,2214,734
2021-22,Jharkhand,35840,35144,6388,74,27794,405,96,387,696
2021-22,Karnataka,49679,49477,44132,842,2058,1168,68,1209,202
2021-22,Kerala,5010,4989,2201,20,287,2293,27,161,21
2021-22,Ladakh,838,834,507,31,176,4,2,114,4
2021-22,Lakshadweep,38,38,37,0,0,1,0,0,0
2021-22,Madhya Pradesh,92695,91264,11373,677,72247,1036,227,5704,1431
2021-22,Maharashtra,65639,65091,44740,724,13000,1376,237,5014,548
2021-22,Manipur,2889,2865,419,366,73,53,39,1915,24
2021-22,Meghalaya,7783,3908,2641,61,146,373,332,355,3875
2021-22,Mizoram,2563,2296,1659,49,2,25,13,548,267
2021-22,Nagaland,1960,1178,714,49,39,75,25,276,782
2021-22,Odisha,49072,48520,19678,617,27539,169,92,425,552
2021-22,Puducherry,422,422,421,0,0,0,0,1,0
2021-22,Punjab,19259,19257,12151,9,1587,17,3,5490,2
2021-22,Rajasthan,68948,66957,28213,602,24479,2381,246,11036,1991
2021-22,Sikkim,864,858,849,2,1,0,2,4,6
2021-22,Tamil Nadu,37636,37636,36243,243,299,124,0,727,0
2021-22,Telangana,30023,28164,18899,874,5685,210,20,2476,1859
2021-22,Tripura,4262,3523,1912,18,1095,156,78,264,739
2021-22,Uttar Pradesh,137024,135867,39665,262,94615,41,5,1279,1157
2021-22,Uttarakhand,16484,15858,14100,49,1370,20,24,295,626
2021-22,West Bengal,83302,83000,37080,2151,40363,350,240,2816,302
