Year,State,Total Schools,Number of schools having drinking water facility within school premises - all management - Any source of drinking water,Number of schools having drinking water facility within school premises - all management - Tap Water,Number of schools having drinking water facility within school premises - all management - Packed Water,Number of schools having drinking water facility within school premises - all management - Hand Pump,Number of schools having drinking water facility within school premises - all management - Well,Number of schools having drinking water facility within school premises - all management - Unprotected Well,Number of schools having drinking water facility within school premises - all management - Other sources,No. of schools not having drinking water facility within school premises
2020-21,Chhattisgarh,56494,56413,17416,669,36939,255,32,1102,81
2020-21,Daman and Diu and Dadra and Nagar Haveli,479,479,416,9,25,5,0,24,0
2020-21,Delhi,5642,5642,5642,0,0,0,0,0,0
2020-21,Goa,1481,1481,1467,2,0,5,0,7,0
2020-21,Gujarat,54444,54428,44093,998,4745,1184,98,3310,16
2020-21,Haryana,23764,23677,19520,175,1414,408,9,2151,87
2020-21,Himachal Pradesh,18145,18134,17632,45,227,46,13,171,11
2020-21,Jammu and Kashmir,28930,28099,23328,159,1237,290,300,2785,831
2020-21,Jharkhand,45319,44514,8517,232,34270,670,78,747,805
2020-21,Karnataka,76905,76659,69322,1543,2056,1676,101,1961,246
2020-21,Kerala,16481,16442,6879,157,333,8389,73,611,39
2020-21,Ladakh,1056,1012,602,30,194,7,3,176,44
2020-21,Lakshadweep,45,45,42,0,0,3,0,0,0
2020-21,Madhya Pradesh,133271,130845,29369,968,83118,2478,193,14719,2426
2020-21,Maharashtra,110114,109500,76858,1665,15747,3742,294,11194,614
2020-21,Manipur,4653,4512,967,462,147,173,47,2716,141
2020-21,Meghalaya,14694,6496,4067,108,282,733,558,748,8198
2020-21,Mizoram,3925,3595,2678,85,2,32,17,781,330
2020-21,Nagaland,2719,1827,1065,57,40,149,37,479,892
2020-21,Odisha,64185,63636,22786,669,39494,283,23,381,549
2020-21,Puducherry,741,741,717,3,1,4,0,16,0
2020-21,Punjab,28695,28695,19727,39,1556,63,3,7307,0
2020-21,Rajasthan,107376,105020,58029,1227,26681,4451,368,14264,2356
2020-21,Sikkim,1263,1259,1232,2,2,1,4,18,4
2020-21,Tamil Nadu,58904,58904,56313,656,514,285,6,1130,0
2020-21,Telangana,42917,41092,27426,3476,6205,480,12,3493,1825
2020-21,Tripura,4934,4077,2128,29,1317,186,78,339,857
2020-21,Uttar Pradesh,256911,253870,75963,974,173379,286,28,3240,3041
2020-21,Uttarakhand,23169,22047,18926,95,2404,78,25,519,1122
2020-21,West Bengal,95153,94615,42118,3687,44655,526,349,3280,538
2021-22,India,1489115,1462670,779666,23799,564021,27046,3475,64663,26445
2021-22,Andaman and Nicobar Islands,416,416,381,3,1,10,15,6,0
2021-22,Andhra Pradesh,61948,61915,42106,6377,10849,268,39,2276,33
2021-22,Arunachal Pradesh,3603,2951,2526,11,298,67,19,30,652
2021-22,Assam,60859,57129,22181,234,28985,3026,675,2028,3730
2021-22,Bihar,93165,92911,23225,442,69094,20,12,118,254
2021-22,Chandigarh,233,233,232,0,0,0,0,1,0
2021-22,Chhattisgarh,56512,56500,19506,657,35307,193,39,798,12
2021-22,Daman and Diu and Dadra and Nagar Haveli,460,460,420,7,17,4,0,12,0
2021-22,Delhi,5619,5619,5619,0,0,0,0,0,0
2021-22,Goa,1510,1510,1497,2,0,4,0,7,0
2021-22,Gujarat,53851,53836,44404,925,5962,836,62,1647,15
2021-22,Haryana,23726,23670,19699,194,1771,326,8,1672,56
2021-22,Himachal Pradesh,18028,18024,17658,26,188,35,3,114,4
2021-22,Jammu and Kashmir,28805,28045,23903,165,1186,243,277,2271,760
2021-22,Jharkhand,44855,44082,10683,282,31865,600,104,548,773
2021-22,Karnataka,76450,76230,68634,1626,2701,1537,80,1652,220
2021-22,Kerala,16240,16218,7148,156,776,7690,51,397,22
2021-22,Ladakh,978,973,591,37,208,7,2,128,5
2021-22,Lakshadweep,38,38,37,0,0,1,0,0,0
2021-22,Madhya Pradesh,125582,123599,31270,1177,80937,2044,287,7884,1983
2021-22,Maharashtra,109605,109026,78470,1787,17544,3372,272,7581,579
2021-22,Manipur,4617,4564,1084,584,150,157,54,2535,53
2021-22,Meghalaya,14600,7743,5545,112,323,664,498,601,6857
2021-22,Mizoram,3911,3587,2742,69,3,32,15,726,324
2021-22,Nagaland,2718,1796,1112,91,60,129,29,375,922
2021-22,Odisha,62291,61566,27621,804,32281,277,102,481,725
2021-22,Puducherry,736,736,714,4,5,3,0,10,0
2021-22,Punjab,27701,27699,19397,30,1833,47,3,6389,2
2021-22,Rajasthan,106373,104188,58659,1199,27087,3826,337,13080,2185
2021-22,Sikkim,1259,1253,1241,2,1,0,3,6,6
2021-22,Tamil Nadu,58801,58801,56305,570,510,284,0,1132,0
2021-22,Telangana,43083,41105,28701,2044,6594,356,31,3379,1978
2021-22,Tripura,4929,4137,2302,32,1246,182,80,295,792
2021-22,Uttar Pradesh,258054,255731,91352,1045,160333,245,26,2730,2323
2021-22,Uttarakhand,22815,22118,19410,88,2111,70,26,413,697
2021-22,West Bengal,94744,94261,43291,3017,43795,491,326,3341,483
