Year,State,Total Schools - All management,Total Schools - Government,Total Schools - Government aided,Total Schools - Pvt. unaided,Total Schools - Others,Schools with functional computer facility - All management,Schools with functional computer facility - Government,Schools with functional computer facility - Government aided,Schools with functional computer facility - Pvt. unaided,Schools with functional computer facility - Others
2020-21,Haryana,23764,14563,17,8235,949,12808,4832,15,7240,721
2020-21,Himachal Pradesh,18145,15391,0,2753,1,6183,3760,0,2423,0
2020-21,Jammu and Kashmir,28930,23167,1,5649,113,8084,4193,1,3830,60
2020-21,Jharkhand,45319,35888,1175,1542,6714,35133,29651,364,1257,3861
2020-21,Karnataka,76905,49791,7182,19915,17,36048,16180,4805,15055,8
2020-21,Kerala,16481,5020,7191,3241,1029,15827,4765,7121,3045,896
2020-21,Ladakh,1056,915,29,112,0,362,269,9,84,0
2020-21,Lakshadweep,45,45,0,0,0,45,45,0,0,0
2020-21,Madhya Pradesh,133271,99152,773,31512,1834,21752,6624,176,14747,205
2020-21,Maharashtra,110114,65734,23924,19632,824,80148,40607,20777,18076,688
2020-21,Manipur,4653,2878,585,1027,163,1496,447,41,907,101
2020-21,Meghalaya,14694,7795,4176,2179,544,2107,672,798,515,122
2020-21,Mizoram,3925,2558,231,1050,86,1961,1017,178,708,58
2020-21,Nagaland,2719,1975,0,743,1,1206,645,0,560,1
2020-21,Odisha,64185,50256,5844,6393,1692,12306,7162,941,3583,620
2020-21,Puducherry,741,422,33,286,0,697,378,33,286,0
2020-21,Punjab,28695,19330,455,8893,17,28345,19279,406,8654,6
2020-21,Rajasthan,107376,68813,0,36023,2540,48914,22141,0,26094,679
2020-21,Sikkim,1263,851,19,393,0,981,649,12,320,0
2020-21,Tamil Nadu,58904,37589,8326,12402,587,45036,29732,3817,11028,459
2020-21,Telangana,42917,30015,700,12023,179,16099,7244,218,8605,32
2020-21,Tripura,4934,4265,43,360,266,1015,689,29,245,52
2020-21,Uttar Pradesh,256911,137068,8125,96741,14977,51814,7114,3644,38457,2599
2020-21,Uttarakhand,23169,16651,614,5396,508,9046,4339,413,4090,204
2020-21,West Bengal,95153,83379,87,10042,1645,14940,11791,43,2775,331
2021-22,India,1489115,1022386,82480,335844,48405,682566,366368,55696,241633,18869
2021-22,Andaman and Nicobar Islands,416,342,2,72,0,275,203,2,70,0
2021-22,Andhra Pradesh,61948,45137,1542,15058,211,29654,14739,492,14300,123
2021-22,Arunachal Pradesh,3603,2985,68,503,47,1161,621,64,442,34
2021-22,Assam,60859,45490,3841,5852,5676,9900,6306,299,3162,133
2021-22,Bihar,93165,75558,742,8097,8768,17090,6472,150,5717,4751
2021-22,Chandigarh,233,123,7,76,27,232,123,7,76,26
2021-22,Chhattisgarh,56512,48743,417,7063,289,46777,41154,203,5310,110
2021-22,Daman and Diu and Dadra and Nagar Haveli,460,388,8,63,1,409,340,8,60,1
2021-22,Delhi,5619,2762,247,2610,0,5619,2762,247,2610,0
2021-22,Goa,1510,814,557,139,0,822,165,524,133,0
2021-22,Gujarat,53851,34699,5590,13559,3,52664,34074,5543,13044,3
2021-22,Haryana,23726,14562,16,8261,887,21744,13151,14,7841,738
2021-22,Himachal Pradesh,18028,15380,0,2646,2,7116,4653,0,2463,0
2021-22,Jammu and Kashmir,28805,23173,1,5526,105,9395,5067,1,4259,68
2021-22,Jharkhand,44855,35840,1175,1559,6281,36797,30586,426,1397,4388
2021-22,Karnataka,76450,49679,7110,19650,11,41366,18773,5430,17154,9
2021-22,Kerala,16240,5010,7183,3164,883,15951,4815,7174,3114,848
2021-22,Ladakh,978,838,28,112,0,441,337,9,95,0
2021-22,Lakshadweep,38,38,0,0,0,38,38,0,0,0
2021-22,Madhya Pradesh,125582,92695,740,30345,1802,31639,10963,289,19943,444
2021-22,Maharashtra,109605,65639,24037,19268,661,86163,44658,22243,18660,602
2021-22,Manipur,4617,2889,583,1010,135,1659,583,47,936,93
2021-22,Meghalaya,14600,7783,4172,2120,525,2599,849,948,649,153
2021-22,Mizoram,3911,2563,230,1034,84,2033,1061,183,731,58
2021-22,Nagaland,2718,1960,0,757,1,1467,813,0,653,1
2021-22,Odisha,62291,49072,5807,6104,1308,15870,8705,1820,4583,762
2021-22,Puducherry,736,422,33,281,0,726,412,33,281,0
2021-22,Punjab,27701,19259,450,7978,14,27574,19248,414,7903,9
2021-22,Rajasthan,106373,68948,0,34826,2599,52981,24352,0,27827,802
2021-22,Sikkim,1259,864,19,376,0,1116,747,14,355,0
2021-22,Tamil Nadu,58801,37636,8323,12396,446,45255,29846,3883,11180,346
2021-22,Telangana,43083,30023,700,12193,167,18188,8051,260,9843,34
2021-22,Tripura,4929,4262,43,363,261,1538,1169,31,290,48
2021-22,Uttar Pradesh,258054,137024,8113,97808,15109,66564,9880,4423,48664,3597
2021-22,Uttarakhand,22815,16484,608,5225,498,12557,7470,461,4388,238
2021-22,West Bengal,94744,83302,88,9750,1604,17186,13182,54,3500,450
