Year,State,Primary (1-5) - Boys,Primary (1-5) - Girls,Primary (1-5) - Total,Upper Primary (6-8) - Boys,Upper Primary (6-8) - Girls,Upper Primary (6-8) - Total,Elementary (1-8) - Boys,Elementary (1-8) - Girls,Elementary (1-8) - Total,Secondary (9-10) - Boys,Secondary (9-10) - Girls,Secondary (9-10) - Total,Higher Secondary (11-12) - Boys,Higher Secondary (11-12) - Girls,Higher Secondary (11-12) - Total
2021-22,Himachal Pradesh,102.4,105.6,103.9,97.9,99.2,98.6,100.6,103,101.8,90.4,91.5,90.9,96.1,94.4,95.3
2021-22,Jammu and Kashmir,135.3,128.4,131.9,70.1,73.9,71.9,104.7,104.3,104.5,58.3,53.9,56.3,47.6,36.3,42.5
2021-22,Jharkhand,105.1,107.4,106.2,86.3,88.2,87.3,97.8,99.7,98.8,59.2,63.6,61.4,35.6,40,37.9
2021-22,Karnataka,108,107.1,107.6,105.4,104.1,104.8,107.1,106,106.5,91.4,92.2,91.8,48.7,51,49.8
2021-22,Kerala,95.3,96.7,96,96.1,91.3,93.7,95.6,94.6,95.1,108.9,103.2,106,88.2,97.9,92.9
2021-22,Ladakh,86.1,75.6,80.6,70,65.2,67.5,79.9,71.5,75.5,60.7,62.3,61.5,50.1,54.9,52.6
2021-22,Lakshadweep,79.2,81.4,80.3,71.2,58.2,64.4,76.2,71.7,74,66.1,62.2,64.2,66.6,60.7,63.5
2021-22,Madhya Pradesh,86,84.4,85.2,97.6,90.4,94,89.8,86.4,88.1,60,58.7,59.4,39.2,40.5,39.9
2021-22,Maharashtra,106.1,109,107.5,100.7,101.7,101.2,104,106.2,105,94.1,93.5,93.8,57.2,52.9,55.2
2021-22,Manipur,130.2,138.1,133.9,64.8,69.8,67.2,100.6,107,103.6,52.4,57.5,54.9,43.7,45.5,44.6
2021-22,Meghalaya,189.5,196.3,192.8,107.7,124.4,116,154.5,165,159.6,77.3,96.8,87,39.5,53.8,46.6
2021-22,Mizoram,163.3,163.2,163.3,111.1,113.3,112.2,140.7,141.5,141.1,91.6,100.3,95.9,59.3,67.4,63.3
2021-22,Nagaland,94,100,96.9,64,70.9,67.3,80.6,86.9,83.6,56.9,66.4,61.5,33.4,38.6,35.9
2021-22,Odisha,96,94.6,95.3,101.7,101.9,101.8,98,97.2,97.6,82.2,86.2,84.2,36.7,41,38.8
