Year,State,Primary (1-5) - Boys,Primary (1-5) - Girls,Primary (1-5) - Total,Upper Primary (6-8) - Boys,Upper Primary (6-8) - Girls,Upper Primary (6-8) - Total,Elementary (1-8) - Boys,Elementary (1-8) - Girls,Elementary (1-8) - Total,Secondary (9-10) - Boys,Secondary (9-10) - Girls,Secondary (9-10) - Total,Higher Secondary (11-12) - Boys,Higher Secondary (11-12) - Girls,Higher Secondary (11-12) - Total,Primary to Higher Secondary (1-12) - Boys,Primary to Higher Secondary (1-12) - Girls,Primary to Higher Secondary (1-12) - Total
2019-20,Andhra Pradesh,27876,19943,47819,21725,17514,39239,49601,37457,87058,8135,6758,14893,0,0,0,57736,44215,101951
2019-20,Arunachal Pradesh,837,724,1561,460,611,1071,1297,1335,2632,125,151,276,37,61,98,1459,1547,3006
2019-20,Assam,21767,18650,40417,7982,7916,15898,29749,26566,56315,2366,2228,4594,199,172,371,32314,28966,61280
2019-20,Bihar,55411,42571,97982,24633,20346,44979,80044,62917,142961,3413,2955,6368,687,600,1287,84144,66472,150616
2019-20,Chandigarh,895,546,1441,1083,660,1743,1978,1206,3184,628,381,1009,136,122,258,2742,1709,4451
2019-20,Chhattisgarh,10691,8617,19308,6417,5867,12284,17108,14484,31592,1708,1548,3256,647,592,1239,19463,16624,36087
2019-20,Dadra and Nagar Haveli,560,511,1071,352,316,668,912,827,1739,255,232,487,49,100,149,1216,1159,2375
2019-20,Daman and Diu,65,40,105,39,34,73,104,74,178,32,26,58,7,14,21,143,114,257
2019-20,Delhi,5987,4472,10459,5656,4015,9671,11643,8487,20130,3839,2959,6798,1719,1151,2870,17201,12597,29798
2019-20,Goa,468,310,778,649,376,1025,1117,686,1803,381,209,590,30,25,55,1528,920,2448
2019-20,Gujarat,27371,19522,46893,18796,13631,32427,46167,33153,79320,5869,3635,9504,2341,1584,3925,54377,38372,92749
2019-20,Haryana,8730,5741,14471,5968,4164,10132,14698,9905,24603,2710,2010,4720,813,813,1626,18221,12728,30949
2019-20,Himachal Pradesh,2150,1775,3925,1390,1310,2700,3540,3085,6625,888,807,1695,365,404,769,4793,4296,9089
2019-20,Jammu and Kashmir,7352,5238,12590,3948,3077,7025,11300,8315,19615,1525,1444,2969,494,551,1045,13319,10310,23629
2019-20,Jharkhand,19031,14706,33737,9726,8661,18387,28757,23367,52124,1723,2297,4020,357,611,968,30837,26275,57112
2019-20,Karnataka,29598,21511,51109,20457,16313,36770,50055,37824,87879,9624,7527,17151,1299,1116,2415,60978,46467,107445
2019-20,Kerala,34110,23654,57764,26677,19918,46595,60787,43572,104359,17760,10657,28417,9855,6294,16149,88402,60523,148925
2019-20,Ladakh,171,142,313,107,152,259,278,294,572,50,59,109,31,42,73,359,395,754
2019-20,Lakshadweep,65,48,113,39,23,62,104,71,175,27,16,43,16,15,31,147,102,249
2019-20,Madhya Pradesh,30639,24712,55351,25310,21077,46387,55949,45789,101738,3686,2715,6401,1717,1178,2895,61352,49682,111034
2019-20,Maharashtra,97464,65822,163286,49373,38652,88025,146837,104474,251311,24814,20322,45136,6348,5133,11481,177999,129929,307928
2019-20,Manipur,1713,1491,3204,465,421,886,2178,1912,4090,137,168,305,38,31,69,2353,2111,4464
2019-20,Meghalaya,1618,1198,2816,568,444,1012,2186,1642,3828,160,158,318,31,41,72,2377,1841,4218
2019-20,Mizoram,1030,771,1801,667,572,1239,1697,1343,3040,338,451,789,88,144,232,2123,1938,4061
2019-20,Nagaland,682,564,1246,431,434,865,1113,998,2111,300,331,631,33,34,67,1446,1363,2809
2019-20,Odisha,27549,19850,47399,20588,15361,35949,48137,35211,83348,8656,6751,15407,177,194,371,56970,42156,99126
2019-20,Puducherry,675,538,1213,645,519,1164,1320,1057,2377,436,469,905,196,285,481,1952,1811,3763
2019-20,Punjab,19763,12715,32478,12131,8790,20921,31894,21505,53399,5369,5121,10490,2428,3133,5561,39691,29759,69450
2019-20,Rajasthan,30369,21760,52129,17436,12848,30284,47805,34608,82413,8406,6036,14442,3742,2631,6373,59953,43275,103228
2019-20,Sikkim,311,201,512,170,128,298,481,329,810,72,64,136,20,13,33,573,406,979
2019-20,Tamil Nadu,46950,29372,76322,36079,25555,61634,83029,54927,137956,10958,7848,18806,4138,3517,7655,98125,66292,164417
2019-20,Telangana,12084,9483,21567,6988,6068,13056,19072,15551,34623,3670,3796,7466,936,647,1583,23678,19994,43672
2019-20,Tripura,1247,925,2172,884,721,1605,2131,1646,3777,392,264,656,96,63,159,2619,1973,4592
2019-20,Uttar Pradesh,125626,93965,219591,43802,34959,78761,169428,128924,298352,3554,2741,6295,1930,1597,3527,174912,133262,308174
2019-20,Uttarakhand,1823,1353,3176,853,746,1599,2676,2099,4775,414,353,767,206,195,401,3296,2647,5943
2019-20,West Bengal,42965,31302,74267,22545,18500,41045,65510,49802,115312,12194,11483,23677,4740,3857,8597,82444,65142,147586
2020-21,India,644139,469301,1113440,389083,302820,691903,1033222,772121,1805343,155688,121876,277564,47730,38493,86223,1236640,932490,2169130
2020-21,Andaman and Nicobar Islands,127,59,186,130,90,220,257,149,406,86,46,132,27,14,41,370,209,579
2020-21,Andhra Pradesh,20863,14594,35457,18671,13543,32214,39534,28137,67671,11402,9179,20581,0,0,0,50936,37316,88252
2020-21,Arunachal Pradesh,860,744,1604,437,620,1057,1297,1364,2661,167,259,426,47,61,108,1511,1684,3195
2020-21,Assam,21551,17486,39037,7672,7624,15296,29223,25110,54333,1990,2044,4034,209,189,398,31422,27343,58765
2020-21,Bihar,50023,39246,89269,24363,19391,43754,74386,58637,133023,3404,2912,6316,945,783,1728,78735,62332,141067
2020-21,Chandigarh,624,380,1004,836,503,1339,1460,883,2343,576,340,916,93,106,199,2129,1329,3458
2020-21,Chhattisgarh,20760,17170,37930,12246,10665,22911,33006,27835,60841,2498,2256,4754,991,938,1929,36495,31029,67524
2020-21,Daman and Diu and Dadra and Nagar Haveli,518,465,983,501,448,949,1019,913,1932,225,175,400,65,87,152,1309,1175,2484
2020-21,Delhi,5344,4046,9390,4908,3635,8543,10252,7681,17933,3873,2960,6833,1995,1408,3403,16120,12049,28169
2020-21,Goa,315,198,513,542,349,891,857,547,1404,394,212,606,44,35,79,1295,794,2089
2020-21,Gujarat,22790,16429,39219,16984,12053,29037,39774,28482,68256,5954,3603,9557,2161,1429,3590,47889,33514,81403
2020-21,Haryana,6554,4449,11003,4906,3556,8462,11460,8005,19465,2670,1885,4555,861,752,1613,14991,10642,25633
2020-21,Himachal Pradesh,1487,1199,2686,1081,831,1912,2568,2030,4598,773,666,1439,328,340,668,3669,3036,6705
2020-21,Jammu and Kashmir,6809,4570,11379,3739,2783,6522,10548,7353,17901,1306,1146,2452,458,478,936,12312,8977,21289
2020-21,Jharkhand,15908,12067,27975,9552,8508,18060,25460,20575,46035,2132,2734,4866,626,1107,1733,28218,24416,52634
2020-21,Karnataka,26040,18806,44846,19073,14822,33895,45113,33628,78741,10075,7861,17936,739,586,1325,55927,42075,98002
2020-21,Kerala,29225,20061,49286,23967,18804,42771,53192,38865,92057,19190,11651,30841,9405,5762,15167,81787,56278,138065
2020-21,Ladakh,126,114,240,96,97,193,222,211,433,25,39,64,11,22,33,258,272,530
2020-21,Lakshadweep,69,51,120,33,18,51,102,69,171,34,17,51,26,18,44,162,104,266
2020-21,Madhya Pradesh,33124,26520,59644,27511,22784,50295,60635,49304,109939,4409,3214,7623,2159,1510,3669,67203,54028,121231
2020-21,Maharashtra,81507,54393,135900,47408,36446,83854,128915,90839,219754,25029,19959,44988,6649,5425,12074,160593,116223,276816
2020-21,Manipur,1631,1449,3080,476,411,887,2107,1860,3967,153,160,313,34,56,90,2294,2076,4370
2020-21,Meghalaya,1702,1334,3036,555,496,1051,2257,1830,4087,157,140,297,27,44,71,2441,2014,4455
2020-21,Mizoram,1017,847,1864,626,716,1342,1643,1563,3206,335,482,817,43,97,140,2021,2142,4163
2020-21,Nagaland,499,396,895,367,314,681,866,710,1576,199,205,404,34,48,82,1099,963,2062
2020-21,Odisha,25883,19135,45018,21291,16080,37371,47174,35215,82389,11324,9011,20335,187,147,334,58685,44373,103058
2020-21,Puducherry,340,217,557,292,246,538,632,463,1095,206,201,407,69,85,154,907,749,1656
2020-21,Punjab,16192,10600,26792,12609,8913,21522,28801,19513,48314,5988,4877,10865,3068,3309,6377,37857,27699,65556
2020-21,Rajasthan,22052,15422,37474,15292,11350,26642,37344,26772,64116,7885,5361,13246,3488,2514,6002,48717,34647,83364
2020-21,Sikkim,502,314,816,234,201,435,736,515,1251,94,85,179,25,11,36,855,611,1466
2020-21,Tamil Nadu,41031,25959,66990,37131,25278,62409,78162,51237,129399,13266,9614,22880,5068,4186,9254,96496,65037,161533
2020-21,Telangana,10453,8022,18475,7958,6645,14603,18411,14667,33078,4113,3786,7899,1092,1147,2239,23616,19600,43216
2020-21,Tripura,944,670,1614,757,591,1348,1701,1261,2962,293,213,506,120,82,202,2114,1556,3670
2020-21,Uttar Pradesh,129522,96052,225574,45309,36011,81320,174831,132063,306894,3181,2527,5708,2432,1862,4294,180444,136452,316896
2020-21,Uttarakhand,1584,1144,2728,738,566,1304,2322,1710,4032,432,341,773,230,193,423,2984,2244,5228
2020-21,West Bengal,46163,34693,80856,20792,17432,38224,66955,52125,119080,11850,11715,23565,3974,3662,7636,82779,67502,150281
2021-22,India,672517,459020,1131537,403844,306614,710458,1076361,765634,1841995,161772,126459,288231,60695,49435,110130,1298828,941528,2240356
2021-22,Andaman and Nicobar Islands,99,70,169,114,49,163,213,119,332,63,48,111,44,25,69,320,192,512
2021-22,Andhra Pradesh,23363,16127,39490,17504,12536,30040,40867,28663,69530,10052,7939,17991,1814,2908,4722,52733,39510,92243
2021-22,Arunachal Pradesh,701,658,1359,396,631,1027,1097,1289,2386,202,274,476,50,75,125,1349,1638,2987
2021-22,Assam,20233,15410,35643,7204,6530,13734,27437,21940,49377,2192,1998,4190,344,302,646,29973,24240,54213
2021-22,Bihar,68549,44130,112679,28861,21700,50561,97410,65830,163240,6557,4735,11292,1935,1260,3195,105902,71825,177727
2021-22,Chandigarh,578,341,919,847,571,1418,1425,912,2337,654,423,1077,153,151,304,2232,1486,3718
2021-22,Chhattisgarh,23986,18181,42167,13858,11577,25435,37844,29758,67602,3090,2978,6068,1623,1803,3426,42557,34539,77096
2021-22,Daman and Diu and Dadra and Nagar Haveli,286,186,472,217,130,347,503,316,819,140,101,241,60,53,113,703,470,1173
2021-22,Delhi,4626,3373,7999,4106,3337,7443,8732,6710,15442,3723,2784,6507,2426,1891,4317,14881,11385,26266
2021-22,Goa,945,530,1475,762,427,1189,1707,957,2664,491,270,761,127,77,204,2325,1304,3629
2021-22,Gujarat,21013,13514,34527,15562,10468,26030,36575,23982,60557,5133,3269,8402,2771,1636,4407,44479,28887,73366
2021-22,Haryana,6678,4066,10744,4711,3210,7921,11389,7276,18665,2902,1975,4877,1091,821,1912,15382,10072,25454
2021-22,Himachal Pradesh,1618,1196,2814,1006,839,1845,2624,2035,4659,607,579,1186,448,399,847,3679,3013,6692
2021-22,Jammu and Kashmir,5669,3686,9355,3138,2358,5496,8807,6044,14851,1245,994,2239,437,419,856,10489,7457,17946
2021-22,Jharkhand,14961,10231,25192,9845,8466,18311,24806,18697,43503,2659,3406,6065,655,1044,1699,28120,23147,51267
2021-22,Karnataka,25131,17777,42908,19271,14682,33953,44402,32459,76861,10483,8786,19269,1230,823,2053,56115,42068,98183
2021-22,Kerala,29063,18902,47965,24880,18424,43304,53943,37326,91269,19301,11763,31064,9130,5421,14551,82374,54510,136884
2021-22,Ladakh,222,185,407,127,174,301,349,359,708,64,64,128,28,42,70,441,465,906
2021-22,Lakshadweep,54,45,99,31,12,43,85,57,142,23,14,37,14,11,25,122,82,204
2021-22,Madhya Pradesh,36642,27491,64133,32353,26392,58745,68995,53883,122878,6035,4533,10568,3060,2087,5147,78090,60503,138593
2021-22,Maharashtra,76753,48810,125563,43707,32650,76357,120460,81460,201920,23683,18124,41807,7537,5884,13421,151680,105468,257148
2021-22,Manipur,1737,1460,3197,448,417,865,2185,1877,4062,165,208,373,50,86,136,2400,2171,4571
2021-22,Meghalaya,1538,1120,2658,548,443,991,2086,1563,3649,174,144,318,57,54,111,2317,1761,4078
2021-22,Mizoram,879,734,1613,582,618,1200,1461,1352,2813,332,561,893,75,123,198,1868,2036,3904
2021-22,Nagaland,936,713,1649,549,519,1068,1485,1232,2717,279,360,639,120,156,276,1884,1748,3632
2021-22,Odisha,45185,31475,76660,26557,20451,47008,71742,51926,123668,10816,9205,20021,1476,1199,2675,84034,62330,146364
2021-22,Puducherry,408,298,706,391,343,734,799,641,1440,280,258,538,132,148,280,1211,1047,2258
2021-22,Punjab,15554,10453,26007,12106,8973,21079,27660,19426,47086,6022,4915,10937,2993,3185,6178,36675,27526,64201
2021-22,Rajasthan,20063,13682,33745,15687,11298,26985,35750,24980,60730,6722,4596,11318,5155,3337,8492,47627,32913,80540
2021-22,Sikkim,391,224,615,199,164,363,590,388,978,92,72,164,29,17,46,711,477,1188
2021-22,Tamil Nadu,33274,21405,54679,35014,22706,57720,68288,44111,112399,17895,12913,30808,6895,5450,12345,93078,62474,155552
2021-22,Telangana,9020,6816,15836,7874,6284,14158,16894,13100,29994,4270,3887,8157,947,639,1586,22111,17626,39737
2021-22,Tripura,919,631,1550,852,590,1442,1771,1221,2992,378,305,683,129,99,228,2278,1625,3903
2021-22,Uttar Pradesh,135817,93053,228870,50899,38446,89345,186716,131499,318215,2654,2257,4911,1782,1685,3467,191152,135441,326593
2021-22,Uttarakhand,1444,1028,2472,715,611,1326,2159,1639,3798,351,274,625,261,252,513,2771,2165,4936
2021-22,West Bengal,44182,31019,75201,22923,19588,42511,67105,50607,117712,12043,11447,23490,5617,5873,11490,84765,67927,152692
