Year,State,Total - Admitted in class 1,Total - with pre-school experience in same school,Total - with pre-school experience in another school,Total - with pre-school experience in anganwadi/ECCE centre,Boys - Admitted in class 1,Boys - with pre-school experience in same school,Boys - with pre-school experience in another school,Boys - with pre-school experience in anganwadi/ECCE centre,Girls - Admitted in class 1,Girls - with pre-school experience in same school,Girls - with pre-school experience in another school,Girls - with pre-school experience in anganwadi/ECCE centre
2021-22,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0
2021-22,Madhya Pradesh,9118,688,826,520,4568,350,414,265,4550,338,412,255
2021-22,Maharashtra,11620,4274,1291,135,6181,2234,669,61,5439,2040,622,74
2021-22,Manipur,2224,1233,503,48,1155,642,262,31,1069,591,241,17
2021-22,Meghalaya,4314,3931,296,13,2203,2023,146,5,2111,1908,150,8
2021-22,Mizoram,617,382,29,28,312,197,17,14,305,185,12,14
2021-22,Nagaland,10,6,4,0,5,3,2,0,5,3,2,0
2021-22,Odisha,9505,3305,868,689,5386,1907,441,395,4119,1398,427,294
2021-22,Puducherry,0,0,0,0,0,0,0,0,0,0,0,0
2021-22,Punjab,62,0,20,0,56,0,20,0,6,0,0,0
2021-22,Rajasthan,26707,992,1203,936,13694,511,648,474,13013,481,555,462
2021-22,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0
2021-22,Tamil Nadu,6565,5931,524,110,3501,3138,306,57,3064,2793,218,53
2021-22,Telangana,0,0,0,0,0,0,0,0,0,0,0,0
2021-22,Tripura,2102,393,36,527,1172,221,24,284,930,172,12,243
2021-22,Uttar Pradesh,243550,9137,11264,3298,126154,4877,5915,1672,117396,4260,5349,1626
2021-22,Uttarakhand,9314,246,1942,842,4899,135,1028,414,4415,111,914,428
2021-22,West Bengal,32720,24966,3547,351,17550,13470,1830,199,15170,11496,1717,152
