Year,State,Total,Pre-Primary Only,Pre-Primary and Primary,Primary Only,Primary and Upper Primary,Upper Primary Only,Upper Primary and Secondary,Secondary Only,Secondary and Higher Secondary,Higher Secondary Only
2019-20,Madhya Pradesh,608620,4086,3740,246322,27217,213588,8766,62650,11008,31243
2019-20,Maharashtra,783847,3466,3198,340191,40071,145668,37544,138592,5996,69121
2019-20,Manipur,45321,396,1190,19379,4746,6976,3393,4977,947,3317
2019-20,Meghalaya,56490,429,3011,23357,959,16002,952,8770,357,2653
2019-20,Mizoram,23147,103,166,7628,628,8462,21,4261,20,1858
2019-20,Nagaland,31914,240,723,12267,1897,9764,1038,4175,326,1484
2019-20,Odisha,357035,19,16,150668,72890,51489,15638,54671,810,10834
2019-20,Puducherry,13489,555,144,4579,1192,1207,2338,1191,809,1474
2019-20,Punjab,281673,8823,13422,81172,2,64121,12,70322,0,43799
2019-20,Rajasthan,774021,9693,19827,231516,80869,160560,99318,50034,79492,42712
2019-20,Sikkim,14558,819,167,6888,183,2740,913,1436,52,1360
2019-20,Tamil Nadu,562762,8373,4434,194654,60501,77718,69953,64489,26680,55960
2019-20,Telangana,305597,1228,6103,97810,33138,26607,71371,35451,3376,30513
2019-20,Tripura,46728,179,321,21545,439,10487,331,7199,168,6059
2019-20,Uttar Pradesh,1423995,4984,9518,711956,52290,363714,33105,136317,44459,67652
2019-20,Uttarakhand,122182,1028,963,52691,3930,23614,5538,17987,4288,12143
2019-20,West Bengal,566362,49326,266664,78,11091,71514,67434,31577,53840,14838
2020-21,India,9696425,119790,371129,3538121,738832,2146179,606860,1150750,358135,666629
2020-21,Andaman and Nicobar Islands,5451,207,97,1914,224,914,633,575,215,672
2020-21,Andhra Pradesh,322187,0,0,140045,3298,68990,48110,31602,894,29248
2020-21,Arunachal Pradesh,24102,137,502,9439,3505,5274,1100,2474,634,1037
2020-21,Assam,370341,1095,6258,149863,17423,86423,37708,45110,7626,18835
2020-21,Bihar,601519,1787,3412,183466,53456,272752,9290,45977,12026,19353
2020-21,Chandigarh,9722,475,124,2713,678,1140,2479,605,594,914
2020-21,Chhattisgarh,265328,2127,3203,115066,15985,60292,5823,19614,30191,13027
2020-21,Daman and Diu and Dadra and Nagar Haveli,4660,150,18,1882,171,1105,68,733,122,411
2020-21,Delhi,151933,7575,0,52676,0,37283,0,26211,0,28188
2020-21,Goa,13484,228,49,4180,178,1791,2231,2655,58,2114
2020-21,Gujarat,388805,2199,2927,168253,10955,114779,3580,47487,6511,32114
2020-21,Haryana,242405,2447,1073,89519,13028,44927,22323,16932,37137,15019
2020-21,Himachal Pradesh,103108,1118,1295,30116,5186,17603,16619,10123,6264,14784
2020-21,Jammu and Kashmir,172129,3048,6925,61287,4326,58867,2043,24818,392,10423
2020-21,Jharkhand,220969,1248,2259,98302,26859,53438,7911,18290,4091,8571
2020-21,Karnataka,454323,2229,1549,109917,142857,40154,8648,106521,1471,40977
2020-21,Kerala,274972,9754,345,87809,4375,64790,3777,62450,1880,39792
2020-21,Ladakh,6175,191,206,1812,382,2138,216,767,74,389
2020-21,Lakshadweep,960,31,0,334,97,108,56,159,52,123
2020-21,Madhya Pradesh,608411,4775,4993,244228,33713,203727,11326,60300,14649,30700
2020-21,Maharashtra,766916,3297,3243,329964,43301,138798,39240,133439,6697,68937
2020-21,Manipur,45221,447,1733,18529,4796,6356,3730,4907,1100,3623
2020-21,Meghalaya,56150,504,3146,22847,1044,15799,1094,8627,430,2659
2020-21,Mizoram,23688,133,205,8059,732,8353,49,4257,37,1863
2020-21,Nagaland,31805,304,832,12163,2193,9087,1238,4066,400,1522
2020-21,Odisha,355974,534,321,143604,81141,45461,20097,52872,942,11002
2020-21,Puducherry,12788,537,152,4292,1128,1117,2187,1103,758,1514
2020-21,Punjab,279074,6239,14079,82419,0,63360,0,70739,0,42238
2020-21,Rajasthan,755673,8405,18437,221561,83593,153047,99337,48977,80265,42051
2020-21,Sikkim,14332,848,175,6585,228,2692,729,1579,83,1413
2020-21,Tamil Nadu,571380,8568,4553,197046,61720,78605,70497,65335,27483,57573
2020-21,Telangana,320216,4776,8332,101992,40449,29209,68237,38931,3472,24818
2020-21,Tripura,36534,200,421,16221,754,6524,1325,5635,865,4589
2020-21,Uttar Pradesh,1487687,5112,10788,757379,66968,355825,36130,138297,48743,68445
2020-21,Uttarakhand,123879,1177,1197,50153,5777,22727,6919,17083,5986,12860
2020-21,West Bengal,574124,37888,268280,12486,8312,72724,72110,31500,55993,14831
2021-22,India,9507123,110700,368569,3441978,845498,1890705,698308,1096082,394731,660552
2021-22,Andaman and Nicobar Islands,5281,222,102,1761,264,659,878,478,302,615
2021-22,Andhra Pradesh,320724,334,2047,119133,27126,19522,92993,29998,2137,27434
2021-22,Arunachal Pradesh,23707,130,413,9406,3882,4602,1291,2275,738,970
2021-22,Assam,352944,968,7303,143528,20544,74325,37965,42162,7694,18455
2021-22,Bihar,582876,1341,2836,188433,71388,233109,8927,44967,12342,19533
2021-22,Chandigarh,9345,449,114,2595,682,970,2365,605,630,935
2021-22,Chhattisgarh,260782,1836,3437,109781,15832,60672,5865,19064,31286,13009
2021-22,Daman and Diu and Dadra and Nagar Haveli,4489,131,11,1827,147,1020,89,699,138,427
2021-22,Delhi,151600,7273,0,51824,0,36181,0,26363,0,29959
2021-22,Goa,13836,274,69,4216,330,1599,2710,2386,61,2191
2021-22,Gujarat,378118,1637,2987,159933,16219,105364,4438,46803,8489,32248
2021-22,Haryana,237594,2246,921,86599,13613,41245,22497,17040,39310,14123
2021-22,Himachal Pradesh,100137,980,1368,28153,5384,15163,18377,9276,6955,14481
2021-22,Jammu and Kashmir,167106,2811,7321,62541,6422,50863,2527,23969,496,10156
2021-22,Jharkhand,210418,1081,2662,93377,32038,41605,8622,18012,4681,8340
2021-22,Karnataka,431386,2806,2080,105187,130845,37209,12474,98288,1854,40643
2021-22,Kerala,268473,10497,316,85855,4266,62431,3526,61198,1737,38647
2021-22,Ladakh,6155,149,239,1766,777,1600,419,694,108,403
2021-22,Lakshadweep,806,37,2,271,67,85,55,131,65,93
2021-22,Madhya Pradesh,601208,4360,6846,238923,48901,174085,16266,56877,23492,31458
2021-22,Maharashtra,748589,2900,2751,318492,55220,120551,44163,128467,7705,68340
2021-22,Manipur,42684,415,1826,16784,5028,5357,3881,4400,1352,3641
2021-22,Meghalaya,55160,524,3392,22000,1126,15239,1316,8342,507,2714
2021-22,Mizoram,23366,115,176,7676,782,8394,64,4239,37,1883
2021-22,Nagaland,31402,354,959,12160,2602,8074,1513,3767,510,1463
2021-22,Odisha,331336,516,935,125166,78261,39711,18960,48386,1536,17865
2021-22,Puducherry,12355,565,190,4002,1088,1045,2181,1049,731,1504
2021-22,Punjab,257134,7020,14774,69397,6758,44039,20715,50801,8659,34971
2021-22,Rajasthan,724525,6001,12069,211737,93762,138063,95482,46693,79923,40795
2021-22,Sikkim,13613,730,227,6172,304,2288,954,1368,276,1294
2021-22,Tamil Nadu,569920,8358,4460,196584,61446,78491,70799,65437,27183,57162
2021-22,Telangana,320894,5344,9608,98771,39898,29083,69484,40823,3790,24093
2021-22,Tripura,36433,153,477,15671,1068,6556,1574,5585,901,4448
2021-22,Uttar Pradesh,1507828,4641,5720,771965,82978,339356,40921,139137,53936,69174
2021-22,Uttarakhand,123212,1064,1333,47486,7677,20937,8510,16080,7339,12786
2021-22,West Bengal,581687,32438,268598,22806,8773,71212,75507,30223,57831,14299
