Year,State,Age 3-5 - Boys,Age 3-5 - Girls,Age 3-5 - Total,Age 6-10 - Boys,Age 6-10 - Girls,Age 6-10 - Total,Age 11-13 - Boys,Age 11-13 - Girls,Age 11-13 - Total,Age 6-13 - Boys,Age 6-13 - Girls,Age 6-13 - Total,Age 14-15 - Boys,Age 14-15 - Girls,Age 14-15 - Total,Age 16-17 - Boys,Age 16-17 - Girls,Age 16-17 - Total
2018-19,Uttar Pradesh,9338533,8185933,17524600,11978000,10708200,22686200,7236600,6548000,13783400,19214600,17256200,36469600,5001600,4488600,9489800,5184800,4623600,9808400
2018-19,Uttarakhand,346867,293733,640600,505200,438600,943400,325000,287400,612400,830200,726000,1555800,225600,200000,426000,233000,208200,441800
2018-19,West Bengal,2540467,2390333,4931200,3764000,3610600,7374800,2426800,2337400,4764800,6190800,5948000,12139600,1691200,1618000,3309200,1755000,1670000,3425000
2019-20,India,44847533,40221333,85069467,62093000,56354000,118446400,37587800,34760400,72346800,99680800,91114400,190793200,25743800,23631600,49375400,26389200,24076200,50465800
2019-20,Andaman and Nicobar Islands,12534,11924,24458,19223,17521,36744,12262,11502,23764,31485,29023,60507,8718,7670,16388,8881,7771,16652
2019-20,Andhra Pradesh,1357200,1247000,2603800,1924400,1797200,3721800,1194600,1140600,2335600,3119000,2937800,6057400,843000,798800,1641800,881800,830600,1713200
2019-20,Arunachal Pradesh,44550,41905,86455,73454,70522,143976,50491,49749,100241,123945,120272,244217,34965,34076,69041,32231,31620,63851
2019-20,Assam,1158933,1065200,2224533,1636400,1542200,3179000,1029800,999400,2029800,2666200,2541600,5208800,690800,664200,1355000,696600,664800,1360800
2019-20,Bihar,5286200,4768933,10055533,7258400,6727800,13986600,4330400,4128000,8458200,11588800,10855800,22444800,2850800,2660800,5512200,2841800,2604800,5446200
2019-20,Chandigarh,39681,34149,73830,60000,47805,107806,36929,28586,65515,96930,76391,173321,26509,19782,46291,29079,20875,49955
2019-20,Chhattisgarh,1043133,988600,2030733,1394800,1335000,2730000,813000,787600,1600000,2207800,2122600,4330000,551800,534800,1086600,561600,544400,1106000
2019-20,Dadra and Nagar Haveli,16550,15202,31752,22957,19830,42787,13330,11715,25045,36287,31545,67832,8373,6788,15161,8446,6195,14642
2019-20,Daman and Diu,9026,7881,16907,11536,9774,21310,6654,5607,12262,18190,15382,33572,4940,3596,8536,7122,3713,10834
2019-20,Delhi,572067,486200,1058000,814400,690400,1505000,502800,426200,928400,1317200,1116600,2433400,354800,304000,658800,370400,318800,690200
2019-20,Goa,45222,42093,87315,66042,59364,125406,41117,37280,78397,107158,96644,203802,28608,25182,53790,28556,25741,54297
2019-20,Gujarat,2290400,1950267,4240467,3087600,2650600,5737200,1836800,1609600,3446400,4924400,4260200,9183600,1261000,1098000,2359000,1293800,1118200,2412000
2019-20,Haryana,974667,816333,1791400,1346000,1112400,2457800,809800,669000,1478800,2155800,1781400,3936600,559400,462400,1021800,575600,475400,1050600
2019-20,Himachal Pradesh,186333,169467,355800,279400,251200,531400,181400,161600,342400,460800,412800,873800,124800,110800,235600,128200,113800,242000
2019-20,Jammu and Kashmir,345133,318667,663200,623400,552000,1175200,461800,399400,861400,1085200,951400,2036600,298600,261600,560200,291000,258200,548800
2019-20,Jharkhand,1398333,1282133,2681067,1955400,1832800,3788800,1215800,1174800,2389600,3171200,3007600,6178400,812200,778200,1589600,817400,777400,1594800
2019-20,Karnataka,1846467,1701467,3547533,2621400,2447000,5067600,1587600,1507200,3095200,4209000,3954200,8162800,1095400,1031800,2127200,1125800,1053200,2179600
2019-20,Kerala,888733,852933,1741267,1264600,1212200,2477600,779400,748400,1528800,2044000,1960600,4006400,528000,505600,1033000,535200,511000,1046200
2019-20,Ladakh,10586,10055,20641,14493,13099,27592,9350,8281,17632,23843,21381,45224,6330,5959,12289,6430,5984,12414
2019-20,Lakshadweep,2235,2117,4352,3365,3137,6501,2006,2240,4246,5371,5376,10747,1446,1370,2816,1428,1515,2943
2019-20,Madhya Pradesh,3236000,2972533,6208667,4255600,3938400,8193000,2428400,2274600,4703400,6684000,6213000,12896400,1655200,1534400,3189600,1691200,1555400,3246600
2019-20,Maharashtra,3378400,2953000,6331667,4926200,4333200,9260400,3121400,2785200,5906000,8047600,7118400,15166400,2144600,1908400,4053000,2197000,1948000,4144000
2019-20,Manipur,78291,71128,149419,127019,118039,245057,91003,85825,176828,218022,203863,421885,61823,59165,120988,58055,57330,115385
2019-20,Meghalaya,113616,107331,220947,163809,156830,320639,109628,106663,216291,273437,263492,536929,70676,68758,139434,70550,68382,138933
2019-20,Mizoram,32861,31027,63888,49942,47643,97585,33830,32252,66082,83772,79895,163667,22475,21462,43937,23664,22811,46476
2019-20,Nagaland,61536,56303,117839,102832,94688,197521,73389,67362,140751,176221,162051,338272,49800,45545,95345,49224,47052,96275
2019-20,Odisha,1333333,1254933,2588267,1901200,1795800,3697000,1192400,1134800,2327200,3093600,2930600,6024200,809600,775800,1586000,824200,793800,1618200
2019-20,Puducherry,39899,38512,78411,62185,56870,119055,38752,36190,74941,100937,93059,193996,27075,24254,51329,26257,24006,50263
2019-20,Punjab,785200,686867,1472067,1148800,977000,2125400,735600,608000,1343600,1884400,1585000,3469000,522000,426600,948600,548000,443400,991200
2019-20,Rajasthan,3062533,2661400,5724200,4124600,3639600,7763800,2403600,2185600,4588800,6528200,5825200,12352600,1628200,1477600,3105800,1656200,1499600,3155200
2019-20,Sikkim,13627,12556,26183,24923,23991,48913,19429,18716,38145,44351,42707,87058,13284,12970,26254,14219,13889,28108
2019-20,Tamil Nadu,1900133,1735800,3636200,2736000,2533600,5269600,1669600,1581400,3251400,4405600,4115000,8521000,1151200,1086800,2238000,1182400,1113200,2295000
2019-20,Telangana,1021533,922267,1943800,1448200,1329600,2778800,910200,859200,1770000,2358400,2188800,4548800,639200,602200,1241000,666000,626800,1293400
2019-20,Tripura,97799,91472,189270,144607,136314,280921,104647,99633,204280,249254,235947,485201,70593,66839,137432,76641,70346,146987
2019-20,Uttar Pradesh,9317133,8169067,17486400,12208000,10828800,23036800,7040400,6396000,13435600,19248400,17224800,36472400,4905400,4416400,9321200,5112200,4571400,9683600
2019-20,Uttarakhand,345467,292933,638400,496800,426400,922600,320000,282600,602600,816800,709000,1525200,222400,197000,420000,230000,204800,435200
2019-20,West Bengal,2502200,2351667,4854133,3695000,3525400,7220200,2380200,2299600,4680200,6075200,5825000,11900400,1659800,1592000,3251800,1722000,1642000,3364000
2020-21,India,44559933,39955000,84515733,62147000,55998000,118144200,37063400,34386200,71448400,99210400,90384200,189592600,25461400,23438800,48900200,26142600,23913600,50056400
2020-21,Andaman and Nicobar Islands,12852,12135,24987,19636,17890,37526,12551,11728,24279,32187,29618,61805,8952,7848,16800,9065,7981,17046
2020-21,Andhra Pradesh,1342933,1233333,2576067,1917200,1775600,3693400,1163800,1114800,2278800,3081000,2890400,5972200,824000,782400,1606400,863400,814800,1678600
2020-21,Arunachal Pradesh,44100,41478,85578,69310,66166,135476,50366,49581,99948,119677,115748,235424,34770,33921,68691,32052,31396,63448
2020-21,Assam,1152800,1058267,2211267,1611200,1501600,3113000,1022400,995200,2018400,2633600,2496800,5131400,688400,663600,1352000,695800,666400,1361400
2020-21,Bihar,5248933,4725467,9974933,7255200,6655400,13911800,4308200,4140000,8447600,11563400,10795400,22359400,2854400,2687400,5542600,2858400,2645400,5503600
2020-21,Chandigarh,40691,34751,75443,61292,48817,110109,37811,29155,66966,99103,77972,177075,27219,20242,47461,29681,21441,51122
2020-21,Chhattisgarh,1042067,985800,2026867,1412400,1346000,2759000,806000,780800,1586000,2218400,2126800,4345000,548400,531400,1079800,558800,541200,1100000
2020-21,Daman and Diu and Dadra and Nagar Haveli,26225,23494,49719,35240,30231,65470,20457,17663,38120,55696,47894,103590,13670,10626,24295,15886,10177,26063
2020-21,Delhi,571867,486600,1058333,820200,689200,1509000,498400,424600,922200,1318600,1113800,2431200,352400,303000,655400,368200,317400,686600
2020-21,Goa,46373,42838,89210,67465,60616,128081,42091,38018,80108,109556,98633,208189,29375,25768,55142,29148,26440,55588
2020-21,Gujarat,2294533,1954467,4248733,3115800,2646800,5761600,1819400,1599800,3419200,4935200,4246600,9180800,1252000,1092000,2344000,1286400,1111600,2398000
2020-21,Haryana,972000,817333,1789867,1354000,1116200,2469400,801400,664000,1465400,2155400,1780200,3934800,554200,459200,1013400,569800,472200,1041800
2020-21,Himachal Pradesh,183333,166733,350067,273200,245600,520200,179200,159800,338200,452400,405400,858400,123400,109400,232800,126600,112400,239000
2020-21,Jammu and Kashmir,331400,308000,638600,570200,512000,1081600,468400,402200,871200,1038600,914200,1952800,301800,262800,564600,293000,258600,551400
2020-21,Jharkhand,1394000,1277067,2671867,1931200,1790400,3722400,1210400,1174400,2383800,3141600,2964800,6106200,810600,780600,1590800,817200,781200,1598400
2020-21,Karnataka,1824400,1678733,3502933,2626200,2433000,5057800,1568800,1493600,3062600,4195000,3926600,8120400,1082200,1021400,2103600,1111400,1041600,2153800
2020-21,Kerala,880533,844800,1725133,1254800,1201600,2456800,775200,744200,1520400,2030000,1945800,3977200,524000,501800,1025000,529600,506000,1035600
2020-21,Ladakh,10855,10233,21088,14809,13378,28187,9572,8445,18017,24381,21823,46203,6499,6097,12596,6563,6147,12710
2020-21,Lakshadweep,2292,2154,4446,3437,3202,6639,2054,2284,4338,5491,5486,10977,1485,1402,2887,1458,1556,3014
2020-21,Madhya Pradesh,3228667,2966600,6195667,4337800,3995200,8332000,2394200,2252800,4648200,6732000,6248000,12980200,1639600,1525200,3164800,1680600,1549200,3229800
2020-21,Maharashtra,3348867,2926333,6275333,4861600,4243600,9106200,3100200,2769600,5869000,7961800,7013200,14975200,2126800,1894200,4021000,2175000,1929000,4103000
2020-21,Manipur,77514,70403,147917,119855,110752,230607,90782,85533,176315,210637,196285,406922,61479,58896,120375,57733,56926,114659
2020-21,Meghalaya,112603,106384,218987,154504,147096,301601,109346,106285,215632,263851,253382,517232,70285,68449,138734,70159,67899,138058
2020-21,Mizoram,32564,30741,63305,47104,44689,91793,33745,32138,65883,80850,76827,157676,22350,21366,43716,23533,22651,46184
2020-21,Nagaland,60935,55761,116696,97036,88868,185904,73206,67125,140331,170242,155994,326235,49521,45337,94858,48950,46719,95669
2020-21,Odisha,1320667,1243467,2564133,1875600,1769400,3645000,1179200,1119400,2298600,3054800,2888800,5943600,801800,766400,1569000,816600,784400,1601600
2020-21,Puducherry,40912,39195,80107,63520,58067,121588,39665,36907,76572,103185,94974,198160,27801,24818,52618,26799,24658,51458
2020-21,Punjab,776600,681267,1457867,1134400,972000,2106200,718800,597000,1315800,1853200,1569000,3422000,511000,419800,930800,537000,437200,973600
2020-21,Rajasthan,3041267,2646867,5688267,4163800,3646800,7810400,2373800,2164800,4538400,6537600,5811600,12348800,1612600,1467800,3080400,1642600,1491800,3133600
2020-21,Sikkim,13488,12424,25911,23533,22528,46061,19381,18651,38032,42914,41179,84093,13211,12912,26122,14140,13791,27931
2020-21,Tamil Nadu,1869400,1708400,3577933,2731000,2508800,5239800,1647800,1562200,3210200,4378800,4071000,8450000,1134600,1072400,2207000,1163200,1097600,2260000
2020-21,Telangana,1013600,915467,1929067,1435600,1304800,2741400,889600,840600,1731000,2325200,2145400,4472400,625600,589600,1215000,652000,613400,1266200
2020-21,Tripura,96941,90664,187605,136444,127924,264369,104389,99287,203676,240834,227211,468045,70201,66535,136736,76217,69849,146066
2020-21,Uttar Pradesh,9295733,8152200,17448200,12438000,10949400,23387400,6844200,6244000,13087800,19282200,17193400,36475200,4809200,4344200,9152600,5039600,4519200,9558800
2020-21,Uttarakhand,344067,292133,636200,488400,414200,901800,315000,277800,592800,803400,692000,1494600,219200,194000,414000,227000,201400,428600
2020-21,West Bengal,2463933,2313000,4777067,3626000,3440200,7065600,2333600,2261800,4595600,5959600,5702000,11661200,1628400,1566000,3194400,1689000,1614000,3303000
2021-22,India,44272333,39688667,83962000,62201000,55642000,117842000,36539000,34012000,70550000,98740000,89654000,188392000,25179000,23246000,48425000,25896000,23751000,49647000
2021-22,Andaman and Nicobar Islands,13170,12346,25516,20050,18259,38309,12840,11955,24795,32890,30213,63103,9185,8026,17211,9249,8192,17441
2021-22,Andhra Pradesh,1328667,1219667,2548333,1910000,1754000,3665000,1133000,1089000,2222000,3043000,2843000,5887000,805000,766000,1571000,845000,799000,1644000
2021-22,Arunachal Pradesh,43650,41051,84700,65167,61810,126977,50241,49413,99655,115408,111224,226632,34575,33767,68342,31873,31172,63044
2021-22,Assam,1146667,1051333,2198000,1586000,1461000,3047000,1015000,991000,2007000,2601000,2452000,5054000,686000,663000,1349000,695000,668000,1362000
2021-22,Bihar,5211667,4682000,9894333,7252000,6583000,13837000,4286000,4152000,8437000,11538000,10735000,22274000,2858000,2714000,5573000,2875000,2686000,5561000
2021-22,Chandigarh,41702,35354,77056,62583,49829,112412,38693,29724,68418,101277,79553,180830,27929,20702,48631,30282,22007,52289
2021-22,Chhattisgarh,1041000,983000,2023000,1430000,1357000,2788000,799000,774000,1572000,2229000,2131000,4360000,545000,528000,1073000,556000,538000,1094000
2021-22,Daman and Diu and Dadra and Nagar Haveli,26873,23904,50778,35987,30857,66844,20929,18004,38933,56916,48861,105777,14026,10868,24894,16205,10445,26650
2021-22,Delhi,571667,487000,1058667,826000,688000,1513000,494000,423000,916000,1320000,1111000,2429000,350000,302000,652000,366000,316000,683000
2021-22,Goa,47524,43582,91106,68889,61867,130756,43065,38755,81820,111954,100623,212576,30141,26353,56494,29739,27139,56878
2021-22,Gujarat,2298667,1958667,4257000,3144000,2643000,5786000,1802000,1590000,3392000,4946000,4233000,9178000,1243000,1086000,2329000,1279000,1105000,2384000
2021-22,Haryana,969333,818333,1788333,1362000,1120000,2481000,793000,659000,1452000,2155000,1779000,3933000,549000,456000,1005000,564000,469000,1033000
2021-22,Himachal Pradesh,180333,164000,344333,267000,240000,509000,177000,158000,334000,444000,398000,843000,122000,108000,230000,125000,111000,236000
2021-22,Jammu and Kashmir,317667,297333,614000,517000,472000,988000,475000,405000,881000,992000,877000,1869000,305000,264000,569000,295000,259000,554000
2021-22,Jharkhand,1389667,1272000,2662667,1907000,1748000,3656000,1205000,1174000,2378000,3112000,2922000,6034000,809000,783000,1592000,817000,785000,1602000
2021-22,Karnataka,1802333,1656000,3458333,2631000,2419000,5048000,1550000,1480000,3030000,4181000,3899000,8078000,1069000,1011000,2080000,1097000,1030000,2128000
2021-22,Kerala,872333,836667,1709000,1245000,1191000,2436000,771000,740000,1512000,2016000,1931000,3948000,520000,498000,1017000,524000,501000,1025000
2021-22,Ladakh,11125,10411,21536,15125,13656,28781,9793,8609,18402,24918,22265,47183,6668,6235,12904,6696,6309,13005
2021-22,Lakshadweep,2348,2192,4540,3510,3267,6777,2101,2329,4430,5611,5596,11207,1524,1434,2958,1487,1597,3084
2021-22,Madhya Pradesh,3221333,2960667,6182667,4420000,4052000,8471000,2360000,2231000,4593000,6780000,6283000,13064000,1624000,1516000,3140000,1670000,1543000,3213000
2021-22,Maharashtra,3319333,2899667,6219000,4797000,4154000,8952000,3079000,2754000,5832000,7876000,6908000,14784000,2109000,1880000,3989000,2153000,1910000,4062000
2021-22,Manipur,76738,69678,146416,112691,103466,216157,90561,85241,175802,203252,188707,391959,61135,58627,119762,57411,56521,113932
2021-22,Meghalaya,111590,105437,217028,145200,137363,282563,109065,105908,214973,254265,243271,497535,69893,68140,138033,69767,67416,137183
2021-22,Mizoram,32267,30456,62723,44266,41736,86002,33661,32023,65684,77927,73759,151685,22226,21269,43495,23402,22490,45892
2021-22,Nagaland,60334,55220,115554,91239,83048,174287,73023,66888,139912,164262,149937,314199,49242,45129,94371,48676,46387,95063
2021-22,Odisha,1308000,1232000,2540000,1850000,1743000,3593000,1166000,1104000,2270000,3016000,2847000,5863000,794000,757000,1552000,809000,775000,1585000
2021-22,Puducherry,41924,39878,81802,64855,59265,124121,40579,37624,78203,105434,96890,202324,28526,25382,53908,27342,25310,52652
2021-22,Punjab,768000,675667,1443667,1120000,967000,2087000,702000,586000,1288000,1822000,1553000,3375000,500000,413000,913000,526000,431000,956000
2021-22,Rajasthan,3020000,2632333,5652333,4203000,3654000,7857000,2344000,2144000,4488000,6547000,5798000,12345000,1597000,1458000,3055000,1629000,1484000,3112000
2021-22,Sikkim,13348,12291,25640,22143,21066,43209,19334,18586,37919,41477,39652,81129,13137,12853,25991,14062,13693,27755
2021-22,Tamil Nadu,1838667,1681000,3519667,2726000,2484000,5210000,1626000,1543000,3169000,4352000,4027000,8379000,1118000,1058000,2176000,1144000,1082000,2225000
2021-22,Telangana,1005667,908667,1914333,1423000,1280000,2704000,869000,822000,1692000,2292000,2102000,4396000,612000,577000,1189000,638000,600000,1239000
2021-22,Tripura,96083,89857,185940,128282,119535,247816,104132,98940,203073,232414,218475,450889,69808,66231,136039,75793,69353,145146
2021-22,Uttar Pradesh,9274333,8135333,17410000,12668000,11070000,23738000,6648000,6092000,12740000,19316000,17162000,36478000,4713000,4272000,8984000,4967000,4467000,9434000
2021-22,Uttarakhand,342667,291333,634000,480000,402000,881000,310000,273000,583000,790000,675000,1464000,216000,191000,408000,224000,198000,422000
2021-22,West Bengal,2425667,2274333,4700000,3557000,3355000,6911000,2287000,2224000,4511000,5844000,5579000,11422000,1597000,1540000,3137000,1656000,1586000,3242000
