Year,State,Total Schools - All management,Total Schools - Government,Total Schools - Government aided,Total Schools - Pvt. unaided,Total Schools - Others,Schools with CWSN friendly toilet - All management,Schools with CWSN friendly toilet - Government,Schools with CWSN friendly toilet - Government aided,Schools with CWSN friendly toilet - Pvt. unaided,Schools with CWSN friendly toilet - Others,Schools with functional CWSN friendly toilet - All management,Schools with functional CWSN friendly toilet - Government,Schools with functional CWSN friendly toilet - Government aided,Schools with functional CWSN friendly toilet - Pvt. unaided,Schools with functional CWSN friendly toilet - Others
2021-22,Andhra Pradesh,61948,45137,1542,15058,211,12336,6517,233,5531,55,12027,6265,226,5484,52
2021-22,Arunachal Pradesh,3603,2985,68,503,47,376,289,7,73,7,214,128,7,72,7
2021-22,Assam,60859,45490,3841,5852,5676,11094,9716,235,932,211,10637,9355,211,885,186
2021-22,Bihar,93165,75558,742,8097,8768,13433,9599,112,1997,1725,13083,9324,109,1960,1690
2021-22,Chandigarh,233,123,7,76,27,171,101,4,61,5,171,101,4,61,5
2021-22,Chhattisgarh,56512,48743,417,7063,289,41249,36743,214,4150,142,37841,33496,205,4004,136
2021-22,Daman and Diu and Dadra and Nagar Haveli,460,388,8,63,1,394,370,4,19,1,389,365,4,19,1
2021-22,Delhi,5619,2762,247,2610,0,5619,2762,247,2610,0,5619,2762,247,2610,0
2021-22,Goa,1510,814,557,139,0,102,28,59,15,0,99,26,58,15,0
2021-22,Gujarat,53851,34699,5590,13559,3,18812,15860,958,1994,0,18712,15768,956,1988,0
2021-22,Haryana,23726,14562,16,8261,887,10386,8797,2,1468,119,10132,8595,2,1416,119
2021-22,Himachal Pradesh,18028,15380,0,2646,2,4238,3353,0,884,1,4079,3217,0,861,1
2021-22,Jammu and Kashmir,28805,23173,1,5526,105,1236,513,1,706,16,1137,440,1,680,16
2021-22,Jharkhand,44855,35840,1175,1559,6281,2330,1415,71,294,550,2144,1304,69,282,489
2021-22,Karnataka,76450,49679,7110,19650,11,13027,6493,1111,5423,0,11932,5720,1029,5183,0
2021-22,Kerala,16240,5010,7183,3164,883,4149,2274,1255,503,117,3858,2054,1208,488,108
2021-22,Ladakh,978,838,28,112,0,235,225,0,10,0,231,221,0,10,0
2021-22,Lakshadweep,38,38,0,0,0,23,23,0,0,0,23,23,0,0,0
2021-22,Madhya Pradesh,125582,92695,740,30345,1802,12856,5658,113,6975,110,12195,5310,105,6675,105
2021-22,Maharashtra,109605,65639,24037,19268,661,57747,33588,12438,11397,324,53511,30049,12023,11121,318
2021-22,Manipur,4617,2889,583,1010,135,377,136,15,210,16,354,120,13,207,14
2021-22,Meghalaya,14600,7783,4172,2120,525,382,173,113,86,10,343,148,106,79,10
2021-22,Mizoram,3911,2563,230,1034,84,690,629,14,39,8,551,496,12,37,6
