Year,State,Total Schools - All management,Total Schools - Government,Total Schools - Government aided,Total Schools - Pvt. unaided,Total Schools - Others,Schools with electricity facility - All management,Schools with electricity facility - Government,Schools with electricity facility - Government aided,Schools with electricity facility - Pvt. unaided,Schools with electricity facility - Others,Schools with functional electricity facility - All management,Schools with functional electricity facility - Government,Schools with functional electricity facility - Government aided,Schools with functional electricity facility - Pvt. unaided,Schools with functional electricity facility - Others
2021-22,Andaman and Nicobar Islands,416,342,2,72,0,386,312,2,72,0,386,312,2,72,0
2021-22,Andhra Pradesh,61948,45137,1542,15058,211,61223,44472,1497,15043,211,60684,43985,1473,15017,209
2021-22,Arunachal Pradesh,3603,2985,68,503,47,2402,1811,67,483,41,1938,1356,66,476,40
2021-22,Assam,60859,45490,3841,5852,5676,46907,40825,903,4551,628,45683,39919,811,4475,478
2021-22,Bihar,93165,75558,742,8097,8768,82686,65823,653,7904,8306,81564,64841,649,7859,8215
2021-22,Chandigarh,233,123,7,76,27,233,123,7,76,27,233,123,7,76,27
2021-22,Chhattisgarh,56512,48743,417,7063,289,54132,46503,381,6970,278,51652,44078,373,6929,272
2021-22,Daman and Diu and Dadra and Nagar Haveli,460,388,8,63,1,460,388,8,63,1,460,388,8,63,1
2021-22,Delhi,5619,2762,247,2610,0,5619,2762,247,2610,0,5619,2762,247,2610,0
2021-22,Goa,1510,814,557,139,0,1510,814,557,139,0,1510,814,557,139,0
2021-22,Gujarat,53851,34699,5590,13559,3,53829,34678,5589,13559,3,53828,34678,5589,13558,3
2021-22,Haryana,23726,14562,16,8261,887,23522,14404,16,8222,880,23209,14101,16,8213,879
2021-22,Himachal Pradesh,18028,15380,0,2646,2,17785,15139,0,2644,2,17628,14984,0,2642,2
2021-22,Jammu and Kashmir,28805,23173,1,5526,105,22054,17106,1,4861,86,21011,16152,1,4774,84
2021-22,Jharkhand,44855,35840,1175,1559,6281,42723,34593,807,1508,5815,41308,33319,761,1496,5732
2021-22,Karnataka,76450,49679,7110,19650,11,75736,49243,7100,19382,11,75370,48908,7092,19359,11
2021-22,Kerala,16240,5010,7183,3164,883,16170,4950,7180,3159,881,16162,4942,7180,3159,881
2021-22,Ladakh,978,838,28,112,0,913,781,28,104,0,902,770,28,104,0
2021-22,Lakshadweep,38,38,0,0,0,38,38,0,0,0,38,38,0,0,0
2021-22,Madhya Pradesh,125582,92695,740,30345,1802,96841,66891,555,27840,1555,93991,64420,546,27490,1535
2021-22,Maharashtra,109605,65639,24037,19268,661,104094,60535,23779,19120,660,93771,50468,23621,19025,657
2021-22,Manipur,4617,2889,583,1010,135,3071,1753,229,972,117,2516,1256,175,969,116
2021-22,Meghalaya,14600,7783,4172,2120,525,3873,1420,1385,822,246,3601,1263,1319,785,234
2021-22,Mizoram,3911,2563,230,1034,84,3297,2086,222,913,76,3114,1916,220,903,75
2021-22,Nagaland,2718,1960,0,757,1,2074,1371,0,702,1,1824,1133,0,690,1
2021-22,Odisha,62291,49072,5807,6104,1308,52506,40832,4592,5891,1191,47747,36845,4070,5700,1132
2021-22,Puducherry,736,422,33,281,0,736,422,33,281,0,736,422,33,281,0
2021-22,Punjab,27701,19259,450,7978,14,27698,19257,450,7977,14,27695,19254,450,7977,14
2021-22,Rajasthan,106373,68948,0,34826,2599,93298,57835,0,33434,2029,92219,57016,0,33217,1986
2021-22,Sikkim,1259,864,19,376,0,1254,859,19,376,0,1239,844,19,376,0
2021-22,Tamil Nadu,58801,37636,8323,12396,446,58801,37636,8323,12396,446,58801,37636,8323,12396,446
2021-22,Telangana,43083,30023,700,12193,167,40437,27616,622,12034,165,38920,26105,621,12029,165
2021-22,Tripura,4929,4262,43,363,261,2826,2370,37,324,95,2710,2260,37,324,89
2021-22,Uttar Pradesh,258054,137024,8113,97808,15109,218099,116638,6884,82562,12015,209856,110659,6761,80795,11641
2021-22,Uttarakhand,22815,16484,608,5225,498,20890,14799,570,5029,492,20217,14172,564,4996,485
2021-22,West Bengal,94744,83302,88,9750,1604,92182,81689,86,8986,1421,91103,80725,85,8894,1399
