Year,State,Primary (1-5) - Boys,Primary (1-5) - Girls,Primary (1-5) - Total,Upper Primary (6-8) - Boys,Upper Primary (6-8) - Girls,Upper Primary (6-8) - Total,Elementary (1-8) - Boys,Elementary (1-8) - Girls,Elementary (1-8) - Total,Secondary (9-10) - Boys,Secondary (9-10) - Girls,Secondary (9-10) - Total,Higher Secondary (11-12) - Boys,Higher Secondary (11-12) - Girls,Higher Secondary (11-12) - Total,Primary to Higher Secondary (11-12) - Boys,Primary to Higher Secondary (11-12) - Girls,Primary to Higher Secondary (11-12) - Total
2018-19,Lakshadweep,1.26,1.78,1.51,0.66,1.07,0.88,1.06,1.53,1.29,0.74,0.58,0.66,1.1,0.89,1.0,1.01,1.23,1.12
2018-19,Madhya Pradesh,42.93,42.88,42.91,44.09,44.65,44.36,43.35,43.51,43.43,45.94,45.65,45.8,47.18,47.12,47.15,44.12,44.17,44.14
2018-19,Maharashtra,32.57,32.36,32.47,32.95,32.91,32.93,32.71,32.56,32.64,34.36,34.1,34.24,35.26,35.15,35.21,33.32,33.15,33.24
2018-19,Manipur,26.83,27.12,26.97,31.22,31.8,31.5,28.21,28.61,28.41,31.18,31.81,31.49,28.07,28.34,28.2,28.59,29.02,28.8
2018-19,Meghalaya,0.67,0.67,0.67,0.99,0.71,0.84,0.76,0.69,0.72,1.12,0.84,0.97,1.21,0.76,0.96,0.83,0.71,0.77
2018-19,Mizoram,0.31,0.3,0.31,0.28,0.31,0.3,0.3,0.31,0.3,0.09,0.07,0.08,0.19,0.18,0.18,0.26,0.26,0.26
2018-19,Nagaland,2.52,2.28,2.4,2.18,2.1,2.14,2.4,2.22,2.31,2.33,1.74,2.03,2.04,1.84,1.94,2.36,2.11,2.24
2018-19,Odisha,36.26,35.95,36.11,37.93,37.57,37.75,36.88,36.55,36.72,42.0,41.54,41.77,31.87,31.47,31.66,37.07,36.63,36.85
2018-19,Puducherry,73.35,72.15,72.77,72.89,73.77,73.32,73.18,72.76,72.98,73.72,72.54,73.14,72.75,72.32,72.52,73.22,72.65,72.94
2018-19,Punjab,14.48,15.02,14.73,15.78,16.52,16.11,14.97,15.58,15.25,16.41,17.17,16.75,16.59,17.63,17.06,15.43,16.11,15.74
2018-19,Rajasthan,48.0,47.88,47.95,49.57,49.56,49.57,48.54,48.43,48.49,50.54,49.23,49.96,51.5,49.91,50.82,49.2,48.7,48.97
2018-19,Sikkim,35.96,37.47,36.67,40.38,38.59,39.48,37.72,37.95,37.83,42.38,41.3,41.81,41.3,40.24,40.71,39.05,39.0,39.02
2018-19,Tamil Nadu,71.42,71.21,71.32,70.85,70.68,70.77,71.21,71.01,71.11,71.69,71.25,71.48,73.51,72.44,72.93,71.58,71.27,71.43
2018-19,Telangana,48.86,48.9,48.88,49.35,49.12,49.24,49.03,48.98,49.01,50.49,50.35,50.42,53.95,54.14,54.05,49.79,49.83,49.81
2018-19,Tripura,16.64,17.34,16.99,18.46,18.96,18.71,17.32,17.95,17.63,20.02,19.93,19.97,24.26,24.71,24.48,18.35,18.84,18.59
2018-19,Uttar Pradesh,54.1,54.65,54.37,52.48,53.15,52.8,53.59,54.17,53.87,53.97,53.63,53.81,53.9,53.79,53.85,53.68,54.06,53.86
2018-19,Uttarakhand,30.8,31.02,30.9,25.35,26.29,25.8,28.87,29.31,29.07,21.71,22.68,22.17,19.84,20.83,20.33,26.61,27.11,26.85
2018-19,West Bengal,13.12,13.12,13.12,18.37,18.81,18.59,14.87,15.11,14.99,18.62,19.41,19.05,19.12,19.88,19.52,15.87,16.4,16.14
2019-20,India,44.44,44.81,44.62,44.84,45.38,45.1,44.58,45.01,44.79,45.34,44.79,45.08,44.82,44.72,44.77,44.72,44.95,44.83
2019-20,Andaman and Nicobar Islands,22.6,21.95,22.28,23.88,23.98,23.93,23.08,22.73,22.91,25.73,26.52,26.12,26.0,26.22,26.12,23.88,23.86,23.87
2019-20,Andhra Pradesh,51.76,51.62,51.69,50.8,51.06,50.93,51.42,51.42,51.42,51.79,51.31,51.56,53.11,51.53,52.29,51.65,51.41,51.54
2019-20,Arunachal Pradesh,2.37,2.21,2.29,2.33,1.95,2.14,2.36,2.12,2.24,2.27,2.24,2.26,2.22,2.23,2.22,2.34,2.14,2.24
2019-20,Assam,25.13,25.2,25.16,26.47,24.91,25.67,25.57,25.1,25.33,29.03,27.27,28.09,28.06,28.45,28.25,26.19,25.62,25.9
2019-20,Bihar,60.53,61.68,61.09,63.42,64.82,64.13,61.48,62.77,62.12,62.99,63.45,63.22,59.86,59.88,59.87,61.56,62.67,62.11
2019-20,Chandigarh,3.24,2.9,3.08,3.14,2.93,3.04,3.2,2.91,3.07,3.87,3.74,3.81,3.53,3.44,3.49,3.37,3.14,3.26
2019-20,Chhattisgarh,44.51,44.86,44.68,46.21,46.55,46.38,45.12,45.47,45.29,48.03,47.98,48.0,48.62,49.14,48.9,45.93,46.31,46.12
2019-20,Dadra and Nagar Haveli,4.71,3.61,4.19,4.53,3.95,4.26,4.65,3.71,4.21,4.88,4.0,4.46,5.78,5.2,5.49,4.8,3.92,4.38
2019-20,Daman and Diu,25.41,27.57,26.41,28.8,31.06,29.86,26.6,28.8,27.63,37.58,40.33,38.88,45.93,44.53,45.19,30.03,32.32,31.11
2019-20,Delhi,5.29,4.9,5.11,5.46,5.05,5.27,5.36,4.96,5.17,6.55,6.19,6.38,9.31,8.62,8.97,6.02,5.63,5.84
2019-20,Goa,7.07,7.3,7.18,11.56,11.84,11.69,8.72,8.96,8.84,13.06,13.59,13.31,16.67,17.33,17.01,10.48,10.9,10.68
2019-20,Gujarat,46.59,47.65,47.09,47.3,47.59,47.44,46.84,47.63,47.21,47.85,44.69,46.49,43.06,39.72,41.53,46.67,46.48,46.58
2019-20,Haryana,30.63,30.7,30.66,30.14,30.09,30.12,30.45,30.48,30.46,30.01,29.25,29.68,28.98,28.86,28.92,30.21,30.08,30.15
2019-20,Himachal Pradesh,13.29,12.99,13.15,13.61,13.4,13.51,13.41,13.14,13.28,14.76,14.25,14.52,15.83,15.81,15.82,14.0,13.74,13.88
2019-20,Jammu and Kashmir,6.14,6.3,6.22,6.2,6.49,6.34,6.16,6.36,6.26,5.94,6.37,6.14,5.68,5.65,5.67,6.08,6.3,6.18
2019-20,Jharkhand,45.6,46.42,46.0,47.31,49.08,48.2,46.16,47.35,46.74,48.64,50.38,49.52,44.57,44.93,44.75,46.33,47.54,46.93
2019-20,Karnataka,61.7,61.8,61.75,61.37,61.87,61.62,61.58,61.83,61.7,63.21,64.26,63.72,64.89,66.66,65.82,62.15,62.72,62.43
2019-20,Kerala,68.55,68.56,68.55,66.98,67.36,67.17,67.96,68.11,68.03,66.03,66.3,66.16,61.48,62.44,61.97,66.7,66.92,66.81
2019-20,Ladakh,0.08,0.07,0.07,0.1,0.03,0.07,0.09,0.06,0.07,0.09,0.03,0.06,0.05,0.04,0.04,0.08,0.05,0.07
2019-20,Lakshadweep,1.6,1.72,1.66,0.88,1.26,1.07,1.37,1.56,1.47,0.72,0.74,0.73,0.21,0.67,0.45,1.09,1.26,1.17
2019-20,Madhya Pradesh,42.76,42.68,42.72,44.07,44.38,44.22,43.23,43.29,43.26,46.35,46.16,46.26,47.57,47.54,47.56,44.12,44.11,44.12
2019-20,Maharashtra,32.14,31.92,32.04,32.62,32.5,32.57,32.32,32.14,32.23,33.95,33.61,33.79,34.98,34.9,34.95,32.93,32.73,32.83
2019-20,Manipur,27.7,28.23,27.96,30.69,31.38,31.03,28.65,29.24,28.94,31.18,31.6,31.39,26.05,25.94,25.99,28.73,29.23,28.98
2019-20,Meghalaya,0.75,0.72,0.73,0.96,0.84,0.9,0.81,0.76,0.78,1.08,0.88,0.97,1.12,0.86,0.98,0.86,0.78,0.82
2019-20,Mizoram,0.15,0.12,0.13,0.17,0.17,0.17,0.16,0.13,0.15,0.17,0.11,0.14,0.16,0.16,0.16,0.16,0.13,0.15
2019-20,Nagaland,3.55,3.29,3.42,2.75,2.61,2.68,3.28,3.05,3.16,2.57,2.22,2.39,2.82,2.51,2.66,3.13,2.87,3.0
2019-20,Odisha,36.6,36.35,36.48,37.93,37.66,37.8,37.09,36.83,36.97,41.32,40.51,40.92,24.18,22.84,23.51,36.52,36.0,36.26
2019-20,Puducherry,73.15,71.82,72.51,72.53,72.42,72.48,72.91,72.05,72.49,71.46,72.37,71.91,74.38,73.95,74.15,72.86,72.4,72.63
2019-20,Punjab,14.41,14.87,14.62,15.13,15.68,15.38,14.68,15.17,14.91,15.18,15.48,15.32,16.7,17.75,17.18,15.03,15.56,15.27
2019-20,Rajasthan,47.99,47.76,47.88,49.57,49.53,49.56,48.52,48.34,48.44,50.53,49.24,49.96,51.35,50.05,50.78,49.17,48.66,48.93
2019-20,Sikkim,37.14,39.22,38.12,40.98,39.65,40.32,38.64,39.4,39.0,43.14,42.06,42.58,41.27,42.56,41.98,39.84,40.42,40.13
2019-20,Tamil Nadu,71.4,71.14,71.27,71.5,71.31,71.41,71.44,71.2,71.32,72.05,71.56,71.81,73.6,72.57,73.05,71.82,71.47,71.65
2019-20,Telangana,48.39,48.52,48.45,49.09,48.95,49.02,48.64,48.67,48.65,50.47,50.31,50.39,55.1,55.0,55.05,49.6,49.69,49.65
2019-20,Tripura,17.51,18.06,17.78,19.2,19.65,19.42,18.13,18.65,18.38,20.25,20.22,20.24,24.05,24.84,24.44,19.0,19.45,19.22
2019-20,Uttar Pradesh,53.93,54.42,54.16,52.22,52.82,52.51,53.39,53.91,53.64,53.03,53.04,53.03,53.3,53.01,53.17,53.33,53.71,53.51
2019-20,Uttarakhand,31.04,31.39,31.2,25.74,26.96,26.32,29.16,29.79,29.46,22.32,23.42,22.84,19.89,21.38,20.63,26.88,27.62,27.23
2019-20,West Bengal,13.18,13.18,13.18,18.09,18.6,18.35,14.8,15.04,14.92,18.54,19.53,19.08,18.62,19.61,19.15,15.76,16.36,16.07
2020-21,India,44.46,44.69,44.57,44.69,45.14,44.91,44.54,44.85,44.69,45.1,44.57,44.85,44.93,44.64,44.79,44.67,44.78,44.72
2020-21,Andaman and Nicobar Islands,23.51,22.95,23.24,23.83,24.14,23.98,23.64,23.43,23.53,25.31,25.67,25.48,26.42,27.37,26.93,24.3,24.39,24.35
2020-21,Andhra Pradesh,52.46,52.23,52.35,51.16,51.32,51.23,52.0,51.9,51.95,51.01,50.9,50.96,52.27,51.1,51.68,51.86,51.64,51.76
2020-21,Arunachal Pradesh,2.04,1.88,1.96,1.85,1.77,1.81,1.98,1.84,1.91,1.91,1.45,1.67,1.64,1.43,1.53,1.94,1.75,1.85
2020-21,Assam,25.04,25.1,25.07,26.23,24.67,25.42,25.44,24.95,25.19,28.53,26.9,27.66,27.81,28.14,27.98,26.01,25.44,25.72
2020-21,Bihar,60.68,61.47,61.07,63.24,64.48,63.87,61.52,62.52,62.01,63.12,63.62,63.37,60.91,60.78,60.85,61.69,62.55,62.11
2020-21,Chandigarh,3.21,2.93,3.08,2.88,2.92,2.9,3.07,2.92,3.0,3.91,3.86,3.89,3.87,4.06,3.96,3.36,3.28,3.32
2020-21,Chhattisgarh,44.58,44.81,44.69,45.93,46.3,46.11,45.06,45.34,45.2,48.23,47.87,48.05,48.86,49.21,49.05,45.96,46.23,46.09
2020-21,Daman and Diu and Dadra and Nagar Haveli,11.58,10.88,11.24,11.72,11.86,11.79,11.63,11.24,11.44,16.61,17.52,17.04,20.13,19.69,19.9,13.15,13.04,13.1
2020-21,Delhi,5.5,5.13,5.32,5.43,4.86,5.16,5.47,5.02,5.26,6.52,6.31,6.42,8.88,8.32,8.6,6.1,5.71,5.91
2020-21,Goa,6.78,6.96,6.87,11.1,11.67,11.37,8.39,8.71,8.55,12.93,13.67,13.28,16.34,16.56,16.45,10.28,10.7,10.48
2020-21,Gujarat,47.07,48.17,47.59,47.54,48.13,47.82,47.24,48.15,47.67,47.94,45.42,46.83,42.99,40.15,41.67,46.98,47.02,47.0
2020-21,Haryana,30.46,30.79,30.61,29.81,29.71,29.76,30.22,30.39,30.3,29.76,29.34,29.58,28.99,28.86,28.93,29.99,30.02,30.0
2020-21,Himachal Pradesh,13.22,12.85,13.04,13.5,13.47,13.49,13.32,13.09,13.21,14.3,13.88,14.1,15.64,15.25,15.45,13.85,13.56,13.71
2020-21,Jammu and Kashmir,5.99,6.15,6.07,6.17,6.4,6.28,6.05,6.24,6.14,6.47,6.65,6.55,6.15,6.69,6.4,6.13,6.35,6.23
2020-21,Jharkhand,46.51,47.12,46.8,48.0,49.18,48.59,47.02,47.86,47.43,48.69,50.36,49.54,46.15,46.76,46.45,47.16,48.1,47.62
2020-21,Karnataka,62.29,62.29,62.29,62.18,62.49,62.33,62.25,62.37,62.31,63.42,64.23,63.81,64.88,66.69,65.81,62.7,63.14,62.91
2020-21,Kerala,69.12,69.1,69.11,68.02,68.2,68.11,68.7,68.76,68.73,67.26,67.62,67.44,62.8,63.82,63.32,67.6,67.8,67.7
2020-21,Ladakh,0.09,0.06,0.07,0.12,0.0,0.06,0.1,0.04,0.07,0.09,0.1,0.09,0.07,0.0,0.03,0.09,0.04,0.07
2020-21,Lakshadweep,1.51,1.58,1.55,0.84,1.47,1.14,1.3,1.55,1.42,0.43,1.02,0.71,0.19,0.8,0.49,0.95,1.32,1.13
2020-21,Madhya Pradesh,42.29,42.15,42.22,43.51,43.69,43.6,42.74,42.71,42.73,46.18,46.01,46.1,47.9,47.66,47.79,43.74,43.66,43.7
2020-21,Maharashtra,31.89,31.8,31.85,32.52,32.28,32.41,32.13,31.99,32.06,33.41,33.02,33.23,35.2,34.89,35.05,32.74,32.53,32.64
2020-21,Manipur,29.36,29.72,29.54,32.82,33.03,32.93,30.46,30.79,30.62,33.05,33.0,33.03,26.88,26.65,26.77,30.43,30.66,30.54
2020-21,Meghalaya,0.65,0.62,0.64,0.87,0.83,0.85,0.72,0.69,0.7,1.1,0.81,0.94,0.94,0.76,0.84,0.77,0.71,0.74
2020-21,Mizoram,0.21,0.24,0.22,0.19,0.13,0.16,0.2,0.2,0.2,0.21,0.13,0.17,0.17,0.25,0.21,0.2,0.19,0.2
2020-21,Nagaland,3.15,2.96,3.06,2.4,2.2,2.3,2.89,2.69,2.79,2.48,2.34,2.41,2.39,1.95,2.16,2.79,2.57,2.68
2020-21,Odisha,37.06,36.66,36.87,38.18,37.89,38.04,37.48,37.12,37.31,40.38,39.41,39.91,28.49,27.55,28.01,37.15,36.56,36.86
2020-21,Puducherry,71.59,71.66,71.63,72.07,72.45,72.25,71.78,71.96,71.87,71.92,72.03,71.98,76.55,75.99,76.26,72.45,72.59,72.52
2020-21,Punjab,14.3,14.71,14.49,14.96,15.74,15.32,14.55,15.1,14.81,13.91,14.8,14.31,16.73,17.77,17.21,14.73,15.41,15.04
2020-21,Rajasthan,48.25,47.76,48.02,49.16,48.99,49.08,48.56,48.17,48.38,50.47,49.34,49.96,51.32,49.95,50.71,49.18,48.54,48.88
2020-21,Sikkim,37.34,39.32,38.28,40.44,39.05,39.75,38.54,39.21,38.86,42.87,41.35,42.08,44.21,44.28,44.25,40.07,40.44,40.25
2020-21,Tamil Nadu,67.52,67.22,67.37,67.85,67.53,67.7,67.64,67.34,67.5,67.01,66.61,66.82,68.6,67.56,68.06,67.66,67.25,67.46
2020-21,Telangana,48.52,48.58,48.55,48.94,48.9,48.92,48.67,48.7,48.68,50.06,49.92,49.99,55.21,54.75,54.98,49.63,49.64,49.63
2020-21,Tripura,17.98,18.54,18.25,19.12,19.58,19.35,18.4,18.92,18.65,21.53,21.24,21.38,23.74,24.25,24.0,19.4,19.83,19.62
2020-21,Uttar Pradesh,53.83,54.24,54.03,52.17,52.72,52.44,53.31,53.76,53.52,53.99,53.72,53.87,54.03,53.55,53.81,53.48,53.74,53.6
2020-21,Uttarakhand,31.14,31.5,31.31,25.86,27.07,26.43,29.24,29.89,29.55,22.05,23.39,22.68,19.97,21.76,20.85,26.88,27.71,27.27
2020-21,West Bengal,13.06,13.02,13.04,17.85,18.14,18.0,14.62,14.75,14.69,18.29,19.25,18.81,18.48,19.45,19.0,15.58,16.1,15.84
2021-22,India,45.0,45.1,45.1,44.7,45.0,44.8,44.9,45.1,45.0,45.4,45.0,45.2,44.5,43.9,44.2,44.9,45.0,44.9
2021-22,Andaman and Nicobar Islands,23.8,24.3,24.0,23.4,23.9,23.6,23.6,24.1,23.9,25.1,25.6,25.3,26.7,28.0,27.3,24.4,25.0,24.7
2021-22,Andhra Pradesh,52.0,51.8,51.9,51.5,51.5,51.5,51.9,51.7,51.8,51.0,50.9,51.0,48.4,47.9,48.2,51.3,51.1,51.2
2021-22,Arunachal Pradesh,2.3,2.2,2.2,2.1,2.0,2.1,2.2,2.1,2.2,1.7,1.5,1.6,1.6,1.5,1.5,2.1,2.0,2.0
2021-22,Assam,25.0,25.1,25.0,26.4,25.0,25.7,25.5,25.1,25.3,28.2,26.4,27.2,27.3,27.3,27.3,26.0,25.4,25.7
2021-22,Bihar,60.7,61.4,61.0,62.7,63.9,63.3,61.4,62.2,61.8,63.5,64.1,63.8,61.4,61.9,61.6,61.7,62.5,62.1
2021-22,Chandigarh,3.4,2.9,3.2,3.1,3.1,3.1,3.3,3.0,3.1,3.9,3.9,3.9,3.9,4.0,4.0,3.5,3.3,3.4
2021-22,Chhattisgarh,44.5,44.8,44.6,46.1,46.4,46.2,45.1,45.3,45.2,48.5,48.5,48.5,49.4,48.9,49.1,46.1,46.3,46.2
2021-22,Daman and Diu and Dadra and Nagar Haveli,10.6,9.8,10.2,11.5,11.5,11.5,10.9,10.4,10.7,17.2,17.7,17.4,18.8,19.5,19.2,12.7,12.5,12.6
2021-22,Delhi,5.8,5.4,5.6,6.1,5.1,5.6,5.9,5.2,5.6,7.2,6.5,6.9,8.8,8.0,8.4,6.6,5.9,6.2
2021-22,Goa,7.1,7.3,7.2,10.6,11.2,10.9,8.4,8.8,8.6,12.3,12.7,12.5,16.8,17.4,17.1,10.3,10.7,10.5
2021-22,Gujarat,47.0,48.0,47.5,47.1,48.0,47.5,47.0,48.0,47.5,46.6,44.8,45.8,44.1,40.9,42.6,46.6,46.8,46.7
2021-22,Haryana,31.1,31.4,31.2,30.0,30.0,30.0,30.7,30.9,30.8,29.8,29.5,29.7,29.6,29.1,29.4,30.4,30.4,30.4
2021-22,Himachal Pradesh,13.4,13.1,13.3,13.8,13.6,13.7,13.6,13.3,13.4,14.1,13.8,14.0,15.6,15.1,15.4,14.0,13.7,13.9
2021-22,Jammu and Kashmir,6.3,6.4,6.4,6.4,6.6,6.5,6.3,6.5,6.4,6.3,6.6,6.4,5.5,6.0,5.7,6.2,6.4,6.3
2021-22,Jharkhand,47.4,47.7,47.5,48.4,49.3,48.9,47.8,48.3,48.0,49.1,50.3,49.7,46.6,46.6,46.6,47.8,48.4,48.1
2021-22,Karnataka,63.3,63.2,63.3,62.4,62.6,62.5,63.0,63.0,63.0,63.8,64.5,64.1,63.2,64.8,64.0,63.1,63.4,63.3
2021-22,Kerala,69.4,69.4,69.4,68.3,68.5,68.4,69.0,69.1,69.1,67.5,67.9,67.7,62.6,63.5,63.1,67.8,68.0,67.9
2021-22,Ladakh,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.0,0.1,0.1,0.1,0.1
2021-22,Lakshadweep,1.3,1.5,1.4,0.6,1.0,0.8,1.0,1.3,1.2,0.3,1.0,0.6,0.6,0.6,0.6,0.9,1.2,1.0
2021-22,Madhya Pradesh,43.1,43.0,43.1,43.7,44.0,43.8,43.3,43.3,43.3,47.0,46.6,46.9,48.3,47.5,47.9,44.4,44.2,44.3
2021-22,Maharashtra,31.8,31.7,31.7,32.2,31.9,32.1,31.9,31.8,31.9,33.0,32.6,32.8,34.4,34.0,34.2,32.4,32.2,32.3
2021-22,Manipur,29.1,29.3,29.2,31.4,32.1,31.8,29.8,30.2,30.0,32.1,31.5,31.8,26.0,25.6,25.8,29.7,29.8,29.8
2021-22,Meghalaya,0.6,0.6,0.6,0.9,0.7,0.8,0.7,0.6,0.7,0.9,0.8,0.9,1.1,0.8,0.9,0.7,0.7,0.7
2021-22,Mizoram,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.5,0.4,0.4,0.2,0.1,0.1
2021-22,Nagaland,2.8,2.4,2.6,2.5,2.3,2.4,2.7,2.4,2.6,2.6,2.4,2.5,2.2,2.3,2.3,2.7,2.4,2.5
2021-22,Odisha,37.3,37.0,37.2,37.4,36.9,37.2,37.3,37.0,37.2,40.1,38.9,39.5,30.0,29.3,29.7,37.2,36.6,36.9
2021-22,Puducherry,70.3,70.2,70.3,69.0,70.6,69.8,69.8,70.4,70.1,67.4,70.9,69.1,71.3,72.8,72.1,69.6,70.9,70.2
2021-22,Punjab,14.8,15.2,15.0,15.5,16.1,15.8,15.1,15.5,15.3,16.4,17.3,16.8,16.8,17.8,17.2,15.6,16.1,15.8
2021-22,Rajasthan,48.5,48.1,48.3,48.7,48.5,48.6,48.5,48.2,48.4,50.5,49.8,50.2,50.5,49.1,49.9,49.1,48.6,48.8
2021-22,Sikkim,36.7,38.9,37.8,39.3,38.8,39.1,37.7,38.9,38.3,40.4,38.6,39.5,40.5,40.7,40.6,38.6,39.1,38.9
2021-22,Tamil Nadu,67.8,67.4,67.6,67.8,67.6,67.7,67.8,67.5,67.6,67.2,66.9,67.1,68.1,67.2,67.7,67.7,67.3,67.5
2021-22,Telangana,49.6,49.5,49.5,49.4,49.4,49.4,49.5,49.5,49.5,49.8,49.7,49.8,55.0,54.5,54.7,50.2,50.1,50.2
2021-22,Tripura,18.1,18.4,18.2,19.0,19.5,19.2,18.4,18.8,18.6,21.3,20.9,21.1,22.4,22.3,22.4,19.3,19.5,19.4
2021-22,Uttar Pradesh,54.2,54.7,54.4,52.5,53.0,52.7,53.7,54.1,53.9,54.0,53.7,53.8,53.7,53.4,53.6,53.7,54.0,53.8
2021-22,Uttarakhand,31.5,32.0,31.7,26.6,27.9,27.2,29.7,30.5,30.1,22.8,23.9,23.3,20.4,21.9,21.1,27.4,28.3,27.8
2021-22,West Bengal,12.9,12.8,12.8,15.7,15.7,15.7,13.9,13.8,13.8,17.1,17.5,17.3,17.1,17.9,17.5,14.7,15.0,14.8
