Year,State,Total Schools - All management,Total Schools - Government,Total Schools - Government aided,Total Schools - Pvt. unaided,Total Schools - Others,Schools with internet facility available - All management,Schools with internet facility available - Government,Schools with internet facility available - Government aided,Schools with internet facility available - Pvt. unaided,Schools with internet facility available - Others
2021-22,Delhi,5619,2762,247,2610,0,5619,2762,247,2610,0
2021-22,Goa,1510,814,557,139,0,879,299,459,121,0
2021-22,Gujarat,53851,34699,5590,13559,3,49522,32681,4685,12153,3
2021-22,Haryana,23726,14562,16,8261,887,12158,4345,14,7160,639
2021-22,Himachal Pradesh,18028,15380,0,2646,2,6215,4175,0,2040,0
2021-22,Jammu and Kashmir,28805,23173,1,5526,105,8566,5169,1,3345,51
2021-22,Jharkhand,44855,35840,1175,1559,6281,16726,12052,390,1153,3131
2021-22,Karnataka,76450,49679,7110,19650,11,22590,5308,3133,14145,4
2021-22,Kerala,16240,5010,7183,3164,883,15459,4738,6938,3010,773
2021-22,Ladakh,978,838,28,112,0,418,342,13,63,0
2021-22,Lakshadweep,38,38,0,0,0,37,37,0,0,0
2021-22,Madhya Pradesh,125582,92695,740,30345,1802,34562,16469,254,17339,500
2021-22,Maharashtra,109605,65639,24037,19268,661,52553,18540,16985,16542,486
2021-22,Manipur,4617,2889,583,1010,135,1065,340,64,617,44
2021-22,Meghalaya,14600,7783,4172,2120,525,2460,1111,782,488,79
2021-22,Mizoram,3911,2563,230,1034,84,307,153,31,114,9
2021-22,Nagaland,2718,1960,0,757,1,1383,850,0,532,1
2021-22,Odisha,62291,49072,5807,6104,1308,9284,3970,1012,3717,585
2021-22,Puducherry,736,422,33,281,0,724,422,31,271,0
2021-22,Punjab,27701,19259,450,7978,14,16429,9013,386,7026,4
2021-22,Rajasthan,106373,68948,0,34826,2599,63674,36889,0,26170,615
2021-22,Sikkim,1259,864,19,376,0,434,231,8,195,0
2021-22,Tamil Nadu,58801,37636,8323,12396,446,22086,9292,3207,9323,264
2021-22,Telangana,43083,30023,700,12193,167,9887,2772,188,6917,10
2021-22,Tripura,4929,4262,43,363,261,896,682,14,175,25
2021-22,Uttar Pradesh,258054,137024,8113,97808,15109,54554,12074,3366,35701,3413
2021-22,Uttarakhand,22815,16484,608,5225,498,6245,2575,246,3245,179
2021-22,West Bengal,94744,83302,88,9750,1604,15796,12918,47,2565,266
