Year,State,Age 3-5 - Boys,Age 3-5 - Girls,Age 3-5 - Total,Age 6-10 - Boys,Age 6-10 - Girls,Age 6-10 - Total,Age 11-13 - Boys,Age 11-13 - Girls,Age 11-13 - Total,Age 6-13 - Boys,Age 6-13 - Girls,Age 6-13 - Total,Age 14-15 - Boys,Age 14-15 - Girls,Age 14-15 - Total,Age 16-17 - Boys,Age 16-17 - Girls,Age 16-17 - Total
2019-20,Jammu and Kashmir,22400,20285,42685,43295,36972,80268,34509,29545,64053,77804,66517,144321,23036,19696,42732,24284,20295,44579
2019-20,Jharkhand,188725,177981,366706,263105,250670,513775,155361,148556,303917,418466,399226,817692,102204,94245,196448,98683,87928,186610
2019-20,Karnataka,356999,333146,690145,500552,474814,975366,303734,290945,594679,804286,765759,1570045,210664,196484,407148,211707,193191,404899
2019-20,Kerala,74853,71460,146313,106997,102911,209907,70153,67053,137206,177150,169964,347113,47592,45275,92868,45628,44097,89725
2019-20,Ladakh,6,1,7,10,5,14,6,5,11,16,9,25,3,2,5,3,3,5
2019-20,Lakshadweep,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2019-20,Madhya Pradesh,529564,483476,1013039,697586,641382,1338968,403163,376949,780112,1100749,1018331,2119080,275428,248181,523609,280746,242674,523419
2019-20,Maharashtra,404631,365796,770427,590975,542116,1133092,380147,351585,731731,971122,893701,1864823,262436,238567,501002,272482,241093,513575
2019-20,Manipur,2634,2396,5030,4671,4395,9066,3285,3090,6375,7956,7485,15441,2182,2055,4236,1919,1822,3741
2019-20,Meghalaya,491,497,988,830,739,1569,594,572,1166,1423,1311,2734,383,337,720,424,380,804
2019-20,Mizoram,18,27,45,49,44,92,34,24,57,82,68,150,11,19,30,19,16,35
2019-20,Nagaland,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2019-20,Odisha,241792,229519,471311,334575,318113,652688,215565,207046,422611,550140,525159,1075299,145235,142910,288145,146272,143479,289750
2019-20,Puducherry,7016,6680,13696,11012,10267,21280,6996,6644,13640,18008,16911,34920,4674,4408,9083,4400,4275,8675
2019-20,Punjab,283581,260700,544280,412546,373379,785925,261702,233806,495508,674248,607186,1281434,184663,164006,348669,190219,162518,352738
2019-20,Rajasthan,582507,509457,1091964,785900,699176,1485076,456705,415040,871745,1242605,1114217,2356821,307445,273992,581437,308416,267556,575972
2019-20,Sikkim,731,715,1446,1291,1223,2515,979,905,1885,2271,2128,4399,653,553,1206,691,684,1375
2019-20,Tamil Nadu,407957,378298,786255,599038,563096,1162134,370632,358304,728936,969670,921400,1891070,253524,245129,498653,255564,247282,502846
2019-20,Telangana,153538,141292,294830,222406,209685,432091,147102,144726,291828,369508,354411,723919,105383,102439,207822,108829,104133,212962
2019-20,Tripura,16568,15409,31977,24509,22962,47471,18118,17257,35375,42627,40219,82846,12378,11865,24243,14327,12978,27305
2019-20,Uttar Pradesh,2097580,1867444,3965023,2685082,2405006,5090089,1498808,1359802,2858610,4183890,3764809,7948699,1037737,920322,1958059,1060210,921799,1982010
2019-20,Uttarakhand,72746,63777,136523,104034,92913,196947,67214,61028,128242,171248,153940,325189,44944,40814,85757,45676,40481,86157
2019-20,West Bengal,537220,512519,1049739,809007,783525,1592532,528377,521029,1049407,1337385,1304554,2641939,365531,359077,724608,372193,364748,736941
2020-21,India,7862775,7163403,15026178,10882901,9948767,20831669,6379245,5970358,12349604,17262146,15919126,33181272,4361559,3999243,8360802,4413582,3967799,8381380
2020-21,Andaman and Nicobar Islands,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020-21,Andhra Pradesh,244883,229200,474083,348863,332317,681180,216192,216432,432624,565055,548749,1113804,150362,148587,298949,151574,146509,298083
2020-21,Arunachal Pradesh,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020-21,Assam,73508,67860,141368,105475,98642,204117,72966,71503,144469,178441,170145,348587,50023,49907,99930,52304,51138,103442
2020-21,Bihar,939065,868386,1807451,1276840,1183173,2460013,698881,652167,1351048,1975721,1835341,3811062,438904,379352,818256,410579,343711,754290
2020-21,Chandigarh,8969,7678,16647,13397,11211,24607,8234,6891,15125,21631,18102,39732,5801,4822,10624,6235,5061,11296
2020-21,Chhattisgarh,144195,135857,280052,192080,184272,376352,109305,106807,216112,301386,291079,592464,74779,71901,146680,76736,73008,149744
2020-21,Daman and Diu and Dadra and Nagar Haveli,460,431,891,643,593,1236,450,420,871,1093,1013,2106,324,250,573,343,289,632
2020-21,Delhi,100950,88470,189420,144550,125096,269646,88540,79831,168371,233090,204927,438017,63853,58189,122042,67985,61774,129758
2020-21,Goa,854,829,1683,1253,1164,2417,743,738,1481,1996,1902,3898,567,493,1059,546,542,1088
2020-21,Gujarat,145244,125221,270466,206780,177993,384773,126688,113792,240480,333468,291785,625253,88897,79207,168104,93529,83551,177080
2020-21,Haryana,214057,188683,402740,296203,256998,553201,174179,152233,326413,470383,409231,879613,119339,104318,223656,122463,104512,226975
2020-21,Himachal Pradesh,50777,47225,98003,73533,68999,142532,47564,44391,91955,121097,113390,234487,32242,30094,62336,33054,30157,63211
2020-21,Jammu and Kashmir,21509,19606,41115,39601,34293,73894,35002,29752,64754,74602,64045,138647,23282,19787,43069,24451,20326,44777
2020-21,Jharkhand,188140,177277,365418,259849,244871,504720,154671,148506,303176,414520,393377,807896,102002,94535,196538,98659,88357,187016
2020-21,Karnataka,352733,328694,681427,501469,472097,973566,300137,288320,588457,801606,760417,1562023,208125,194504,402629,209000,191063,400063
2020-21,Kerala,74162,70779,144941,106168,102011,208178,69775,66677,136452,175942,168687,344630,47232,44935,92167,45150,43665,88816
2020-21,Ladakh,6,1,7,10,5,14,6,5,11,16,9,25,3,2,5,3,3,5
2020-21,Lakshadweep,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020-21,Madhya Pradesh,528364,482510,1010874,711060,650632,1361692,397485,373336,770821,1108545,1023968,2132514,272832,246693,519525,278986,241706,520692
2020-21,Maharashtra,401094,362493,763586,583225,530907,1114132,377565,349616,727180,960790,880522,1841313,260258,236791,497049,269753,238741,508495
2020-21,Manipur,2608,2371,4979,4407,4124,8531,3277,3079,6357,7685,7203,14888,2169,2045,4215,1909,1809,3717
2020-21,Meghalaya,487,493,980,783,693,1476,592,570,1162,1375,1263,2638,381,335,717,422,377,799
2020-21,Mizoram,17,27,44,46,41,87,33,24,57,79,65,144,11,19,30,19,16,35
2020-21,Nagaland,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020-21,Odisha,239495,227422,466917,330070,313437,643507,213179,204236,417415,543249,517673,1060922,143836,141179,285015,144923,141780,286702
2020-21,Puducherry,7194,6798,13992,11249,10484,21733,7161,6776,13936,18410,17259,35669,4800,4511,9311,4491,4391,8882
2020-21,Punjab,280475,258574,539049,407375,371469,778843,255725,229576,485302,663100,601045,1264145,180772,161392,342164,186401,160246,346647
2020-21,Rajasthan,578462,506675,1085137,793369,700559,1493929,451042,411090,862133,1244412,1111650,2356062,304500,272174,576674,305883,266165,572048
2020-21,Sikkim,724,707,1431,1219,1149,2368,977,902,1879,2196,2051,4247,650,550,1200,688,679,1367
2020-21,Tamil Nadu,401359,372326,773685,597943,557584,1155527,365793,353954,719747,963736,911538,1875274,249869,241881,491749,251414,243817,495231
2020-21,Telangana,152346,140250,292596,220471,205774,426245,143773,141593,285366,364244,347367,711610,103141,100295,203436,106541,101907,208448
2020-21,Tripura,16422,15273,31696,23126,21549,44675,18073,17197,35270,41199,38746,79945,12309,11811,24120,14248,12887,27134
2020-21,Uttar Pradesh,2092762,1863588,3956350,2735669,2431791,5167460,1457040,1327487,2784526,4192709,3759278,7951987,1017386,905276,1922662,1045154,911273,1956427
2020-21,Uttarakhand,72451,63603,136054,102275,90254,192530,66164,59991,126155,168439,150245,318684,44297,40192,84489,45080,39809,84889
2020-21,West Bengal,529004,504092,1033097,793900,764589,1558489,518033,512465,1030497,1311933,1277054,2588987,358616,353213,711829,365060,358528,723588
2021-22,India,7810288,7114686,14924974,10910882,9904707,20815589,6276582,5894760,12171342,17187464,15799467,32986931,4305986,3959512,8265498,4365369,3934342,8299711
2021-22,Andaman and Nicobar Islands,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2021-22,Andhra Pradesh,242282,226660,468942,347553,328275,675828,210470,211423,421893,558023,539698,1097721,146895,145472,292367,148344,143668,292012
2021-22,Arunachal Pradesh,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2021-22,Assam,73117,67415,140533,103825,95975,199800,72438,71201,143640,176264,167176,343440,49848,49862,99710,52244,51261,103505
2021-22,Bihar,932397,860398,1792796,1276277,1170302,2446579,695280,654058,1349337,1971556,1824360,3795917,439458,383106,822564,412964,348986,761950
2021-22,Chandigarh,9192,7811,17003,13679,11443,25122,8426,7026,15452,22105,18469,40573,5953,4932,10885,6361,5195,11556
2021-22,Chhattisgarh,144047,135471,279518,194474,185778,380252,108356,105876,214233,302830,291654,594484,74315,71441,145756,76351,72577,148928
2021-22,Daman and Diu and Dadra and Nagar Haveli,471,438,910,656,605,1262,461,428,889,1117,1034,2151,332,255,588,350,296,646
2021-22,Delhi,100915,88542,189457,145572,124878,270450,87758,79530,167288,233330,204408,437739,63418,57997,121415,67578,61501,129080
2021-22,Goa,876,843,1719,1279,1188,2467,760,753,1513,2039,1940,3980,581,504,1085,557,557,1113
2021-22,Gujarat,145506,125490,270996,208651,177737,386388,125477,113095,238572,334128,290832,624960,88258,78772,167030,92991,83055,176046
2021-22,Haryana,213470,188914,402384,297953,257872,555826,172354,151087,323441,470307,408959,879266,118219,103591,221810,121217,103804,225021
2021-22,Himachal Pradesh,49947,46451,96398,71864,67426,139290,46980,43891,90871,118844,111317,230161,31876,29709,61585,32636,29782,62418
2021-22,Jammu and Kashmir,20617,18927,39545,35906,31614,67520,35495,29959,65454,71401,61573,132974,23529,19877,43406,24618,20358,44976
2021-22,Jharkhand,187555,176574,364129,256593,239072,495665,153980,148455,302436,410573,387527,798101,101801,94826,196627,98634,88787,187422
2021-22,Karnataka,348466,324243,672709,502385,469381,971766,296540,285695,582235,798926,755075,1554001,205587,192523,398110,206292,188936,395227
2021-22,Kerala,73471,70097,143568,105338,101111,206449,69397,66300,135697,174735,167411,342147,46871,44595,91466,44673,43234,87907
2021-22,Ladakh,6,1,7,10,5,15,6,5,11,16,10,26,3,3,5,3,3,5
2021-22,Lakshadweep,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2021-22,Madhya Pradesh,527164,481545,1008709,724535,659882,1384417,391807,369724,761531,1116342,1029606,2145948,270236,245205,515441,277226,240739,517965
2021-22,Maharashtra,397556,359189,756746,575476,519697,1095173,374983,347646,722629,950459,867343,1817802,258080,235016,493096,267025,236390,503415
2021-22,Manipur,2582,2347,4929,4144,3852,7996,3269,3069,6338,7413,6921,14334,2157,2036,4193,1898,1796,3694
2021-22,Meghalaya,482,489,971,735,647,1383,591,568,1158,1326,1215,2541,379,334,713,420,374,794
2021-22,Mizoram,17,27,44,43,38,82,33,24,57,76,62,139,11,19,30,19,16,34
2021-22,Nagaland,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2021-22,Odisha,237198,225324,462523,325565,308760,634325,210792,201427,412219,536357,510187,1046544,142436,139447,281884,143574,140081,283655
2021-22,Puducherry,7372,6917,14289,11485,10700,22185,7326,6907,14233,18811,17607,36418,4925,4613,9538,4582,4507,9089
2021-22,Punjab,277369,256449,533818,402204,369558,771761,249748,225346,475095,651952,594904,1246856,176880,158778,335658,182583,157974,340556
2021-22,Rajasthan,574417,503893,1078310,800838,701943,1502781,445380,407141,852521,1246219,1109083,2355302,301554,270357,571911,303350,264773,568123
2021-22,Sikkim,716,700,1416,1147,1074,2221,975,899,1873,2122,1973,4095,646,548,1194,684,674,1358
2021-22,Tamil Nadu,394760,366355,761115,596848,552072,1148921,360953,349604,710557,957802,901676,1859478,246213,238633,484846,247264,240352,487616
2021-22,Telangana,151154,139209,290362,218536,201863,420399,140444,138460,278903,358979,340323,699302,100899,98152,199051,104254,99681,203934
2021-22,Tripura,16277,15137,31414,21742,20135,41878,18029,17137,35166,39771,37272,77044,12240,11757,23997,14168,12795,26964
2021-22,Uttar Pradesh,2087944,1859733,3947676,2786257,2458575,5244832,1415271,1295171,2710443,4201528,3753747,7955275,997035,890231,1887266,1030098,900748,1930845
2021-22,Uttarakhand,72156,63429,135585,100516,87596,188112,65114,58954,124068,165630,146550,312180,43650,39571,83221,44485,39137,83622
2021-22,West Bengal,520788,495665,1016454,778793,745653,1524446,507688,503900,1011588,1286481,1249554,2536034,351701,347349,699050,357927,352308,710236
