Year,State,Age 3-5 - Boys,Age 3-5 - Girls,Age 3-5 - Total,Age 6-10 - Boys,Age 6-10 - Girls,Age 6-10 - Total,Age 11-13 - Boys,Age 11-13 - Girls,Age 11-13 - Total,Age 6-13 - Boys,Age 6-13 - Girls,Age 6-13 - Total,Age 14-15 - Boys,Age 14-15 - Girls,Age 14-15 - Total,Age 16-17 - Boys,Age 16-17 - Girls,Age 16-17 - Total
2020-21,Lakshadweep,2240,2087,4327,3354,3117,6471,1998,2228,4225,5352,5345,10696,1441,1376,2817,1406,1525,2930
2020-21,Madhya Pradesh,832016,789947,1621963,1078499,1042010,2120509,543856,542189,1086045,1622355,1584198,3206554,355377,343099,698476,334225,328050,662275
2020-21,Maharashtra,385351,360380,745732,580006,537244,1117250,359162,330889,690050,939168,868132,1807300,231585,209295,440880,223637,203339,426976
2020-21,Manipur,32768,29444,62212,58900,53069,111969,45789,41764,87553,104689,94832,199522,32731,30423,63153,32469,31525,63994
2020-21,Meghalaya,99872,94524,194396,136377,130342,266719,96425,94385,190810,232802,224727,457529,61873,61047,122920,61352,60479,121831
2020-21,Mizoram,30980,29269,60250,44933,42696,87629,32276,30850,63125,77209,73546,150754,21347,20563,41910,22372,21823,44195
2020-21,Nagaland,53347,48530,101877,85615,78684,164298,65089,60121,125210,150704,138805,289508,44044,40857,84900,43435,42480,85915
2020-21,Odisha,380349,373902,754252,546356,540108,1086464,300151,291467,591618,846507,831576,1678082,190540,184092,374632,178171,174731,352903
2020-21,Puducherry,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020-21,Punjab,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020-21,Rajasthan,476551,431111,907661,633630,575904,1209534,335031,310619,645649,968661,886523,1855183,219594,203801,423395,211068,201669,412736
2020-21,Sikkim,4539,4265,8805,8281,7961,16241,6852,6677,13529,15133,14638,29771,4689,4574,9263,4946,4983,9929
2020-21,Tamil Nadu,27907,24808,52715,40005,36416,76421,22104,20783,42887,62109,57199,119308,14481,12913,27394,13323,11899,25222
2020-21,Telangana,117003,102342,219345,171729,154669,326398,103211,94379,197591,274940,249049,523989,71488,65033,136521,67372,59363,126734
2020-21,Tripura,36878,34595,71473,52275,49124,101399,40258,38033,78292,92533,87157,179691,26444,24730,51174,26437,24143,50580
2020-21,Uttar Pradesh,61202,56119,117321,78939,73209,152148,38721,37161,75883,117661,110370,228031,25803,23527,49330,24940,22631,47571
2020-21,Uttarakhand,8581,7631,16212,13184,11662,24846,9421,8666,18087,22605,20328,42932,6866,6325,13191,6940,6672,13612
2020-21,West Bengal,162194,155775,317969,237131,228525,465657,147737,144571,292308,384868,373097,757965,104155,98073,202228,104240,99461,203702
2021-22,India,4377009,4104266,8481275,6075719,5701885,11777604,3502841,3379070,6881911,9578560,9080955,18659515,2323509,2215345,4538855,2232968,2152853,4385821
2021-22,Andaman and Nicobar Islands,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2021-22,Andhra Pradesh,86089,79906,165994,129320,118261,247581,71536,67901,139436,200856,186161,387017,48163,45869,94032,46343,43573,89916
2021-22,Arunachal Pradesh,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2021-22,Assam,135725,123440,259165,192879,177900,370778,128901,127313,256214,321779,305213,626992,91567,92371,183938,91235,95080,186315
2021-22,Bihar,67266,62760,130026,94951,88440,183391,55039,54852,109891,149990,143293,293282,36664,36035,72700,35729,35065,70793
2021-22,Chandigarh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-22,Chhattisgarh,342004,331349,673354,475057,454810,929867,250253,246988,497240,725310,701798,1427107,168460,164169,332629,162263,161827,324091
2021-22,Daman and Diu and Dadra and Nagar Haveli,10205,9690,19895,15370,13996,29365,9870,9084,18954,25240,23080,48319,6072,5296,11369,5514,4975,10490
2021-22,Delhi,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2021-22,Goa,4823,4505,9328,7299,6727,14026,4801,4333,9134,12100,11060,23160,3305,2874,6179,3129,3087,6216
2021-22,Gujarat,409275,371445,780720,525402,485127,1010529,289968,279150,569118,815370,764277,1579647,191037,179695,370732,181848,166933,348782
2021-22,Haryana,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2021-22,Himachal Pradesh,10952,10380,21332,16147,14834,30982,10694,10008,20702,26841,24842,51684,7240,6886,14125,7337,7125,14462
2021-22,Jammu and Kashmir,43392,42673,86065,68420,65572,133993,60458,51903,112361,128878,117475,246353,35929,29445,65374,30491,24912,55403
2021-22,Jharkhand,372580,350777,723358,511690,477562,989252,319544,319411,638955,831234,796973,1628207,213373,215430,428803,203872,213231,417103
2021-22,Karnataka,144693,135699,280392,202608,190734,393342,119375,115841,235216,321983,306575,628558,83902,79447,163350,84942,77054,161996
2021-22,Kerala,14397,13573,27970,21364,19872,41236,13055,12684,25740,34419,32557,66975,7810,7743,15553,7165,6800,13964
2021-22,Ladakh,10289,9638,19927,13954,12625,26579,9056,7966,17021,23009,20591,43600,6078,5796,11874,6198,5864,12062
2021-22,Lakshadweep,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2021-22,Madhya Pradesh,830127,788367,1618493,1098937,1056824,2155760,536087,536942,1073030,1635024,1593766,3228790,351996,341030,693025,332117,326737,658854
2021-22,Maharashtra,381953,357096,739049,572299,525900,1098199,356706,329025,685730,929004,854925,1783930,229646,207726,437373,221374,201337,422711
2021-22,Manipur,32440,29140,61580,55380,49577,104957,45678,41621,87299,101057,91199,192256,32547,30284,62831,32288,31301,63589
2021-22,Meghalaya,98974,93682,192656,128164,121717,249882,96176,94050,190227,224341,215767,440108,61528,60771,122299,61009,60048,121058
2021-22,Mizoram,30698,28998,59695,42226,39874,82100,32194,30740,62934,74420,70614,145034,21228,20470,41698,22248,21668,43916
2021-22,Nagaland,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2021-22,Odisha,376701,370454,747156,538899,532050,1070948,296791,287458,584249,835690,819507,1655197,188686,181834,370520,176513,172637,349151
2021-22,Puducherry,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2021-22,Punjab,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2021-22,Rajasthan,473218,428744,901962,639595,577041,1216636,330825,307634,638459,970420,884675,1855095,217470,202440,419910,209320,200614,409934
2021-22,Sikkim,4493,4220,8712,7792,7444,15236,6835,6654,13489,14627,14098,28725,4663,4553,9216,4919,4948,9866
2021-22,Tamil Nadu,27448,24410,51858,39932,36056,75988,21812,20527,42339,61744,56583,118327,14269,12740,27009,13103,11730,24833
2021-22,Telangana,116087,101582,217669,170221,151729,321951,100821,92291,193113,271043,244020,515063,69934,63643,133577,65925,58066,123991
2021-22,Tripura,36552,34287,70839,49147,45902,95050,40159,37901,78060,89307,83803,173110,26296,24617,50913,26290,23971,50262
2021-22,Uttar Pradesh,61061,56003,117064,80399,74015,154414,37611,36257,73868,118010,110272,228283,25287,23136,48423,24580,22370,46950
2021-22,Uttarakhand,8546,7610,16156,12957,11318,24276,9271,8516,17787,22228,19835,42063,6766,6227,12993,6849,6559,13408
2021-22,West Bengal,159675,153171,312846,232619,222866,455485,144787,142155,286942,377406,365021,742427,102146,96445,198591,102203,97736,199939
