Year,State,Pre-Primary - Boys,Pre-Primary - Girls,Pre-Primary - Total,Primary (1-5) - Boys,Primary (1-5) - Girls,Primary (1-5) - Total,Upper Primary (6-8) - Boys,Upper Primary (6-8) - Girls,Upper Primary (6-8) - Total,Elementary (1-8) - Boys,Elementary (1-8) - Girls,Elementary (1-8) - Total,Secondary (9-10) - Boys,Secondary (9-10) - Girls,Secondary (9-10) - Total,Higher Secondary (11-12) - Boys,Higher Secondary (11-12) - Girls,Higher Secondary (11-12) - Total,Primary to Higher Secondary (1-12) - Boys,Primary to Higher Secondary (1-12) - Girls,Primary to Higher Secondary (1-12) - Total,Total (Pre-Primary to Higher Secondary) - Boys,Total (Pre-Primary to Higher Secondary) - Girls,Total (Pre-Primary to Higher Secondary) - Total
2020-21,Rajasthan,1003,946,1949,73917,68581,142498,10632,10174,20806,84549,78755,163304,1470,1552,3022,460,474,934,86479,80781,167260,87482,81727,169209
2020-21,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,Tamil Nadu,8950,7742,16692,19818,16729,36547,3594,3134,6728,23412,19863,43275,852,760,1612,477,392,869,24741,21015,45756,33691,28757,62448
2020-21,Telangana,89,88,177,3307,2891,6198,906,1466,2372,4213,4357,8570,12,3,15,0,0,0,4225,4360,8585,4314,4448,8762
2020-21,Tripura,1683,1444,3127,6478,4918,11396,776,258,1034,7254,5176,12430,200,57,257,71,21,92,7525,5254,12779,9208,6698,15906
2020-21,Uttar Pradesh,4401,4401,8802,827397,802331,1629728,200799,215757,416556,1028196,1018088,2046284,56385,55521,111906,12603,12121,24724,1097184,1085730,2182914,1101585,1090131,2191716
2020-21,Uttarakhand,606,527,1133,28493,24467,52960,8042,7771,15813,36535,32238,68773,1778,1695,3473,496,566,1062,38809,34499,73308,39415,35026,74441
2020-21,West Bengal,45817,38320,84137,101967,86169,188136,18710,16581,35291,120677,102750,223427,2869,3708,6577,481,622,1103,124027,107080,231107,169844,145400,315244
2021-22,India,304769,236088,540857,2353046,2038937,4391983,715104,661622,1376726,3068150,2700559,5768709,137476,140638,278114,46081,50816,96897,3251707,2892013,6143720,3556476,3128101,6684577
2021-22,Andaman and Nicobar Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-22,Andhra Pradesh,49,59,108,5076,5217,10293,1728,2419,4147,6804,7636,14440,164,244,408,0,0,0,6968,7880,14848,7017,7939,14956
2021-22,Arunachal Pradesh,549,487,1036,1713,1331,3044,329,265,594,2042,1596,3638,0,0,0,0,0,0,2042,1596,3638,2591,2083,4674
2021-22,Assam,7250,7451,14701,94857,92351,187208,12915,14066,26981,107772,106417,214189,18695,22138,40833,9706,10771,20477,136173,139326,275499,143423,146777,290200
2021-22,Bihar,113431,80609,194040,668699,546805,1215504,253979,231372,485351,922678,778177,1700855,23204,28152,51356,14598,18835,33433,960480,825164,1785644,1073911,905773,1979684
2021-22,Chandigarh,997,779,1776,2127,1480,3607,434,248,682,2561,1728,4289,41,30,71,7,9,16,2609,1767,4376,3606,2546,6152
