Year,State,Scheme,Spillover,Non-Recurring - Fresh,Recurring - Fresh,Total Fresh,Grand Total - Including Spillover and Reimbursement
2023-24,Daman and Diu and Dadra and Nagar Haveli,Teacher Education,6.4,0.0,115.46,115.46,121.86,
2023-24,Daman and Diu and Dadra and Nagar Haveli,Secondary,469.8,88.1,1074.38,1162.48,1632.28,
2023-24,Daman and Diu and Dadra and Nagar Haveli,Elementary,1396.5,213.5,6176.29,6389.79,7786.29,
2023-24,Delhi,Total,9817.11,3766.87,50625.65,54392.53,64209.64,
2023-24,Delhi,Teacher Education,50.0,0.0,1511.24,1511.24,1561.24,
2023-24,Delhi,Secondary,5076.87,1811.37,6540.31,8351.68,13428.55,
2023-24,Delhi,Elementary,4690.24,1955.5,42574.11,44529.61,49219.85,
2023-24,Goa,Total,1770.16,228.59,4194.30,4422.89,6193.05,
2023-24,Goa,Elementary,708.36,23.39,2438.40,2461.79,3170.15,
2023-24,Goa,Secondary,438.80,205.2,1498.71,1703.91,2142.71,
2023-24,Goa,Teacher Education,623.00,0.0,257.19,257.19,880.19,
2023-24,Gujarat,Teacher Education,2065.5,1695.0,3460.65,5155.65,7221.15,
2023-24,Gujarat,Secondary,14035.01,5996.36,26147.86,32144.22,46179.23,
2023-24,Gujarat,Elementary,37701.07,19397.4,187891.55,207288.95,244990.02,
2023-24,Gujarat,Total,53801.58,27088.76,217500.06,244588.82,298390.4,
2023-24,Haryana,Elementary,13751.44,11368.27,67309.27,78677.54,92428.98,
2023-24,Haryana,Teacher Education,20.0,976.24,2981.01,3957.25,3977.25,
2023-24,Haryana,Total,47444.79,32275.7,121626.22,153901.92,201346.71,
2023-24,Haryana,Secondary,33673.35,19931.19,51335.94,71267.13,104940.48,
2023-24,Himachal Pradesh,Elementary,9595.236,1936.45,40964.52,42900.98,52496.22,
2023-24,Himachal Pradesh,Secondary,27849.07,7886.07,19277.04,27163.11,55012.18,
2023-24,Himachal Pradesh,Teacher Education,681.299,0.0,2120.98,2120.98,2802.279,
2023-24,Himachal Pradesh,Total,38125.61,9822.52,62362.54,72185.07,110316.68,
2023-24,Jammu and Kashmir,Total,79542.81,38131.03,129920.67,168051.7,247594.51,
2023-24,Jammu and Kashmir,Teacher Education,2335.76,140.8,1184.2,1325.0,3660.76,
2023-24,Jammu and Kashmir,Secondary,55739.657,18978.71,24292.9,43271.62,99011.277,
2023-24,Jammu and Kashmir,Elementary,21467.393,19011.52,104443.56,123455.08,144922.473,
2023-24,Karnataka,Teacher Education,82.778,0.0,4937.98,4937.98,5020.758,
2023-24,Karnataka,Secondary,18792.89,4563.92,13290.69,17854.61,36647.5,
2023-24,Karnataka,Elementary,24586.14,3928.58,131860.75,135789.33,160375.471,
2023-24,Karnataka,Total,43461.8,8492.49,150089.42,158581.92,202043.73,
2023-24,Kerala,Total,9703.31,1719.84,58848.78,60568.62,70271.93,
2023-24,Kerala,Teacher Education,0,0,1812.01,1812.01,1812.01,
2023-24,Kerala,Secondary,4430.87,714.43,11319.45,12033.88,16464.75,
2023-24,Kerala,Elementary,5272.44,1005.41,45717.32,46722.73,51995.17,
