Year,State,Major Component,Proposed by State - Total,Proposed by State - % of Total,Recommended by DoSEL - Total,Recommended by DoSEL - % of Total
2021-22,Jharkhand,Access & Retention,5227.85,3.31,3121.02,1.49
2021-22,Jharkhand,Financial Support for Teachers,0.0,0.0,87891.0,42.1
2021-22,Karnataka,Vocational Education,3462.24,2.15,1749.52,1.14
2021-22,Karnataka,Program Management,11333.18,7.04,5677.3,3.69
2021-22,Karnataka,Monitoring of the Scheme,693.98,0.43,577.24,0.38
2021-22,Karnataka,Inclusive Education,6092.61,3.78,4777.98,3.11
2021-22,Karnataka,Gender & Equity,8202.21,5.09,4945.75,3.22
2021-22,Karnataka,Financial Support for Teachers,0.0,0.0,32806.2,21.33
2021-22,Karnataka,Teacher Education,6337.13,3.94,3879.74,2.52
2021-22,Karnataka,Sports & Physical Education,1460.7,0.91,1460.7,0.95
2021-22,Karnataka,Quality Interventions,80755.97,50.16,62237.4,40.47
2021-22,Karnataka,RTE Entitlements,34922.94,21.69,33336.01,21.68
2021-22,Karnataka,Access & Retention,7727.51,4.8,2339.47,1.52
2021-22,Karnataka,Total of all Major Components,160988.48,100.0,153787.33,100.0
2021-22,Kerala,Total of all Major Components,95391.76,100.0,63674.01,100.0
2021-22,Kerala,Program Management,4500.0,4.72,3032.1,4.76
2021-22,Kerala,Vocational Education,5942.32,6.23,894.5,1.4
2021-22,Kerala,Inclusive Education,13421.6,14.07,10631.84,16.7
2021-22,Kerala,Gender & Equity,1533.44,1.61,275.34,0.43
2021-22,Kerala,Financial Support for Teachers,0.0,0.0,1789.65,2.81
2021-22,Kerala,Monitoring of the Scheme,1200.16,1.26,116.85,0.18
2021-22,Kerala,Sports & Physical Education,542.05,0.57,542.05,0.85
2021-22,Kerala,Quality Interventions,42336.68,44.38,29271.58,45.97
2021-22,Kerala,RTE Entitlements,14293.09,14.98,12906.03,20.27
2021-22,Kerala,Access & Retention,3647.77,3.82,1772.03,2.78
2021-22,Kerala,Teacher Education,7974.64,8.36,2442.04,3.84
2021-22,Ladakh,Access & Retention,8769.11,58.83,3381.52,53.08
2021-22,Ladakh,Total of all Major Components,14905.47,100.0,6370.08,100.0
2021-22,Ladakh,Program Management,774.43,5.2,303.58,4.77
2021-22,Ladakh,Monitoring of the Scheme,3.99,0.03,2.34,0.04
2021-22,Ladakh,Vocational Education,423.6,2.84,138.54,2.17
2021-22,Ladakh,Inclusive Education,94.51,0.63,37.38,0.59
2021-22,Ladakh,Gender & Equity,610.84,4.1,417.15,6.55
2021-22,Ladakh,Teacher Education,210.0,1.41,140.0,2.2
2021-22,Ladakh,Sports & Physical Education,84.4,0.57,83.55,1.31
2021-22,Ladakh,Quality Interventions,3585.34,24.05,1559.74,24.49
2021-22,Ladakh,RTE Entitlements,349.23,2.34,306.27,4.81
2021-22,Lakshadweep,Quality Interventions,414.42,68.12,289.92,54.1
2021-22,Lakshadweep,Total of all Major Components,608.38,100.0,535.92,100.0
2021-22,Lakshadweep,Sports & Physical Education,5.5,0.9,5.5,1.03
2021-22,Lakshadweep,Program Management,60.0,9.86,40.0,7.46
2021-22,Lakshadweep,Monitoring of the Scheme,0.61,0.1,0.24,0.04
2021-22,Lakshadweep,Teacher Education,55.0,9.04,54.4,10.15
2021-22,Lakshadweep,Inclusive Education,42.09,6.92,38.73,7.23
2021-22,Lakshadweep,Gender & Equity,10.82,1.78,10.82,2.02
2021-22,Lakshadweep,Financial Support for Teachers,0.0,0.0,78.62,14.67
2021-22,Lakshadweep,RTE Entitlements,1.94,0.32,1.94,0.36
2021-22,Lakshadweep,Vocational Education,18.0,2.96,15.75,2.94
2021-22,Madhya Pradesh,Gender & Equity,33584.74,8.75,13882.13,3.01
2021-22,Madhya Pradesh,Monitoring of the Scheme,315.6,0.08,315.6,0.07
2021-22,Madhya Pradesh,Vocational Education,19337.91,5.04,8598.91,1.86
2021-22,Madhya Pradesh,Inclusive Education,3856.57,1.01,3213.79,0.7
2021-22,Madhya Pradesh,Financial Support for Teachers,0.0,0.0,198144.21,42.9
2021-22,Madhya Pradesh,Total of all Major Components,383724.68,100.0,461875.67,100.0
2021-22,Madhya Pradesh,Sports & Physical Education,8112.85,2.11,8093.15,1.75
2021-22,Madhya Pradesh,Quality Interventions,137465.2,35.82,110786.97,23.99
2021-22,Madhya Pradesh,RTE Entitlements,96140.78,25.05,87747.53,19.0
2021-22,Madhya Pradesh,Access & Retention,50840.73,13.25,11376.07,2.46
2021-22,Madhya Pradesh,Teacher Education,6467.15,1.69,3874.82,0.84
2021-22,Madhya Pradesh,Program Management,27603.14,7.19,15842.49,3.43
2021-22,Maharashtra,Program Management,9160.78,5.32,4618.99,3.03
2021-22,Maharashtra,RTE Entitlements,54857.62,31.84,51126.9,33.55
2021-22,Maharashtra,Vocational Education,11324.7,6.57,4317.09,2.83
2021-22,Maharashtra,Inclusive Education,15979.72,9.27,12949.51,8.5
2021-22,Maharashtra,Gender & Equity,4315.83,2.5,2386.57,1.57
2021-22,Maharashtra,Financial Support for Teachers,0.0,0.0,8580.6,5.63
2021-22,Maharashtra,Teacher Education,3219.98,1.87,3188.42,2.09
2021-22,Maharashtra,Sports & Physical Education,4681.4,2.72,4681.4,3.07
2021-22,Maharashtra,Quality Interventions,55795.46,32.38,56823.87,37.28
2021-22,Maharashtra,Monitoring of the Scheme,443.49,0.26,443.49,0.29
2021-22,Maharashtra,Access & Retention,12530.65,7.27,3292.81,2.16
2021-22,Maharashtra,Total of all Major Components,172309.62,100.0,152409.65,100.0
2021-22,Manipur,Quality Interventions,23179.45,19.03,11010.49,25.17
2021-22,Manipur,Gender & Equity,3597.49,2.95,1871.67,4.28
2021-22,Manipur,Sports & Physical Education,265.3,0.22,252.3,0.58
2021-22,Manipur,Teacher Education,3191.69,2.62,1309.8,2.99
2021-22,Manipur,Total of all Major Components,121818.04,100.0,43742.14,100.0
2021-22,Manipur,Program Management,7785.59,6.39,2082.96,4.76
2021-22,Manipur,Monitoring of the Scheme,431.73,0.35,32.21,0.07
2021-22,Manipur,Vocational Education,1286.35,1.06,870.47,1.99
2021-22,Manipur,Inclusive Education,226.68,0.19,217.87,0.5
2021-22,Manipur,RTE Entitlements,2012.71,1.65,1700.29,3.89
2021-22,Manipur,Financial Support for Teachers,2494.8,2.05,10342.98,23.65
2021-22,Manipur,Access & Retention,77346.26,63.49,14051.09,32.12
2021-22,Meghalaya,Total of all Major Components,39759.71,100.0,51711.74,100.0
2021-22,Meghalaya,RTE Entitlements,5156.66,12.97,4659.35,9.01
2021-22,Meghalaya,Quality Interventions,11106.21,27.93,8540.64,16.52
2021-22,Meghalaya,Sports & Physical Education,520.7,1.31,520.7,1.01
2021-22,Meghalaya,Teacher Education,3260.07,8.2,926.2,1.79
2021-22,Meghalaya,Financial Support for Teachers,0.0,0.0,27691.2,53.55
2021-22,Meghalaya,Gender & Equity,2072.73,5.21,625.66,1.21
2021-22,Meghalaya,Inclusive Education,350.43,0.88,230.63,0.45
2021-22,Meghalaya,Vocational Education,2982.24,7.5,697.12,1.35
2021-22,Meghalaya,Monitoring of the Scheme,23.46,0.06,18.93,0.04
2021-22,Meghalaya,Access & Retention,10648.64,26.78,5316.58,10.28
2021-22,Meghalaya,Program Management,3638.57,9.15,2484.73,4.8
2021-22,Mizoram,Monitoring of the Scheme,2.92,0.01,2.86,0.01
2021-22,Mizoram,Access & Retention,6861.1,26.14,4158.79,19.44
2021-22,Mizoram,RTE Entitlements,1445.87,5.51,1152.79,5.39
2021-22,Mizoram,Sports & Physical Education,238.25,0.91,236.15,1.1
2021-22,Mizoram,Teacher Education,2481.61,9.46,1685.33,7.88
2021-22,Mizoram,Financial Support for Teachers,5198.4,19.81,7948.86,37.16
2021-22,Mizoram,Gender & Equity,325.41,1.24,125.46,0.59
2021-22,Mizoram,Inclusive Education,395.31,1.51,314.31,1.47
2021-22,Mizoram,Vocational Education,710.84,2.71,457.05,2.14
2021-22,Mizoram,Program Management,2280.0,8.69,1018.5,4.76
2021-22,Mizoram,Total of all Major Components,26245.3,100.0,21388.67,100.0
2021-22,Mizoram,Quality Interventions,6305.58,24.03,4288.57,20.05
2021-22,Nagaland,Gender & Equity,1477.49,3.81,621.9,2.52
2021-22,Nagaland,Vocational Education,748.78,1.93,573.41,2.32
2021-22,Nagaland,Inclusive Education,131.19,0.34,77.54,0.31
2021-22,Nagaland,Financial Support for Teachers,4963.99,12.8,11449.92,46.32
2021-22,Nagaland,Teacher Education,10080.64,26.0,3197.05,12.93
2021-22,Nagaland,Sports & Physical Education,189.7,0.49,187.65,0.76
2021-22,Nagaland,Program Management,2815.18,7.26,1239.65,5.01
2021-22,Nagaland,RTE Entitlements,1208.81,3.12,1029.86,4.17
2021-22,Nagaland,Monitoring of the Scheme,9.59,0.02,7.47,0.03
2021-22,Nagaland,Access & Retention,12542.54,32.35,3465.23,14.02
2021-22,Nagaland,Total of all Major Components,38768.83,100.0,24718.85,100.0
2021-22,Nagaland,Quality Interventions,4600.92,11.87,2869.16,11.61
2021-22,Odisha,Access & Retention,38438.58,11.66,1957.84,0.7
2021-22,Odisha,Quality Interventions,162816.94,49.4,60389.33,21.66
2021-22,Odisha,Sports & Physical Education,4634.6,1.41,4634.6,1.66
2021-22,Odisha,Teacher Education,7319.39,2.22,3674.82,1.32
2021-22,Odisha,Financial Support for Teachers,0.0,0.0,132757.99,47.62
2021-22,Odisha,Gender & Equity,27776.52,8.43,12672.54,4.55
2021-22,Odisha,Inclusive Education,3979.92,1.21,1884.81,0.68
2021-22,Odisha,RTE Entitlements,44952.81,13.64,40849.54,14.65
2021-22,Odisha,Monitoring of the Scheme,384.34,0.12,384.34,0.14
2021-22,Odisha,Vocational Education,15985.1,4.85,8170.44,2.93
2021-22,Odisha,Total of all Major Components,329583.76,100.0,278777.73,100.0
2021-22,Odisha,Program Management,23295.56,7.07,11401.48,4.09
2021-22,Puducherry,Monitoring of the Scheme,11.85,0.37,9.06,0.34
2021-22,Puducherry,Vocational Education,182.59,5.63,123.84,4.66
2021-22,Puducherry,Inclusive Education,102.96,3.17,84.81,3.19
2021-22,Puducherry,Gender & Equity,67.87,2.09,51.57,1.94
2021-22,Puducherry,Teacher Education,130.0,4.01,130.0,4.89
2021-22,Puducherry,Sports & Physical Education,49.2,1.52,49.2,1.85
2021-22,Puducherry,Quality Interventions,1934.85,59.62,1567.13,58.96
2021-22,Puducherry,RTE Entitlements,514.51,15.86,470.75,17.71
2021-22,Puducherry,Access & Retention,95.96,2.96,73.3,2.76
2021-22,Puducherry,Total of all Major Components,3245.07,100.0,2657.94,100.0
2021-22,Puducherry,Program Management,155.28,4.79,98.28,3.7
2021-22,Punjab,Total of all Major Components,181313.52,100.0,112603.77,100.0
2021-22,Punjab,Program Management,5530.59,3.05,5526.5,4.91
2021-22,Punjab,Monitoring of the Scheme,126.56,0.07,109.52,0.1
2021-22,Punjab,Vocational Education,21756.2,12.0,9241.78,8.21
2021-22,Punjab,Inclusive Education,2433.34,1.34,1861.87,1.65
2021-22,Punjab,Gender & Equity,2445.33,1.35,1385.91,1.23
2021-22,Punjab,Financial Support for Teachers,0.0,0.0,26719.8,23.73
2021-22,Punjab,Teacher Education,3581.25,1.98,2184.26,1.94
2021-22,Punjab,Sports & Physical Education,1823.95,1.01,1811.5,1.61
2021-22,Punjab,Quality Interventions,101387.02,55.92,45336.92,40.26
2021-22,Punjab,RTE Entitlements,13836.62,7.63,11164.71,9.92
2021-22,Punjab,Access & Retention,28392.65,15.66,7261.0,6.45
2021-22,Rajasthan,Vocational Education,20022.45,4.23,12441.02,2.59
2021-22,Rajasthan,Total of all Major Components,473022.61,100.0,479638.61,100.0
2021-22,Rajasthan,Access & Retention,146144.27,30.9,35712.51,7.45
2021-22,Rajasthan,RTE Entitlements,106559.82,22.53,79769.75,16.63
2021-22,Rajasthan,Quality Interventions,96611.47,20.42,85915.86,17.91
2021-22,Rajasthan,Sports & Physical Education,7143.31,1.51,7143.31,1.49
2021-22,Rajasthan,Teacher Education,9864.77,2.09,4260.24,0.89
2021-22,Rajasthan,Financial Support for Teachers,0.0,0.0,213643.8,44.54
2021-22,Rajasthan,Gender & Equity,27624.91,5.84,16619.68,3.47
2021-22,Rajasthan,Inclusive Education,3096.0,0.65,2077.96,0.43
2021-22,Rajasthan,Monitoring of the Scheme,335.51,0.07,335.51,0.07
2021-22,Rajasthan,Program Management,55620.09,11.76,21718.98,4.53
2021-22,Sikkim,Inclusive Education,263.25,0.9,213.51,1.65
2021-22,Sikkim,Gender & Equity,377.86,1.29,166.54,1.29
2021-22,Sikkim,Financial Support for Teachers,0.0,0.0,1461.55,11.32
2021-22,Sikkim,Teacher Education,1810.76,6.16,777.7,6.02
2021-22,Sikkim,Sports & Physical Education,102.15,0.35,92.3,0.71
2021-22,Sikkim,Quality Interventions,13270.08,45.14,5529.1,42.81
2021-22,Sikkim,RTE Entitlements,539.99,1.84,475.74,3.68
2021-22,Sikkim,Access & Retention,5731.12,19.5,1599.82,12.39
2021-22,Sikkim,Vocational Education,4825.0,16.41,2031.62,15.73
2021-22,Sikkim,Monitoring of the Scheme,4.9,0.02,4.91,0.04
2021-22,Sikkim,Total of all Major Components,29394.94,100.0,12914.41,100.0
2021-22,Sikkim,Program Management,2469.84,8.4,561.62,4.35
2021-22,Tamil Nadu,Total of all Major Components,263170.72,100.0,300971.48,100.0
2021-22,Tamil Nadu,Program Management,19569.91,7.44,8766.21,2.91
2021-22,Tamil Nadu,Monitoring of the Scheme,602.89,0.23,602.89,0.2
2021-22,Tamil Nadu,Vocational Education,4143.1,1.57,1487.12,0.49
2021-22,Tamil Nadu,Inclusive Education,10159.18,3.86,9312.14,3.09
2021-22,Tamil Nadu,Access & Retention,17567.41,6.68,4959.64,1.65
2021-22,Tamil Nadu,Financial Support for Teachers,0.0,0.0,117821.5,39.15
2021-22,Tamil Nadu,Gender & Equity,9253.1,3.52,4854.67,1.61
2021-22,Tamil Nadu,Quality Interventions,121601.16,46.21,91315.88,30.34
2021-22,Tamil Nadu,RTE Entitlements,67624.82,25.7,52160.17,17.33
2021-22,Tamil Nadu,Teacher Education,9196.8,3.49,6238.91,2.07
2021-22,Tamil Nadu,Sports & Physical Education,3452.35,1.31,3452.35,1.15
2021-22,Telangana,Program Management,15486.1,7.42,4809.17,2.91
2021-22,Telangana,Access & Retention,28782.21,13.78,5280.6,3.2
2021-22,Telangana,RTE Entitlements,22945.18,10.99,19526.65,11.83
2021-22,Telangana,Quality Interventions,80395.81,38.5,55160.07,33.41
2021-22,Telangana,Teacher Education,1122.0,0.54,703.81,0.43
2021-22,Telangana,Financial Support for Teachers,0.0,0.0,39473.14,23.91
2021-22,Telangana,Gender & Equity,51197.93,24.52,34042.29,20.62
2021-22,Telangana,Inclusive Education,1572.7,0.75,1117.13,0.68
2021-22,Telangana,Vocational Education,4020.39,1.93,1716.5,1.04
2021-22,Telangana,Monitoring of the Scheme,346.88,0.17,333.27,0.2
2021-22,Telangana,Sports & Physical Education,2952.25,1.41,2952.25,1.79
2021-22,Telangana,Total of all Major Components,208821.45,100.0,165114.89,100.0
2021-22,Tripura,Total of all Major Components,36730.31,100.0,31321.14,100.0
2021-22,Tripura,Monitoring of the Scheme,14.23,0.04,14.06,0.04
2021-22,Tripura,Vocational Education,1294.02,3.52,976.66,3.12
2021-22,Tripura,Inclusive Education,478.68,1.3,443.94,1.42
2021-22,Tripura,Gender & Equity,1275.4,3.47,919.89,2.94
2021-22,Tripura,Financial Support for Teachers,0.0,0.0,10866.0,34.69
2021-22,Tripura,Teacher Education,1487.5,4.05,903.12,2.88
2021-22,Tripura,Sports & Physical Education,464.35,1.26,464.3,1.48
2021-22,Tripura,Quality Interventions,15897.5,43.28,8845.55,28.24
2021-22,Tripura,RTE Entitlements,4518.64,12.3,4003.83,12.78
2021-22,Tripura,Access & Retention,8792.92,23.94,2392.31,7.64
2021-22,Tripura,Program Management,2507.06,6.83,1491.48,4.76
2021-22,Uttar Pradesh,Total of all Major Components,602924.83,100.0,793725.26,100.0
2021-22,Uttar Pradesh,Program Management,47265.23,7.84,24425.51,3.08
2021-22,Uttar Pradesh,Monitoring of the Scheme,907.24,0.15,907.24,0.11
2021-22,Uttar Pradesh,Vocational Education,1202.0,0.2,346.0,0.04
2021-22,Uttar Pradesh,Inclusive Education,5743.69,0.95,5721.04,0.72
2021-22,Uttar Pradesh,Gender & Equity,73397.96,12.17,55904.84,7.04
2021-22,Uttar Pradesh,Financial Support for Teachers,0.0,0.0,401060.91,50.53
2021-22,Uttar Pradesh,Teacher Education,18058.0,3.0,9977.22,1.26
2021-22,Uttar Pradesh,Sports & Physical Education,9822.15,1.63,9622.35,1.21
2021-22,Uttar Pradesh,Quality Interventions,135483.03,22.47,101474.1,12.78
2021-22,Uttar Pradesh,Access & Retention,133597.65,22.16,24606.2,3.1
2021-22,Uttar Pradesh,RTE Entitlements,177447.88,29.43,159679.85,20.12
2021-22,Uttarakhand,Total of all Major Components,122332.16,100.0,69430.82,100.0
2021-22,Uttarakhand,Access & Retention,38674.4,31.61,12154.27,17.51
2021-22,Uttarakhand,RTE Entitlements,27019.74,22.09,20237.59,29.15
2021-22,Uttarakhand,Quality Interventions,28974.64,23.69,15440.06,22.24
2021-22,Uttarakhand,Sports & Physical Education,1420.2,1.16,1419.7,2.04
2021-22,Uttarakhand,Teacher Education,10804.83,8.83,2642.08,3.81
2021-22,Uttarakhand,Financial Support for Teachers,0.0,0.0,12700.5,18.29
2021-22,Uttarakhand,Gender & Equity,5069.82,4.14,2237.22,3.22
2021-22,Uttarakhand,Inclusive Education,312.18,0.26,282.97,0.41
2021-22,Uttarakhand,Vocational Education,1210.35,0.99,211.15,0.3
2021-22,Uttarakhand,Monitoring of the Scheme,46.8,0.04,46.8,0.07
2021-22,Uttarakhand,Program Management,8799.19,7.19,2058.49,2.96
2021-22,West Bengal,RTE Entitlements,82399.38,16.04,66281.8,18.63
2021-22,West Bengal,Quality Interventions,277845.12,54.09,102210.09,28.73
2021-22,West Bengal,Sports & Physical Education,6344.2,1.24,6342.45,1.78
2021-22,West Bengal,Teacher Education,2339.34,0.46,1575.14,0.44
2021-22,West Bengal,Financial Support for Teachers,0.0,0.0,123169.64,34.63
2021-22,West Bengal,Program Management,37397.4,7.28,16234.01,4.56
2021-22,West Bengal,Inclusive Education,7432.34,1.45,4939.48,1.39
2021-22,West Bengal,Vocational Education,10242.84,1.99,8385.91,2.36
2021-22,West Bengal,Monitoring of the Scheme,374.96,0.07,339.84,0.1
2021-22,West Bengal,Total of all Major Components,513647.1,100.0,355712.33,100.0
2021-22,West Bengal,Gender & Equity,6759.66,1.32,6800.13,1.91
2021-22,West Bengal,Access & Retention,82511.87,16.06,19433.84,5.46
2022-23,Andaman and Nicobar Islands,Quality Interventions,2831.8,37.89,2308.39,36.59
2022-23,Andaman and Nicobar Islands,Teacher Education,61.6,0.82,61.6,0.98
2022-23,Andaman and Nicobar Islands,Financial Support for Teachers,1627.01,21.77,1627.01,25.79
2022-23,Andaman and Nicobar Islands,Gender & Equity,39.24,0.53,39.24,0.62
2022-23,Andaman and Nicobar Islands,Inclusive Education,102.71,1.37,98.24,1.56
2022-23,Andaman and Nicobar Islands,Vocational Education,1131.01,15.13,955.1,15.14
2022-23,Andaman and Nicobar Islands,Monitoring of the Scheme,1.34,0.02,202.4,3.21
2022-23,Andaman and Nicobar Islands,Program Management,330.6,4.42,290.89,4.61
2022-23,Andaman and Nicobar Islands,Total of all Major Components,7473.38,100.0,6308.74,100.0
2022-23,Andaman and Nicobar Islands,RTE Entitlements,292.16,3.91,255.76,4.05
2022-23,Andaman and Nicobar Islands,Access & Retention,1018.81,13.63,433.0,6.86
2022-23,Andaman and Nicobar Islands,Sports & Physical Education,37.1,0.5,37.1,0.59
2022-23,Andhra Pradesh,Program Management,17102.52,5.66,10113.64,3.85
2022-23,Andhra Pradesh,Total of all Major Components,302254.94,100.0,262652.56,100.0
2022-23,Andhra Pradesh,Monitoring of the Scheme,410.43,0.14,742.47,0.28
2022-23,Andhra Pradesh,Vocational Education,14430.8,4.77,7487.78,2.85
2022-23,Andhra Pradesh,Inclusive Education,7283.35,2.41,7049.08,2.68
2022-23,Andhra Pradesh,Gender & Equity,74591.73,24.68,68297.89,26.0
2022-23,Andhra Pradesh,Financial Support for Teachers,49240.1,16.29,46505.96,17.71
2022-23,Andhra Pradesh,Teacher Education,1536.72,0.51,1104.66,0.42
2022-23,Andhra Pradesh,Sports & Physical Education,3894.0,1.29,3888.0,1.48
2022-23,Andhra Pradesh,Quality Interventions,91437.39,30.25,77146.86,29.37
2022-23,Andhra Pradesh,Access & Retention,3482.29,1.15,3482.11,1.33
2022-23,Andhra Pradesh,RTE Entitlements,38845.61,12.85,36834.09,14.02
2022-23,Arunachal Pradesh,Total of Vocational Education,3986.18,5.8,1416.1,3.22
2022-23,Arunachal Pradesh,Total of Access & Retention,19202.38,27.96,7199.91,16.38
2022-23,Arunachal Pradesh,Total of all Major Components,68678.9,100.0,43943.24,100.0
2022-23,Arunachal Pradesh,Total of RTE Entitlements,1659.68,2.42,1637.88,3.73
2022-23,Arunachal Pradesh,Total of Quality Interventions,14609.59,21.27,8623.66,19.62
2022-23,Arunachal Pradesh,Total of Sports & Physical Education,250.15,0.36,250.15,0.57
2022-23,Arunachal Pradesh,Total of Teacher Education,2081.14,3.03,1496.56,3.41
2022-23,Arunachal Pradesh,Total of Program Management,3808.5,5.55,2472.36,5.63
2022-23,Arunachal Pradesh,Total of Gender & Equity,6377.85,9.29,6294.59,14.32
2022-23,Arunachal Pradesh,Total of Inclusive Education,157.94,0.23,167.94,0.38
2022-23,Arunachal Pradesh,Total of Monitoring of the Scheme,982.7,1.43,12.0,0.03
2022-23,Arunachal Pradesh,Total of Financial Support for Teachers,15562.8,22.66,14372.09,32.71
2022-23,Assam,Financial Support for Teachers,62406.22,20.27,62405.88,24.08
2022-23,Assam,Program Management,12000.0,3.9,12343.52,4.76
2022-23,Assam,Monitoring of the Scheme,379.23,0.12,774.2,0.3
2022-23,Assam,Vocational Education,14241.68,4.63,10306.56,3.98
2022-23,Assam,Inclusive Education,3809.02,1.24,3762.3,1.45
2022-23,Assam,Gender & Equity,16449.49,5.34,14736.97,5.69
2022-23,Assam,Teacher Education,5355.87,1.74,4941.22,1.91
2022-23,Assam,Sports & Physical Education,3446.6,1.12,3446.6,1.33
2022-23,Assam,Quality Interventions,90665.44,29.45,79192.99,30.55
2022-23,Assam,RTE Entitlements,42639.93,13.85,42390.47,16.35
2022-23,Assam,Access & Retention,56480.09,18.35,24913.22,9.61
2022-23,Assam,Total of all Major Components,307873.58,100.0,259213.94,100.0
2022-23,Bihar,RTE Entitlements,158856.03,11.77,157695.1,19.51
2022-23,Bihar,Quality Interventions,241550.83,17.89,193842.22,23.99
2022-23,Bihar,Sports & Physical Education,6910.25,0.51,6910.25,0.86
2022-23,Bihar,Teacher Education,1429.9,0.11,562.9,0.07
2022-23,Bihar,Financial Support for Teachers,588129.22,43.57,342416.51,42.37
2022-23,Bihar,Program Management,41967.89,3.11,22000.0,2.72
2022-23,Bihar,Inclusive Education,6174.05,0.46,5108.76,0.63
2022-23,Bihar,Vocational Education,3208.53,0.24,750.36,0.09
2022-23,Bihar,Monitoring of the Scheme,1307.4,0.1,1550.06,0.19
2022-23,Bihar,Total of all Major Components,1349912.78,100.0,808074.48,100.0
2022-23,Bihar,Gender & Equity,36946.04,2.74,25514.4,3.16
2022-23,Bihar,Access & Retention,263432.63,19.51,51723.92,6.4
2022-23,Chandigarh,Program Management,350.92,2.72,350.92,2.89
2022-23,Chandigarh,Financial Support for Teachers,8586.77,66.61,8287.52,68.22
2022-23,Chandigarh,Total of all Major Components,12891.14,100.0,12148.31,100.0
2022-23,Chandigarh,Monitoring of the Scheme,5.21,0.04,207.64,1.71
2022-23,Chandigarh,Vocational Education,199.95,1.55,199.95,1.65
2022-23,Chandigarh,Inclusive Education,285.22,2.21,289.22,2.38
2022-23,Chandigarh,Gender & Equity,54.2,0.42,40.8,0.34
2022-23,Chandigarh,Teacher Education,83.63,0.65,30.61,0.25
2022-23,Chandigarh,Sports & Physical Education,24.95,0.19,24.95,0.21
2022-23,Chandigarh,Quality Interventions,2511.91,19.49,1966.21,16.19
2022-23,Chandigarh,Access & Retention,1.5,0.01,0.7,0.01
2022-23,Chandigarh,RTE Entitlements,786.88,6.1,749.79,6.17
2022-23,Chhattisgarh,Monitoring of the Scheme,113.89,0.06,703.58,0.48
2022-23,Chhattisgarh,Vocational Education,8991.48,4.48,5057.16,3.43
2022-23,Chhattisgarh,Program Management,9543.01,4.75,4987.5,3.38
2022-23,Chhattisgarh,Access & Retention,50757.82,25.29,22074.18,14.97
2022-23,Chhattisgarh,RTE Entitlements,34284.24,17.08,30397.38,20.61
2022-23,Chhattisgarh,Quality Interventions,64771.03,32.27,57878.39,39.24
2022-23,Chhattisgarh,Sports & Physical Education,4334.05,2.16,4000.45,2.71
2022-23,Chhattisgarh,Teacher Education,3118.52,1.55,2349.06,1.59
2022-23,Chhattisgarh,Financial Support for Teachers,10322.4,5.14,7174.98,4.86
2022-23,Chhattisgarh,Gender & Equity,11511.58,5.73,10137.55,6.87
2022-23,Chhattisgarh,Inclusive Education,2993.04,1.49,2727.3,1.85
2022-23,Chhattisgarh,Total of all Major Components,200741.06,100.0,147487.54,100.0
2022-23,Daman and Diu and Dadra and Nagar Haveli,Vocational Education,437.39,4.64,185.22,2.58
2022-23,Daman and Diu and Dadra and Nagar Haveli,Inclusive Education,84.37,0.89,84.37,1.17
2022-23,Daman and Diu and Dadra and Nagar Haveli,Gender & Equity,176.94,1.88,170.05,2.37
2022-23,Daman and Diu and Dadra and Nagar Haveli,Financial Support for Teachers,3018.5,32.01,3018.5,41.98
2022-23,Daman and Diu and Dadra and Nagar Haveli,Access & Retention,1290.13,13.68,218.37,3.04
2022-23,Daman and Diu and Dadra and Nagar Haveli,Sports & Physical Education,37.4,0.4,37.4,0.52
2022-23,Daman and Diu and Dadra and Nagar Haveli,Quality Interventions,3248.27,34.45,2274.7,31.64
2022-23,Daman and Diu and Dadra and Nagar Haveli,RTE Entitlements,571.26,6.06,544.19,7.57
2022-23,Daman and Diu and Dadra and Nagar Haveli,Total of all Major Components,9428.67,100.0,7189.99,100.0
2022-23,Daman and Diu and Dadra and Nagar Haveli,Teacher Education,186.99,1.98,110.4,1.54
2022-23,Daman and Diu and Dadra and Nagar Haveli,Monitoring of the Scheme,2.41,0.03,204.42,2.84
2022-23,Daman and Diu and Dadra and Nagar Haveli,Program Management,375.01,3.98,342.38,4.76
2022-23,Delhi,Total of all Major Components,71372.37,100.0,56428.38,100.0
2022-23,Delhi,Program Management,1882.0,2.64,1882.0,3.34
2022-23,Delhi,Monitoring of the Scheme,0.0,0.0,474.02,0.84
2022-23,Delhi,Vocational Education,3324.07,4.66,2115.36,3.75
2022-23,Delhi,Inclusive Education,5478.57,7.68,5183.62,9.19
2022-23,Delhi,Gender & Equity,303.23,0.42,290.4,0.51
2022-23,Delhi,Financial Support for Teachers,5022.73,7.04,4744.41,8.41
2022-23,Delhi,Teacher Education,3308.42,4.64,1612.57,2.86
2022-23,Delhi,Access & Retention,2495.34,3.5,501.21,0.89
2022-23,Delhi,RTE Entitlements,24063.66,33.72,18990.71,33.65
2022-23,Delhi,Quality Interventions,25147.2,35.23,20287.18,35.95
2022-23,Delhi,Sports & Physical Education,347.15,0.49,346.9,0.61
2022-23,Goa,Program Management,214.87,4.0,234.69,4.76
2022-23,Goa,Monitoring of the Scheme,13.09,0.24,312.81,6.35
2022-23,Goa,Total of all Major Components,5371.97,100.0,4928.5,100.0
2022-23,Goa,Inclusive Education,119.95,2.23,109.45,2.22
