Year,State,Major Component,Proposed by State - Total,Proposed by State - % of Total,Recommended by DoSEL - Total,Recommended by DoSEL - % of Total
2018-19,Jharkhand,Total of all Major Components,193514.68,100.0,149508.94,100.0
2018-19,Jharkhand,Quality Interventions,37538.89,19.4,33456.13,22.38
2018-19,Jharkhand,Access & Retention,13750.42,7.11,8249.13,5.52
2018-19,Karnataka,Total of all Major Components,246587.45,100.0,167991.13,100.0
2018-19,Karnataka,RTE Entitlements,48267.96,19.57,43794.46,26.07
2018-19,Karnataka,Quality Interventions,70856.44,28.73,59419.18,35.37
2018-19,Karnataka,Sports & Physical Education,1792.08,0.73,1792.08,1.07
2018-19,Karnataka,Teacher Education,8489.48,3.44,5083.17,3.03
2018-19,Karnataka,Financial Support for Teachers,56342.4,22.85,32801.4,19.53
2018-19,Karnataka,Gender & Equity,6016.3,2.44,5971.57,3.55
2018-19,Karnataka,Monitoring of the Scheme,1086.08,0.44,708.07,0.42
2018-19,Karnataka,Inclusive Education,4272.11,1.73,3700.51,2.2
2018-19,Karnataka,Access & Retention,33785.09,13.7,5010.38,2.98
2018-19,Karnataka,Vocational Education,4353.0,1.77,1710.73,1.02
2018-19,Karnataka,Program Management,11326.5,4.59,7999.58,4.76
2018-19,Kerala,Access & Retention,11591.17,8.2,2639.97,3.57
2018-19,Kerala,RTE Entitlements,12256.83,8.67,11977.41,16.19
2018-19,Kerala,Program Management,2305.85,1.63,3523.48,4.76
2018-19,Kerala,Monitoring of the Scheme,5200.0,3.68,116.37,0.16
2018-19,Kerala,Inclusive Education,15950.34,11.29,10182.05,13.76
2018-19,Kerala,Total of all Major Components,141338.89,100.0,73993.06,100.0
2018-19,Kerala,Financial Support for Teachers,12022.2,8.51,7317.0,9.89
2018-19,Kerala,Teacher Education,11089.13,7.85,3214.4,4.34
2018-19,Kerala,Quality Interventions,69639.98,49.27,34542.89,46.68
2018-19,Kerala,Gender & Equity,1283.41,0.91,479.49,0.65
2018-19,Lakshadweep,Monitoring of the Scheme,45.24,5.61,0.23,0.04
2018-19,Lakshadweep,Quality Interventions,544.76,67.5,415.68,65.5
2018-19,Lakshadweep,RTE Entitlements,4.38,0.54,1.94,0.31
2018-19,Lakshadweep,Sports & Physical Education,9.5,1.18,9.5,1.5
2018-19,Lakshadweep,Teacher Education,17.69,2.19,17.19,2.71
2018-19,Lakshadweep,Financial Support for Teachers,105.82,13.11,105.82,16.67
2018-19,Lakshadweep,Inclusive Education,52.83,6.55,38.05,6.0
2018-19,Lakshadweep,Program Management,15.0,1.86,40.0,6.3
2018-19,Lakshadweep,Gender & Equity,11.82,1.46,6.25,0.98
2018-19,Lakshadweep,Total of all Major Components,807.05,100.0,634.67,100.0
2018-19,Madhya Pradesh,Monitoring of the Scheme,22204.48,3.34,320.95,0.07
2018-19,Madhya Pradesh,Financial Support for Teachers,283419.36,42.68,197640.36,44.09
2018-19,Madhya Pradesh,Gender & Equity,18341.66,2.76,19106.24,4.26
2018-19,Madhya Pradesh,Inclusive Education,4086.49,0.62,3612.15,0.81
2018-19,Madhya Pradesh,Vocational Education,8707.82,1.31,7653.45,1.71
2018-19,Madhya Pradesh,Quality Interventions,148710.23,22.39,88470.75,19.74
2018-19,Madhya Pradesh,Program Management,3000.0,0.45,17241.59,3.85
2018-19,Madhya Pradesh,RTE Entitlements,98090.34,14.77,80140.62,17.88
2018-19,Madhya Pradesh,Teacher Education,6660.26,1.0,4033.0,0.9
2018-19,Madhya Pradesh,Sports & Physical Education,1141.73,0.17,1140.66,0.25
2018-19,Madhya Pradesh,Total of all Major Components,664115.41,100.0,448281.45,100.0
2018-19,Madhya Pradesh,Access & Retention,69753.02,10.5,28921.68,6.45
2018-19,Maharashtra,Teacher Education,26062.63,6.03,5255.39,2.72
2018-19,Maharashtra,Financial Support for Teachers,31961.4,7.39,20128.2,10.42
2018-19,Maharashtra,Sports & Physical Education,4274.1,0.99,40.8,0.02
2018-19,Maharashtra,Access & Retention,12539.45,2.9,2432.0,1.26
2018-19,Maharashtra,Total of all Major Components,432215.68,100.0,193121.64,100.0
2018-19,Maharashtra,Gender & Equity,7374.81,1.71,3728.12,1.93
2018-19,Maharashtra,Inclusive Education,19860.52,4.6,18975.77,9.83
2018-19,Maharashtra,Vocational Education,10153.69,2.35,7105.97,3.68
2018-19,Maharashtra,Monitoring of the Scheme,24590.4,5.69,451.21,0.23
2018-19,Maharashtra,RTE Entitlements,143926.41,33.3,90646.09,46.94
2018-19,Maharashtra,Program Management,6586.07,1.52,9196.27,4.76
2018-19,Maharashtra,Quality Interventions,144886.22,33.52,35161.82,18.21
2018-19,Manipur,Quality Interventions,33519.87,43.62,5427.92,21.52
2018-19,Manipur,Program Management,4229.14,5.5,1200.89,4.76
2018-19,Manipur,Monitoring of the Scheme,12.53,0.02,12.53,0.05
2018-19,Manipur,Vocational Education,1323.08,1.72,588.15,2.33
2018-19,Manipur,Inclusive Education,435.06,0.57,349.1,1.38
2018-19,Manipur,Gender & Equity,1368.82,1.78,863.67,3.42
2018-19,Manipur,Financial Support for Teachers,19972.29,25.99,9108.14,36.12
2018-19,Manipur,Teacher Education,3141.78,4.09,2669.59,10.59
2018-19,Manipur,Access & Retention,10265.32,13.36,2502.56,9.92
2018-19,Manipur,RTE Entitlements,2291.07,2.98,2239.99,8.88
2018-19,Manipur,Sports & Physical Education,288.05,0.37,256.05,1.02
2018-19,Manipur,Total of all Major Components,76847.0,100.0,25218.6,100.0
2018-19,Meghalaya,Total of all Major Components,60328.01,100.0,45104.35,100.0
2018-19,Meghalaya,Program Management,2000.0,3.32,2147.83,4.76
2018-19,Meghalaya,RTE Entitlements,5318.79,8.82,5200.59,11.53
2018-19,Meghalaya,Quality Interventions,12771.93,21.17,6412.04,14.22
2018-19,Meghalaya,Sports & Physical Education,23.0,0.04,23.0,0.05
2018-19,Meghalaya,Teacher Education,3088.97,5.12,1280.42,2.84
2018-19,Meghalaya,Financial Support for Teachers,31228.73,51.76,27664.92,61.34
2018-19,Meghalaya,Gender & Equity,590.74,0.98,403.02,0.89
2018-19,Meghalaya,Inclusive Education,402.07,0.67,227.16,0.5
2018-19,Meghalaya,Vocational Education,1039.86,1.72,180.86,0.4
2018-19,Meghalaya,Monitoring of the Scheme,1000.0,1.66,19.08,0.04
2018-19,Meghalaya,Access & Retention,2863.93,4.75,1545.43,3.43
2018-19,Mizoram,Access & Retention,3198.13,12.51,2371.14,11.92
2018-19,Mizoram,Teacher Education,4079.03,15.96,2629.59,13.22
2018-19,Mizoram,RTE Entitlements,1723.7,6.74,1589.98,8.0
2018-19,Mizoram,Sports & Physical Education,237.0,0.93,236.15,1.19
2018-19,Mizoram,Total of all Major Components,25564.74,100.0,19884.98,100.0
2018-19,Mizoram,Program Management,1170.0,4.58,946.9,4.76
2018-19,Mizoram,Monitoring of the Scheme,5.23,0.02,5.23,0.03
2018-19,Mizoram,Vocational Education,249.25,0.97,206.37,1.04
2018-19,Mizoram,Inclusive Education,373.31,1.46,338.99,1.7
2018-19,Mizoram,Quality Interventions,5813.63,22.74,3911.96,19.67
2018-19,Mizoram,Gender & Equity,417.54,1.63,200.51,1.01
2018-19,Mizoram,Financial Support for Teachers,8297.91,32.46,7448.16,37.46
2018-19,Nagaland,Gender & Equity,526.7,0.43,504.67,2.61
2018-19,Nagaland,Total of all Major Components,121393.37,100.0,19319.13,100.0
2018-19,Nagaland,Program Management,315.35,0.26,919.96,4.76
2018-19,Nagaland,Monitoring of the Scheme,934.24,0.77,7.53,0.04
2018-19,Nagaland,Vocational Education,531.44,0.44,181.54,0.94
2018-19,Nagaland,Inclusive Education,99.93,0.08,41.67,0.22
2018-19,Nagaland,Financial Support for Teachers,21698.89,17.87,10179.12,52.69
2018-19,Nagaland,Teacher Education,4210.53,3.47,2464.52,12.76
2018-19,Nagaland,Sports & Physical Education,104.15,0.09,21.95,0.11
2018-19,Nagaland,RTE Entitlements,1966.05,1.62,1572.65,8.14
2018-19,Nagaland,Quality Interventions,89685.08,73.88,2329.34,12.06
2018-19,Nagaland,Access & Retention,1321.01,1.09,1096.17,5.67
2018-19,Odisha,Monitoring of the Scheme,3281.01,0.71,3281.01,0.9
2018-19,Odisha,Quality Interventions,132524.85,28.87,73313.4,20.17
2018-19,Odisha,RTE Entitlements,42624.78,9.29,41729.28,11.48
2018-19,Odisha,Access & Retention,28660.63,6.24,5589.53,1.54
2018-19,Odisha,Financial Support for Teachers,184909.4,40.28,184909.4,50.87
2018-19,Odisha,Sports & Physical Education,4766.45,1.04,4213.25,1.16
2018-19,Odisha,Teacher Education,7274.53,1.58,4167.98,1.15
2018-19,Odisha,Program Management,11924.9,2.6,17307.87,4.76
2018-19,Odisha,Total of all Major Components,459051.66,100.0,363465.32,100.0
2018-19,Odisha,Vocational Education,9929.02,2.16,4395.03,1.21
2018-19,Odisha,Inclusive Education,4409.78,0.96,3643.85,1.0
2018-19,Odisha,Gender & Equity,28746.32,6.26,20914.73,5.75
2018-19,Puducherry,Access & Retention,78.51,1.99,76.73,2.72
2018-19,Puducherry,RTE Entitlements,479.43,12.12,473.22,16.76
2018-19,Puducherry,Quality Interventions,2235.71,56.53,1394.65,49.4
2018-19,Puducherry,Sports & Physical Education,49.5,1.25,29.16,1.03
2018-19,Puducherry,Gender & Equity,49.53,1.25,43.02,1.52
2018-19,Puducherry,Inclusive Education,82.28,2.08,79.61,2.82
2018-19,Puducherry,Monitoring of the Scheme,5.44,0.14,5.44,0.19
2018-19,Puducherry,Program Management,10.0,0.25,134.44,4.76
2018-19,Puducherry,Total of all Major Components,3955.12,100.0,2823.3,100.0
2018-19,Puducherry,Teacher Education,818.72,20.7,551.59,19.54
2018-19,Puducherry,Vocational Education,146.0,3.69,35.44,1.26
2018-19,Punjab,Vocational Education,9307.45,9.21,7102.66,7.89
2018-19,Punjab,Program Management,3792.53,3.75,4288.65,4.76
2018-19,Punjab,Monitoring of the Scheme,108.46,0.11,107.02,0.12
2018-19,Punjab,RTE Entitlements,12615.68,12.48,11586.37,12.86
2018-19,Punjab,Inclusive Education,2292.16,2.27,2194.27,2.44
2018-19,Punjab,Gender & Equity,1876.16,1.86,1616.85,1.8
2018-19,Punjab,Access & Retention,5520.95,5.46,3752.3,4.17
2018-19,Punjab,Quality Interventions,35040.92,34.66,34696.42,38.53
2018-19,Punjab,Sports & Physical Education,1828.95,1.81,1819.45,2.02
2018-19,Punjab,Teacher Education,3993.33,3.95,4217.49,4.68
2018-19,Punjab,Financial Support for Teachers,24712.8,24.45,18680.19,20.74
2018-19,Punjab,Total of all Major Components,101089.39,100.0,90061.69,100.0
2018-19,Rajasthan,RTE Entitlements,46313.35,6.27,45288.12,8.34
2018-19,Rajasthan,Quality Interventions,130337.24,17.65,77676.09,14.31
2018-19,Rajasthan,Sports & Physical Education,7197.2,0.97,6956.21,1.28
2018-19,Rajasthan,Access & Retention,169690.37,22.98,111161.36,20.48
2018-19,Rajasthan,Financial Support for Teachers,269857.8,36.55,228106.56,42.03
2018-19,Rajasthan,Gender & Equity,33882.65,4.59,24749.86,4.56
2018-19,Rajasthan,Inclusive Education,3348.19,0.45,2988.9,0.55
2018-19,Rajasthan,Vocational Education,23081.25,3.13,11542.41,2.13
2018-19,Rajasthan,Monitoring of the Scheme,374.41,0.05,328.48,0.06
2018-19,Rajasthan,Program Management,35569.68,4.82,25843.57,4.76
2018-19,Rajasthan,Total of all Major Components,738349.58,100.0,542714.9,100.0
2018-19,Rajasthan,Teacher Education,18697.43,2.53,8073.34,1.49
2018-19,Sikkim,Total of all Major Components,23480.76,100.0,12490.71,100.0
2018-19,Sikkim,Vocational Education,2648.94,11.28,1967.3,15.75
2018-19,Sikkim,Inclusive Education,77.03,0.33,71.28,0.57
2018-19,Sikkim,Gender & Equity,964.9,4.11,450.33,3.61
2018-19,Sikkim,Financial Support for Teachers,4512.77,19.22,1718.33,13.76
2018-19,Sikkim,RTE Entitlements,579.93,2.47,570.52,4.57
2018-19,Sikkim,Sports & Physical Education,85.6,0.36,85.6,0.69
2018-19,Sikkim,Quality Interventions,9551.81,40.68,5251.96,42.05
2018-19,Sikkim,Access & Retention,2306.12,9.82,622.13,4.98
2018-19,Sikkim,Monitoring of the Scheme,2.72,0.01,2.72,0.02
2018-19,Sikkim,Teacher Education,1546.69,6.59,1140.51,9.13
2018-19,Sikkim,Program Management,1204.24,5.13,610.02,4.88
2018-19,Tamil Nadu,Sports & Physical Education,899.5,0.28,719.6,0.29
2018-19,Tamil Nadu,RTE Entitlements,46056.24,14.24,28884.64,11.73
2018-19,Tamil Nadu,Access & Retention,18012.7,5.57,5245.67,2.13
2018-19,Tamil Nadu,Quality Interventions,84427.05,26.1,68146.69,27.67
2018-19,Tamil Nadu,Teacher Education,10596.63,3.28,6252.29,2.54
2018-19,Tamil Nadu,Financial Support for Teachers,137130.08,42.39,111921.96,45.45
2018-19,Tamil Nadu,Gender & Equity,6339.3,1.96,5337.33,2.17
2018-19,Tamil Nadu,Inclusive Education,8877.99,2.74,7430.48,3.02
2018-19,Tamil Nadu,Vocational Education,854.25,0.26,355.1,0.14
2018-19,Tamil Nadu,Monitoring of the Scheme,237.91,0.07,246.63,0.1
2018-19,Tamil Nadu,Total of all Major Components,323486.58,100.0,246267.38,100.0
2018-19,Tamil Nadu,Program Management,10054.94,3.11,11727.01,4.76
2018-19,Telangana,Program Management,19497.63,7.41,7462.85,4.76
2018-19,Telangana,Gender & Equity,117268.46,44.54,50294.78,32.09
2018-19,Telangana,Financial Support for Teachers,49942.14,18.97,34692.24,22.14
2018-19,Telangana,Teacher Education,2603.11,0.99,2537.55,1.62
2018-19,Telangana,Sports & Physical Education,2977.4,1.13,774.2,0.49
2018-19,Telangana,Quality Interventions,37344.47,14.18,32322.15,20.62
2018-19,Telangana,RTE Entitlements,22161.87,8.42,21633.79,13.8
2018-19,Telangana,Access & Retention,3184.7,1.21,3144.76,2.01
2018-19,Telangana,Vocational Education,5926.65,2.25,2004.61,1.28
2018-19,Telangana,Total of all Major Components,263270.66,100.0,156719.85,100.0
2018-19,Telangana,Inclusive Education,1744.22,0.66,1722.34,1.1
2018-19,Telangana,Monitoring of the Scheme,620.0,0.24,130.58,0.08
2018-19,Tripura,Total of all Major Components,38800.31,100.0,28738.91,100.0
2018-19,Tripura,Program Management,1795.32,4.63,1368.52,4.76
2018-19,Tripura,Access & Retention,4246.93,10.95,2112.01,7.35
2018-19,Tripura,RTE Entitlements,4414.17,11.38,4235.22,14.74
2018-19,Tripura,Quality Interventions,12367.6,31.88,6145.88,21.39
2018-19,Tripura,Sports & Physical Education,304.9,0.79,205.5,0.72
2018-19,Tripura,Teacher Education,1944.24,5.01,1333.01,4.64
2018-19,Tripura,Financial Support for Teachers,12285.6,31.66,12285.6,42.75
2018-19,Tripura,Gender & Equity,858.84,2.21,795.3,2.77
2018-19,Tripura,Inclusive Education,150.71,0.39,136.05,0.47
2018-19,Tripura,Vocational Education,432.0,1.11,121.82,0.42
